Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1100288011;Nova Morada - Rolim de Moura (RO);8
1100288012;Centro - Rolim de Moura (RO);406
1100288013;Mutirão - Rolim de Moura (RO);30
1100304001;Jardim Eldorado - Vilhena (RO);334
1100304002;Parque São Paulo - Vilhena (RO);143
1100304003;Jardim América - Vilhena (RO);76
1100304004;Alto Alegre - Vilhena (RO);140
1100304005;Marcos Freire - Vilhena (RO);71
1100304006;Tancredo Neves - Vilhena (RO);35
1100304007;Nova Esperança - Vilhena (RO);75
1100320001;Centro - São Miguel do Guaporé (RO);110
1100320002;Novo Oriente - São Miguel do Guaporé (RO);32
1100320003;Cristo Rei - São Miguel do Guaporé (RO);55
1100320004;Planalto - São Miguel do Guaporé (RO);97
1100338001;Centro - Nova Mamoré (RO);121
1100338002;São José - Nova Mamoré (RO);55
1100338003;Santa Luzia - Nova Mamoré (RO);32
1100338004;Planalto - Nova Mamoré (RO);98
1100338005;Nossa Senhora de Fátima - Nova Mamoré (RO);5
1100338006;Cidade Nova - Nova Mamoré (RO);35
1100338007;João Clímaco - Nova Mamoré (RO);54
1101500001;Centro - Seringueiras (RO);41
1101500002;Cristo Rei - Seringueiras (RO);58
1101500003;São José - Seringueiras (RO);38
1101500004;Jardim das Américas - Seringueiras (RO);24
1101500005;Bela Vista - Seringueiras (RO);32
1101708001;Novo Horizonte - Urupá (RO);93
1101708002;Santíssima Trindade - Urupá (RO);46
1101708003;Alto Alegre - Urupá (RO);86
1101708004;Centro - Urupá (RO);33
1101708005;Sumaúma - Urupá (RO);39
1300060001;Centro - Amaturá (AM);39
1300060002;São Francisco - Amaturá (AM);113
1300060003;Santa Etelvina - Amaturá (AM);42
1300409001;Centro - Barcelos (AM);85
1300409002;São Sebastião - Barcelos (AM);107
1300409003;São Francisco - Barcelos (AM);55
1300409004;Nossa Senhora de Nazaré - Barcelos (AM);83
1300409005;Nossa Senhora Aparecida - Barcelos (AM);114
1300409006;Marivá - Barcelos (AM);20
1300409007;Morara - Barcelos (AM);30
1300409008;Santo Antônio - Barcelos (AM);7
1300508001;Centro - Barreirinha (AM);147
1300508002;São Judas Tadeu - Barreirinha (AM);69
1300508003;São Benedito - Barreirinha (AM);107
1300508004;Urbano Novo - Barreirinha (AM);14
1300508005;Beira Rio - Barreirinha (AM);46
1300607001;Centro - Benjamin Constant (AM);172
1300607002;Coimbra - Benjamin Constant (AM);171
1300607003;Colônia - Benjamin Constant (AM);105
1300607004;Cohabam - Benjamin Constant (AM);45
1300607005;Javarizinho - Benjamin Constant (AM);145
1300607006;Umarizal - Benjamin Constant (AM);23
1300607007;Bom Jardim - Benjamin Constant (AM);127
1300607008;Cidade Nova - Benjamin Constant (AM);31
1300607009;Castanhal - Benjamin Constant (AM);17
1300706001;Praia do Gado - Boca do Acre (AM);355
1300706002;Platô do Piquiá - Boca do Acre (AM);193
1300706003;Fortaleza - Boca do Acre (AM);26
1300706004;Macaxeiral - Boca do Acre (AM);482
1300706005;Lago Novo - Boca do Acre (AM);4
1300805001;Centro - Borba (AM);344
1300805002;São Sebastião - Borba (AM);80
1300805003;Ipiranga - Borba (AM);75
1300805004;Cristo Rei - Borba (AM);95
1300805005;Recreio - Borba (AM);189
1301001001;Centro - Carauari (AM);257
1301001002;Fátima - Carauari (AM);232
1301001003;Samuel Amaral - Carauari (AM);279
1301001004;Nova República - Carauari (AM);56
1301100001;Urbano Centro - Careiro (AM);151
1301100002;Urbano Vista Alegre - Careiro (AM);53
1301100003;Urbano Horizonte - Careiro (AM);127
1301100004;Urbano Industrial - Careiro (AM);1
1301100005;Urbano Sebastião Borges - Careiro (AM);78
1301209001;Do Pera - Coari (AM);128
1301209002;Chagas Aguiar - Coari (AM);347
1301209003;Santa Helena - Coari (AM);151
1301209004;Duque de Caxias - Coari (AM);157
1301209005;Itamarati - Coari (AM);162
1301209006;Santa Efigênia - Coari (AM);85
1301209007;União - Coari (AM);156
1301209008;Urucu - Coari (AM);197
1301209009;Espírito Santo - Coari (AM);130
1301209010;Tauá Mirim - Coari (AM);271
1301209011;Centro - Coari (AM);266
1301407001;Centro - Eirunepé (AM);56
1301407002;Nossa Senhora do Perpétuo Socorro - Eirunepé (AM);167
1301407003;Santo Antônio - Eirunepé (AM);168
1301407004;Nossa Senhora Aparecida - Eirunepé (AM);126
1301407005;Nossa Senhora de Fátima - Eirunepé (AM);367
1301407006;São José - Eirunepé (AM);73
1301704001;São Domingos Sávio - Humaitá (AM);150
1301704002;Nova Humaitá - Humaitá (AM);169
