"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"3116159","Chapada Gaúcha (MG)","Total","Total","490"
"3116209","Chiador (MG)","Total","Total","50"
"3116308","Cipotânea (MG)","Total","Total","140"
"3116407","Claraval (MG)","Total","Total","82"
"3116506","Claro dos Poções (MG)","Total","Total","232"
"3116605","Cláudio (MG)","Total","Total","610"
"3116704","Coimbra (MG)","Total","Total","107"
"3116803","Coluna (MG)","Total","Total","205"
"3116902","Comendador Gomes (MG)","Total","Total","18"
"3117009","Comercinho (MG)","Total","Total","200"
"3117108","Conceição da Aparecida (MG)","Total","Total","230"
"3117207","Conceição das Pedras (MG)","Total","Total","20"
"3117306","Conceição das Alagoas (MG)","Total","Total","668"
"3117405","Conceição de Ipanema (MG)","Total","Total","88"
"3117504","Conceição do Mato Dentro (MG)","Total","Total","611"
"3117603","Conceição do Pará (MG)","Total","Total","146"
"3117702","Conceição do Rio Verde (MG)","Total","Total","393"
"3117801","Conceição dos Ouros (MG)","Total","Total","193"
"3117836","Cônego Marinho (MG)","Total","Total","497"
"3117876","Confins (MG)","Total","Total","224"
"3117900","Congonhal (MG)","Total","Total","170"
"3118007","Congonhas (MG)","Total","Total","2168"
"3118106","Congonhas do Norte (MG)","Total","Total","83"
"3118205","Conquista (MG)","Total","Total","142"
"3118304","Conselheiro Lafaiete (MG)","Total","Total","4796"
"3118403","Conselheiro Pena (MG)","Total","Total","662"
"3118502","Consolação (MG)","Total","Total","49"
"3118601","Contagem (MG)","Total","Total","25196"
"3118700","Coqueiral (MG)","Total","Total","286"
"3118809","Coração de Jesus (MG)","Total","Total","1100"
"3118908","Cordisburgo (MG)","Total","Total","199"
"3119005","Cordislândia (MG)","Total","Total","42"
"3119104","Corinto (MG)","Total","Total","829"
"3119203","Coroaci (MG)","Total","Total","270"
"3119302","Coromandel (MG)","Total","Total","545"
"3119401","Coronel Fabriciano (MG)","Total","Total","5182"
"3119500","Coronel Murta (MG)","Total","Total","462"
"3119609","Coronel Pacheco (MG)","Total","Total","81"
"3119708","Coronel Xavier Chaves (MG)","Total","Total","54"
"3119807","Córrego Danta (MG)","Total","Total","24"
"3119906","Córrego do Bom Jesus (MG)","Total","Total","57"
"3119955","Córrego Fundo (MG)","Total","Total","217"
"3120003","Córrego Novo (MG)","Total","Total","37"
"3120102","Couto de Magalhães de Minas (MG)","Total","Total","305"
"3120151","Crisólita (MG)","Total","Total","189"
"3120201","Cristais (MG)","Total","Total","236"
"3120300","Cristália (MG)","Total","Total","305"
"3120409","Cristiano Otoni (MG)","Total","Total","275"
"3120508","Cristina (MG)","Total","Total","242"
"3120607","Crucilândia (MG)","Total","Total","67"
"3120706","Cruzeiro da Fortaleza (MG)","Total","Total","120"
"3120805","Cruzília (MG)","Total","Total","634"
"3120839","Cuparaque (MG)","Total","Total","170"
"3120870","Curral de Dentro (MG)","Total","Total","316"
"3120904","Curvelo (MG)","Total","Total","3625"
"3121001","Datas (MG)","Total","Total","183"
"3121100","Delfim Moreira (MG)","Total","Total","96"
"3121209","Delfinópolis (MG)","Total","Total","32"
"3121258","Delta (MG)","Total","Total","221"
"3121308","Descoberto (MG)","Total","Total","131"
"3121407","Desterro de Entre Rios (MG)","Total","Total","76"
"3121506","Desterro do Melo (MG)","Total","Total","88"
"3121605","Diamantina (MG)","Total","Total","1892"
"3121704","Diogo de Vasconcelos (MG)","Total","Total","123"
"3121803","Dionísio (MG)","Total","Total","559"
"3121902","Divinésia (MG)","Total","Total","77"
"3122009","Divino (MG)","Total","Total","302"
"3122108","Divino das Laranjeiras (MG)","Total","Total","148"
"3122207","Divinolândia de Minas (MG)","Total","Total","297"
"3122306","Divinópolis (MG)","Total","Total","5025"
"3122355","Divisa Alegre (MG)","Total","Total","331"
"3122405","Divisa Nova (MG)","Total","Total","89"
"3122454","Divisópolis (MG)","Total","Total","461"
"3122470","Dom Bosco (MG)","Total","Total","99"
"3122504","Dom Cavati (MG)","Total","Total","173"
"3122603","Dom Joaquim (MG)","Total","Total","104"
"3122702","Dom Silvério (MG)","Total","Total","173"
"3122801","Dom Viçoso (MG)","Total","Total","74"
"3122900","Dona Euzébia (MG)","Total","Total","91"
"3123007","Dores de Campos (MG)","Total","Total","132"
"3123106","Dores de Guanhães (MG)","Total","Total","82"
"3123205","Dores do Indaiá (MG)","Total","Total","360"
"3123304","Dores do Turvo (MG)","Total","Total","86"
"3123403","Doresópolis (MG)","Total","Total","36"
"3123502","Douradoquara (MG)","Total","Total","97"
"3123528","Durandé (MG)","Total","Total","134"
"3123601","Elói Mendes (MG)","Total","Total","629"
"3123700","Engenheiro Caldas (MG)","Total","Total","337"
"3123809","Engenheiro Navarro (MG)","Total","Total","328"
"3123858","Entre Folhas (MG)","Total","Total","272"
"3123908","Entre Rios de Minas (MG)","Total","Total","361"
"3124005","Ervália (MG)","Total","Total","249"
"3124104","Esmeraldas (MG)","Total","Total","2267"
"3124203","Espera Feliz (MG)","Total","Total","470"
"3124302","Espinosa (MG)","Total","Total","1376"
"3124401","Espírito Santo do Dourado (MG)","Total","Total","22"
"3124500","Estiva (MG)","Total","Total","95"
"3124609","Estrela Dalva (MG)","Total","Total","63"
"3124708","Estrela do Indaiá (MG)","Total","Total","113"
"3124807","Estrela do Sul (MG)","Total","Total","253"
"3124906","Eugenópolis (MG)","Total","Total","244"
"3125002","Ewbank da Câmara (MG)","Total","Total","68"
"3125101","Extrema (MG)","Total","Total","750"
"3125200","Fama (MG)","Total","Total","20"
"3125309","Faria Lemos (MG)","Total","Total","90"
"3125408","Felício dos Santos (MG)","Total","Total","74"
"3125507","São Gonçalo do Rio Preto (MG)","Total","Total","118"
"3125606","Felisburgo (MG)","Total","Total","310"
"3125705","Felixlândia (MG)","Total","Total","638"
"3125804","Fernandes Tourinho (MG)","Total","Total","75"
"3125903","Ferros (MG)","Total","Total","292"
"3125952","Fervedouro (MG)","Total","Total","259"
"3126000","Florestal (MG)","Total","Total","200"
"3126109","Formiga (MG)","Total","Total","1173"
"3126208","Formoso (MG)","Total","Total","422"
"3126307","Fortaleza de Minas (MG)","Total","Total","66"
"3126406","Fortuna de Minas (MG)","Total","Total","131"
"3126505","Francisco Badaró (MG)","Total","Total","326"
"3126604","Francisco Dumont (MG)","Total","Total","140"
"3126703","Francisco Sá (MG)","Total","Total","799"
"3126752","Franciscópolis (MG)","Total","Total","135"
"3126802","Frei Gaspar (MG)","Total","Total","107"
"3126901","Frei Inocêncio (MG)","Total","Total","408"
"3126950","Frei Lagonegro (MG)","Total","Total","39"
"3127008","Fronteira (MG)","Total","Total","514"
"3127057","Fronteira dos Vales (MG)","Total","Total","180"
"3127073","Fruta de Leite (MG)","Total","Total","168"
"3127107","Frutal (MG)","Total","Total","1222"
"3127206","Funilândia (MG)","Total","Total","115"
"3127305","Galiléia (MG)","Total","Total","256"
"3127339","Gameleiras (MG)","Total","Total","224"
"3127354","Glaucilândia (MG)","Total","Total","187"
"3127370","Goiabeira (MG)","Total","Total","94"
"3127388","Goianá (MG)","Total","Total","121"
"3127404","Gonçalves (MG)","Total","Total","49"
"3127503","Gonzaga (MG)","Total","Total","298"
"3127602","Gouveia (MG)","Total","Total","342"
"3127701","Governador Valadares (MG)","Total","Total","12849"
"3127800","Grão Mogol (MG)","Total","Total","560"
"3127909","Grupiara (MG)","Total","Total","24"
"3128006","Guanhães (MG)","Total","Total","1297"
"3128105","Guapé (MG)","Total","Total","207"
"3128204","Guaraciaba (MG)","Total","Total","84"
"3128253","Guaraciama (MG)","Total","Total","101"
"3128303","Guaranésia (MG)","Total","Total","469"
"3128402","Guarani (MG)","Total","Total","169"
"3128501","Guarará (MG)","Total","Total","141"
"3128600","Guarda-Mor (MG)","Total","Total","194"
"3128709","Guaxupé (MG)","Total","Total","1298"
"3128808","Guidoval (MG)","Total","Total","97"
"3128907","Guimarânia (MG)","Total","Total","193"
"3129004","Guiricema (MG)","Total","Total","137"
"3129103","Gurinhatã (MG)","Total","Total","114"
"3129202","Heliodora (MG)","Total","Total","39"
"3129301","Iapu (MG)","Total","Total","211"
"3129400","Ibertioga (MG)","Total","Total","97"
"3129509","Ibiá (MG)","Total","Total","616"
"3129608","Ibiaí (MG)","Total","Total","281"
"3129657","Ibiracatu (MG)","Total","Total","406"
"3129707","Ibiraci (MG)","Total","Total","115"
"3129806","Ibirité (MG)","Total","Total","6349"
"3129905","Ibitiúra de Minas (MG)","Total","Total","33"
"3130002","Ibituruna (MG)","Total","Total","58"
"3130051","Icaraí de Minas (MG)","Total","Total","371"
"3130101","Igarapé (MG)","Total","Total","1188"
"3130200","Igaratinga (MG)","Total","Total","128"
"3130309","Iguatama (MG)","Total","Total","228"
"3130408","Ijaci (MG)","Total","Total","169"
"3130507","Ilicínea (MG)","Total","Total","108"
"3130556","Imbé de Minas (MG)","Total","Total","112"
"3130606","Inconfidentes (MG)","Total","Total","102"
"3130655","Indaiabira (MG)","Total","Total","222"
"3130705","Indianópolis (MG)","Total","Total","76"
"3130804","Ingaí (MG)","Total","Total","39"
"3130903","Inhapim (MG)","Total","Total","690"
"3131000","Inhaúma (MG)","Total","Total","215"
"3131109","Inimutaba (MG)","Total","Total","251"
"3131158","Ipaba (MG)","Total","Total","1029"
"3131208","Ipanema (MG)","Total","Total","634"
"3131307","Ipatinga (MG)","Total","Total","10994"
"3131406","Ipiaçu (MG)","Total","Total","86"
"3131505","Ipuiúna (MG)","Total","Total","192"
"3131604","Iraí de Minas (MG)","Total","Total","137"
"3131703","Itabira (MG)","Total","Total","6183"
"3131802","Itabirinha (MG)","Total","Total","344"
"3131901","Itabirito (MG)","Total","Total","1736"
"3132008","Itacambira (MG)","Total","Total","125"
"3132107","Itacarambi (MG)","Total","Total","1055"
"3132206","Itaguara (MG)","Total","Total","174"
"3132305","Itaipé (MG)","Total","Total","273"
"3132404","Itajubá (MG)","Total","Total","2806"
"3132503","Itamarandiba (MG)","Total","Total","1080"
"3132602","Itamarati de Minas (MG)","Total","Total","104"
"3132701","Itambacuri (MG)","Total","Total","1145"
"3132800","Itambé do Mato Dentro (MG)","Total","Total","18"
"3132909","Itamogi (MG)","Total","Total","167"
"3133006","Itamonte (MG)","Total","Total","345"
"3133105","Itanhandu (MG)","Total","Total","482"
"3133204","Itanhomi (MG)","Total","Total","307"
"3133303","Itaobim (MG)","Total","Total","779"
"3133402","Itapagipe (MG)","Total","Total","314"
"3133501","Itapecerica (MG)","Total","Total","370"
"3133600","Itapeva (MG)","Total","Total","211"
"3133709","Itatiaiuçu (MG)","Total","Total","331"
"3133758","Itaú de Minas (MG)","Total","Total","534"
"3133808","Itaúna (MG)","Total","Total","3203"
"3133907","Itaverava (MG)","Total","Total","74"
"3134004","Itinga (MG)","Total","Total","784"
"3134103","Itueta (MG)","Total","Total","126"
"3134202","Ituiutaba (MG)","Total","Total","3382"
"3134301","Itumirim (MG)","Total","Total","162"
"3134400","Iturama (MG)","Total","Total","957"
"3134509","Itutinga (MG)","Total","Total","115"
"3134608","Jaboticatubas (MG)","Total","Total","432"
"3134707","Jacinto (MG)","Total","Total","348"
"3134806","Jacuí (MG)","Total","Total","176"
"3134905","Jacutinga (MG)","Total","Total","279"
"3135001","Jaguaraçu (MG)","Total","Total","90"
"3135050","Jaíba (MG)","Total","Total","955"
"3135076","Jampruca (MG)","Total","Total","109"
"3135100","Janaúba (MG)","Total","Total","3417"
"3135209","Januária (MG)","Total","Total","2262"
"3135308","Japaraíba (MG)","Total","Total","100"
"3135357","Japonvar (MG)","Total","Total","206"
"3135407","Jeceaba (MG)","Total","Total","119"
"3135456","Jenipapo de Minas (MG)","Total","Total","192"
"3135506","Jequeri (MG)","Total","Total","306"
"3135605","Jequitaí (MG)","Total","Total","367"
"3135704","Jequitibá (MG)","Total","Total","128"
"3135803","Jequitinhonha (MG)","Total","Total","735"
"3135902","Jesuânia (MG)","Total","Total","115"
"3136009","Joaíma (MG)","Total","Total","628"
"3136108","Joanésia (MG)","Total","Total","171"
"3136207","João Monlevade (MG)","Total","Total","3423"
"3136306","João Pinheiro (MG)","Total","Total","1642"
"3136405","Joaquim Felício (MG)","Total","Total","63"
"3136504","Jordânia (MG)","Total","Total","367"
"3136520","José Gonçalves de Minas (MG)","Total","Total","171"
"3136553","José Raydan (MG)","Total","Total","201"
"3136579","Josenópolis (MG)","Total","Total","345"
"3136603","Nova União (MG)","Total","Total","176"
"3136652","Juatuba (MG)","Total","Total","903"
"3136702","Juiz de Fora (MG)","Total","Total","20830"
"3136801","Juramento (MG)","Total","Total","147"
"3136900","Juruaia (MG)","Total","Total","122"
"3136959","Juvenília (MG)","Total","Total","165"
"3137007","Ladainha (MG)","Total","Total","332"
"3137106","Lagamar (MG)","Total","Total","188"
"3137205","Lagoa da Prata (MG)","Total","Total","1437"
"3137304","Lagoa dos Patos (MG)","Total","Total","200"
"3137403","Lagoa Dourada (MG)","Total","Total","298"
"3137502","Lagoa Formosa (MG)","Total","Total","330"
"3137536","Lagoa Grande (MG)","Total","Total","281"
"3137601","Lagoa Santa (MG)","Total","Total","1606"
"3137700","Lajinha (MG)","Total","Total","309"
"3137809","Lambari (MG)","Total","Total","639"
"3137908","Lamim (MG)","Total","Total","90"
"3138005","Laranjal (MG)","Total","Total","89"
"3138104","Lassance (MG)","Total","Total","298"
"3138203","Lavras (MG)","Total","Total","2639"
"3138302","Leandro Ferreira (MG)","Total","Total","47"
"3138351","Leme do Prado (MG)","Total","Total","106"
"3138401","Leopoldina (MG)","Total","Total","1751"
"3138500","Liberdade (MG)","Total","Total","123"
"3138609","Lima Duarte (MG)","Total","Total","536"
"3138625","Limeira do Oeste (MG)","Total","Total","362"
"3138658","Lontra (MG)","Total","Total","235"
"3138674","Luisburgo (MG)","Total","Total","50"
"3138682","Luislândia (MG)","Total","Total","285"
"3138708","Luminárias (MG)","Total","Total","45"
"3138807","Luz (MG)","Total","Total","545"
"3138906","Machacalis (MG)","Total","Total","339"
"3139003","Machado (MG)","Total","Total","1019"
"3139102","Madre de Deus de Minas (MG)","Total","Total","233"
"3139201","Malacacheta (MG)","Total","Total","609"
"3139250","Mamonas (MG)","Total","Total","150"
"3139300","Manga (MG)","Total","Total","1024"
"3139409","Manhuaçu (MG)","Total","Total","1896"
"3139508","Manhumirim (MG)","Total","Total","555"
"3139607","Mantena (MG)","Total","Total","999"
"3139706","Maravilhas (MG)","Total","Total","316"
"3139805","Mar de Espanha (MG)","Total","Total","134"
"3139904","Maria da Fé (MG)","Total","Total","494"
"3140001","Mariana (MG)","Total","Total","2534"
"3140100","Marilac (MG)","Total","Total","108"
"3140159","Mário Campos (MG)","Total","Total","585"
"3140209","Maripá de Minas (MG)","Total","Total","14"
"3140308","Marliéria (MG)","Total","Total","162"
"3140407","Marmelópolis (MG)","Total","Total","61"
"3140506","Martinho Campos (MG)","Total","Total","443"
"3140530","Martins Soares (MG)","Total","Total","91"
"3140555","Mata Verde (MG)","Total","Total","254"
"3140605","Materlândia (MG)","Total","Total","148"
"3140704","Mateus Leme (MG)","Total","Total","926"
"3140803","Matias Barbosa (MG)","Total","Total","432"
"3140852","Matias Cardoso (MG)","Total","Total","476"
"3140902","Matipó (MG)","Total","Total","455"
"3141009","Mato Verde (MG)","Total","Total","354"
"3141108","Matozinhos (MG)","Total","Total","1848"
"3141207","Matutina (MG)","Total","Total","40"
"3141306","Medeiros (MG)","Total","Total","46"
"3141405","Medina (MG)","Total","Total","730"
"3141504","Mendes Pimentel (MG)","Total","Total","188"
"3141603","Mercês (MG)","Total","Total","200"
"3141702","Mesquita (MG)","Total","Total","224"
"3141801","Minas Novas (MG)","Total","Total","702"
"3141900","Minduri (MG)","Total","Total","281"
"3142007","Mirabela (MG)","Total","Total","517"
"3142106","Miradouro (MG)","Total","Total","273"
"3142205","Miraí (MG)","Total","Total","198"
"3142254","Miravânia (MG)","Total","Total","125"
"3142304","Moeda (MG)","Total","Total","95"
"3142403","Moema (MG)","Total","Total","160"
"3142502","Monjolos (MG)","Total","Total","90"
"3142601","Monsenhor Paulo (MG)","Total","Total","165"
"3142700","Montalvânia (MG)","Total","Total","322"
"3142809","Monte Alegre de Minas (MG)","Total","Total","510"
"3142908","Monte Azul (MG)","Total","Total","768"
"3143005","Monte Belo (MG)","Total","Total","144"
"3143104","Monte Carmelo (MG)","Total","Total","1233"
"3143153","Monte Formoso (MG)","Total","Total","125"
"3143203","Monte Santo de Minas (MG)","Total","Total","299"
"3143302","Montes Claros (MG)","Total","Total","18627"
"3143401","Monte Sião (MG)","Total","Total","197"
"3143450","Montezuma (MG)","Total","Total","120"
"3143500","Morada Nova de Minas (MG)","Total","Total","144"
"3143609","Morro da Garça (MG)","Total","Total","74"
"3143708","Morro do Pilar (MG)","Total","Total","99"
"3143807","Munhoz (MG)","Total","Total","88"
"3143906","Muriaé (MG)","Total","Total","2954"
"3144003","Mutum (MG)","Total","Total","477"
"3144102","Muzambinho (MG)","Total","Total","413"
"3144201","Nacip Raydan (MG)","Total","Total","45"
"3144300","Nanuque (MG)","Total","Total","2211"
"3144359","Naque (MG)","Total","Total","363"
"3144375","Natalândia (MG)","Total","Total","70"
"3144409","Natércia (MG)","Total","Total","52"
"3144508","Nazareno (MG)","Total","Total","132"
"3144607","Nepomuceno (MG)","Total","Total","795"
"3144656","Ninheira (MG)","Total","Total","205"
"3144672","Nova Belém (MG)","Total","Total","64"
"3144706","Nova Era (MG)","Total","Total","1041"
"3144805","Nova Lima (MG)","Total","Total","2244"
"3144904","Nova Módica (MG)","Total","Total","131"
"3145000","Nova Ponte (MG)","Total","Total","380"
"3145059","Nova Porteirinha (MG)","Total","Total","304"
"3145109","Nova Resende (MG)","Total","Total","166"
"3145208","Nova Serrana (MG)","Total","Total","1137"
"3145307","Novo Cruzeiro (MG)","Total","Total","676"
"3145356","Novo Oriente de Minas (MG)","Total","Total","510"
"3145372","Novorizonte (MG)","Total","Total","84"
"3145406","Olaria (MG)","Total","Total","19"
"3145455","Olhos-d'Água (MG)","Total","Total","117"
"3145505","Olímpio Noronha (MG)","Total","Total","67"
"3145604","Oliveira (MG)","Total","Total","1017"
"3145703","Oliveira Fortes (MG)","Total","Total","85"
"3145802","Onça de Pitangui (MG)","Total","Total","49"
"3145851","Oratórios (MG)","Total","Total","121"
"3145877","Orizânia (MG)","Total","Total","170"
"3145901","Ouro Branco (MG)","Total","Total","1469"
"3146008","Ouro Fino (MG)","Total","Total","679"
"3146107","Ouro Preto (MG)","Total","Total","2918"
"3146206","Ouro Verde de Minas (MG)","Total","Total","196"
"3146255","Padre Carvalho (MG)","Total","Total","28"
"3146305","Padre Paraíso (MG)","Total","Total","683"
"3146404","Paineiras (MG)","Total","Total","109"
"3146503","Pains (MG)","Total","Total","193"
"3146552","Pai Pedro (MG)","Total","Total","140"
"3146602","Paiva (MG)","Total","Total","42"
"3146701","Palma (MG)","Total","Total","137"
"3146750","Palmópolis (MG)","Total","Total","301"
"3146909","Papagaios (MG)","Total","Total","441"
"3147006","Paracatu (MG)","Total","Total","3245"
"3147105","Pará de Minas (MG)","Total","Total","2318"
"3147204","Paraguaçu (MG)","Total","Total","418"
"3147303","Paraisópolis (MG)","Total","Total","615"
"3147402","Paraopeba (MG)","Total","Total","1035"
"3147501","Passabém (MG)","Total","Total","35"
"3147600","Passa Quatro (MG)","Total","Total","441"
"3147709","Passa Tempo (MG)","Total","Total","132"
"3147808","Passa Vinte (MG)","Total","Total","30"
"3147907","Passos (MG)","Total","Total","2757"
"3147956","Patis (MG)","Total","Total","371"
"3148004","Patos de Minas (MG)","Total","Total","4397"
"3148103","Patrocínio (MG)","Total","Total","2327"
"3148202","Patrocínio do Muriaé (MG)","Total","Total","158"
"3148301","Paula Cândido (MG)","Total","Total","119"
"3148400","Paulistas (MG)","Total","Total","140"
"3148509","Pavão (MG)","Total","Total","362"
"3148608","Peçanha (MG)","Total","Total","413"
"3148707","Pedra Azul (MG)","Total","Total","958"
"3148756","Pedra Bonita (MG)","Total","Total","26"
"3148806","Pedra do Anta (MG)","Total","Total","79"
"3148905","Pedra do Indaiá (MG)","Total","Total","69"
"3149002","Pedra Dourada (MG)","Total","Total","79"
"3149101","Pedralva (MG)","Total","Total","272"
"3149150","Pedras de Maria da Cruz (MG)","Total","Total","365"
"3149200","Pedrinópolis (MG)","Total","Total","90"
"3149309","Pedro Leopoldo (MG)","Total","Total","2659"
"3149408","Pedro Teixeira (MG)","Total","Total","18"
"3149507","Pequeri (MG)","Total","Total","45"
"3149606","Pequi (MG)","Total","Total","109"
"3149705","Perdigão (MG)","Total","Total","75"
"3149804","Perdizes (MG)","Total","Total","211"
"3149903","Perdões (MG)","Total","Total","556"
"3149952","Periquito (MG)","Total","Total","263"
"3150000","Pescador (MG)","Total","Total","154"
"3150109","Piau (MG)","Total","Total","61"
"3150158","Piedade de Caratinga (MG)","Total","Total","225"
"3150208","Piedade de Ponte Nova (MG)","Total","Total","171"
"3150307","Piedade do Rio Grande (MG)","Total","Total","67"
"3150406","Piedade dos Gerais (MG)","Total","Total","91"
"3150505","Pimenta (MG)","Total","Total","128"
"3150539","Pingo-d'Água (MG)","Total","Total","167"
"3150570","Pintópolis (MG)","Total","Total","167"
"3150604","Piracema (MG)","Total","Total","78"
"3150703","Pirajuba (MG)","Total","Total","97"
"3150802","Piranga (MG)","Total","Total","320"
"3150901","Piranguçu (MG)","Total","Total","107"
"3151008","Piranguinho (MG)","Total","Total","231"
"3151107","Pirapetinga (MG)","Total","Total","290"
"3151206","Pirapora (MG)","Total","Total","2997"
"3151305","Piraúba (MG)","Total","Total","167"
"3151404","Pitangui (MG)","Total","Total","796"
"3151503","Piumhi (MG)","Total","Total","748"
"3151602","Planura (MG)","Total","Total","314"
"3151701","Poço Fundo (MG)","Total","Total","250"
"3151800","Poços de Caldas (MG)","Total","Total","5123"
"3151909","Pocrane (MG)","Total","Total","117"
"3152006","Pompéu (MG)","Total","Total","971"
"3152105","Ponte Nova (MG)","Total","Total","2541"
"3152131","Ponto Chique (MG)","Total","Total","248"
"3152170","Ponto dos Volantes (MG)","Total","Total","435"
"3152204","Porteirinha (MG)","Total","Total","1350"
"3152303","Porto Firme (MG)","Total","Total","262"
"3152402","Poté (MG)","Total","Total","543"
"3152501","Pouso Alegre (MG)","Total","Total","4167"
"3152600","Pouso Alto (MG)","Total","Total","109"
"3152709","Prados (MG)","Total","Total","181"
"3152808","Prata (MG)","Total","Total","500"
"3152907","Pratápolis (MG)","Total","Total","250"
"3153004","Pratinha (MG)","Total","Total","65"
"3153103","Presidente Bernardes (MG)","Total","Total","66"
"3153202","Presidente Juscelino (MG)","Total","Total","109"
"3153301","Presidente Kubitschek (MG)","Total","Total","85"
"3153400","Presidente Olegário (MG)","Total","Total","532"
"3153509","Alto Jequitibá (MG)","Total","Total","139"
"3153608","Prudente de Morais (MG)","Total","Total","511"
"3153707","Quartel Geral (MG)","Total","Total","54"
"3153806","Queluzito (MG)","Total","Total","8"
"3153905","Raposos (MG)","Total","Total","518"
"3154002","Raul Soares (MG)","Total","Total","510"
"3154101","Recreio (MG)","Total","Total","307"
"3154150","Reduto (MG)","Total","Total","245"
"3154200","Resende Costa (MG)","Total","Total","91"
"3154309","Resplendor (MG)","Total","Total","519"
"3154408","Ressaquinha (MG)","Total","Total","131"
"3154457","Riachinho (MG)","Total","Total","156"
"3154507","Riacho dos Machados (MG)","Total","Total","437"
"3154606","Ribeirão das Neves (MG)","Total","Total","12074"
"3154705","Ribeirão Vermelho (MG)","Total","Total","181"
"3154804","Rio Acima (MG)","Total","Total","292"
"3154903","Rio Casca (MG)","Total","Total","741"
"3155009","Rio Doce (MG)","Total","Total","143"
"3155108","Rio do Prado (MG)","Total","Total","335"
"3155207","Rio Espera (MG)","Total","Total","219"
"3155306","Rio Manso (MG)","Total","Total","77"
"3155405","Rio Novo (MG)","Total","Total","322"
"3155504","Rio Paranaíba (MG)","Total","Total","180"
"3155603","Rio Pardo de Minas (MG)","Total","Total","581"
"3155702","Rio Piracicaba (MG)","Total","Total","633"
"3155801","Rio Pomba (MG)","Total","Total","384"
"3155900","Rio Preto (MG)","Total","Total","150"
"3156007","Rio Vermelho (MG)","Total","Total","276"
"3156106","Ritápolis (MG)","Total","Total","110"
"3156205","Rochedo de Minas (MG)","Total","Total","38"
"3156304","Rodeiro (MG)","Total","Total","78"
"3156403","Romaria (MG)","Total","Total","54"
"3156452","Rosário da Limeira (MG)","Total","Total","62"
"3156502","Rubelita (MG)","Total","Total","259"
"3156601","Rubim (MG)","Total","Total","500"
"3156700","Sabará (MG)","Total","Total","4881"
"3156809","Sabinópolis (MG)","Total","Total","505"
"3156908","Sacramento (MG)","Total","Total","714"
"3157005","Salinas (MG)","Total","Total","989"
"3157104","Salto da Divisa (MG)","Total","Total","450"
"3157203","Santa Bárbara (MG)","Total","Total","1641"
"3157252","Santa Bárbara do Leste (MG)","Total","Total","224"
"3157278","Santa Bárbara do Monte Verde (MG)","Total","Total","35"
"3157302","Santa Bárbara do Tugúrio (MG)","Total","Total","92"
"3157336","Santa Cruz de Minas (MG)","Total","Total","322"
"3157377","Santa Cruz de Salinas (MG)","Total","Total","216"
"3157401","Santa Cruz do Escalvado (MG)","Total","Total","170"
"3157500","Santa Efigênia de Minas (MG)","Total","Total","187"
"3157609","Santa Fé de Minas (MG)","Total","Total","159"
"3157658","Santa Helena de Minas (MG)","Total","Total","127"
"3157708","Santa Juliana (MG)","Total","Total","208"
"3157807","Santa Luzia (MG)","Total","Total","7534"
"3157906","Santa Margarida (MG)","Total","Total","369"
"3158003","Santa Maria de Itabira (MG)","Total","Total","361"
"3158102","Santa Maria do Salto (MG)","Total","Total","215"
"3158201","Santa Maria do Suaçuí (MG)","Total","Total","549"
"3158300","Santana da Vargem (MG)","Total","Total","170"
"3158409","Santana de Cataguases (MG)","Total","Total","106"
"3158508","Santana de Pirapama (MG)","Total","Total","66"
"3158607","Santana do Deserto (MG)","Total","Total","127"
"3158706","Santana do Garambéu (MG)","Total","Total","69"
"3158805","Santana do Jacaré (MG)","Total","Total","101"
"3158904","Santana do Manhuaçu (MG)","Total","Total","188"
"3158953","Santana do Paraíso (MG)","Total","Total","1420"
"3159001","Santana do Riacho (MG)","Total","Total","40"
"3159100","Santana dos Montes (MG)","Total","Total","69"
"3159209","Santa Rita de Caldas (MG)","Total","Total","166"
"3159308","Santa Rita de Jacutinga (MG)","Total","Total","141"
"3159357","Santa Rita de Minas (MG)","Total","Total","177"
"3159407","Santa Rita de Ibitipoca (MG)","Total","Total","55"
"3159506","Santa Rita do Itueto (MG)","Total","Total","49"
"3159605","Santa Rita do Sapucaí (MG)","Total","Total","1003"
"3159704","Santa Rosa da Serra (MG)","Total","Total","32"
"3159803","Santa Vitória (MG)","Total","Total","495"
"3159902","Santo Antônio do Amparo (MG)","Total","Total","447"
"3160009","Santo Antônio do Aventureiro (MG)","Total","Total","21"
"3160108","Santo Antônio do Grama (MG)","Total","Total","148"
"3160207","Santo Antônio do Itambé (MG)","Total","Total","35"
"3160306","Santo Antônio do Jacinto (MG)","Total","Total","430"
"3160405","Santo Antônio do Monte (MG)","Total","Total","381"
"3160454","Santo Antônio do Retiro (MG)","Total","Total","303"
"3160504","Santo Antônio do Rio Abaixo (MG)","Total","Total","44"
"3160603","Santo Hipólito (MG)","Total","Total","85"
"3160702","Santos Dumont (MG)","Total","Total","2125"
"3160801","São Bento Abade (MG)","Total","Total","107"
"3160900","São Brás do Suaçuí (MG)","Total","Total","137"
"3160959","São Domingos das Dores (MG)","Total","Total","87"
