"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2202703007","Santa Teresinha - Cocal (PI)","Total","Total","275","26","42","53","59","35","29","21","5","2","3","-","-","-","-"
"2202901001","Nova Corrente - Corrente (PI)","Total","Total","258","21","46","59","55","43","17","10","4","-","-","2","-","-","1"
"2203503001","Centro - Elesbão Veloso (PI)","Total","Total","439","79","117","90","82","53","12","4","2","-","-","-","-","-","-"
"2203503002","Volta - Elesbão Veloso (PI)","Total","Total","132","26","22","32","27","11","9","3","-","1","1","-","-","-","-"
"2203503003","Matias - Elesbão Veloso (PI)","Total","Total","181","18","42","42","38","15","19","5","-","2","-","-","-","-","-"
"2203503004","Matadouro - Elesbão Veloso (PI)","Total","Total","256","27","64","69","51","27","9","6","2","1","-","-","-","-","-"
"2203503005","Sambaíba - Elesbão Veloso (PI)","Total","Total","43","4","9","8","9","8","3","2","-","-","-","-","-","-","-"
"2203503006","Santa Clara - Elesbão Veloso (PI)","Total","Total","187","18","42","48","42","18","9","5","4","1","-","-","-","-","-"
"2203503007","Várzea Alegre - Elesbão Veloso (PI)","Total","Total","59","5","12","13","20","6","1","-","1","-","-","-","1","-","-"
"2203503008","Fátima - Elesbão Veloso (PI)","Total","Total","480","49","127","114","118","43","16","10","3","-","-","-","-","-","-"
"2203503009","Eufrasino Moura - Elesbão Veloso (PI)","Total","Total","118","13","19","32","32","15","4","2","1","-","-","-","-","-","-"
"2203503010","Vermelha - Elesbão Veloso (PI)","Total","Total","76","10","19","16","21","5","3","1","-","1","-","-","-","-","-"
"2203503011","Piçarra - Elesbão Veloso (PI)","Total","Total","303","26","70","69","76","31","13","10","2","5","1","-","-","-","-"
"2203503012","Do Fio - Elesbão Veloso (PI)","Total","Total","163","21","28","40","40","19","6","6","1","-","1","-","1","-","-"
"2203503013","Cirino - Elesbão Veloso (PI)","Total","Total","208","23","41","59","42","23","9","7","1","1","1","-","-","-","1"
"2203503014","Capitão Mundoco - Elesbão Veloso (PI)","Total","Total","330","56","60","68","68","36","23","5","8","3","1","1","1","-","-"
"2203503015","Grota do Feijão - Elesbão Veloso (PI)","Total","Total","114","18","25","28","26","8","4","2","2","-","-","-","1","-","-"
"2203909001","Centro - Floriano (PI)","Total","Total","1040","156","203","215","218","138","67","21","10","6","1","3","1","1","-"
"2203909002","Bosque Santa Teresinha - Floriano (PI)","Total","Total","250","38","49","51","60","22","12","8","5","2","2","1","-","-","-"
"2203909003","Ibiapaba - Floriano (PI)","Total","Total","438","40","85","81","97","75","27","14","10","7","1","-","-","-","1"
"2203909004","Sambaíba Velha - Floriano (PI)","Total","Total","797","86","160","187","185","90","45","21","9","8","1","-","1","2","2"
"2203909005","Sambaíba Nova - Floriano (PI)","Total","Total","768","73","146","195","172","109","40","22","5","5","-","-","-","1","-"
"2203909006","Cancela - Floriano (PI)","Total","Total","339","51","69","85","74","32","14","4","6","4","-","-","-","-","-"
"2203909007","Catumbi - Floriano (PI)","Total","Total","727","73","152","166","170","89","37","19","10","6","4","1","-","-","-"
"2203909008","Curador - Floriano (PI)","Total","Total","597","74","101","128","140","86","31","17","9","7","1","1","1","1","-"
"2203909009","Pau Ferrado - Floriano (PI)","Total","Total","499","39","99","121","104","87","28","12","5","1","3","-","-","-","-"
"2203909010","Caixa D'Água - Floriano (PI)","Total","Total","717","64","142","185","162","104","35","15","9","1","-","-","-","-","-"
"2203909011","Manguinha - Floriano (PI)","Total","Total","856","112","143","188","189","121","52","24","8","10","6","3","-","-","-"
"2203909012","Irapuã I - Floriano (PI)","Total","Total","764","77","144","191","162","118","39","15","11","5","-","2","-","-","-"
"2203909013","Malária - Floriano (PI)","Total","Total","534","71","103","119","120","61","35","19","3","3","-","-","-","-","-"
"2203909014","Matadouro - Floriano (PI)","Total","Total","173","16","29","50","40","12","14","5","2","1","2","-","1","-","1"
"2203909015","Juá - Floriano (PI)","Total","Total","87","7","13","23","21","6","11","4","2","-","-","-","-","-","-"
"2203909016","Alto da Cruz - Floriano (PI)","Total","Total","260","26","41","61","63","34","20","6","4","3","-","2","-","-","-"
"2203909017","Riacho Fundo - Floriano (PI)","Total","Total","277","28","56","58","64","32","27","8","2","-","2","-","-","-","-"
"2203909018","Planalto Sambaíba - Floriano (PI)","Total","Total","163","9","26","39","46","26","9","6","-","2","-","-","-","-","-"
"2203909019","Vila Leão - Floriano (PI)","Total","Total","151","13","29","35","36","28","5","3","-","1","1","-","-","-","-"
"2203909020","Canoas - Floriano (PI)","Total","Total","61","5","10","18","16","6","3","-","1","1","1","-","-","-","-"
"2203909021","Bom Lugar - Floriano (PI)","Total","Total","362","41","63","80","85","52","24","6","5","2","1","-","-","3","-"
"2203909022","Tiberão - Floriano (PI)","Total","Total","495","56","108","105","121","68","16","14","3","2","-","1","1","-","-"
"2203909023","Curtume - Floriano (PI)","Total","Total","92","11","11","21","27","9","9","2","-","1","-","-","-","1","-"
"2203909024","Nossa Senhora da Guia - Floriano (PI)","Total","Total","84","7","18","18","17","9","9","4","1","-","-","-","-","-","1"
"2203909025","Alto da Guia - Floriano (PI)","Total","Total","151","13","25","32","35","25","9","4","6","1","1","-","-","-","-"
"2203909026","Santa Rita - Floriano (PI)","Total","Total","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"2203909027","Viazul - Floriano (PI)","Total","Total","264","24","46","63","51","40","21","12","6","1","-","-","-","-","-"
"2203909028","Tamboril - Floriano (PI)","Total","Total","492","40","104","92","128","73","29","10","12","2","2","-","-","-","-"
"2203909029","São Borja - Floriano (PI)","Total","Total","321","18","54","75","92","42","25","9","2","3","-","1","-","-","-"
"2203909030","Meladão - Floriano (PI)","Total","Total","134","15","20","26","38","12","8","6","5","3","-","-","1","-","-"
"2203909031","Campo Velho - Floriano (PI)","Total","Total","193","15","38","45","45","25","13","7","1","1","2","-","1","-","-"
"2203909032","Morro do Tiro - Floriano (PI)","Total","Total","173","14","24","36","38","33","14","6","5","1","1","-","-","-","1"
"2203909033","Hermes Pacheco - Floriano (PI)","Total","Total","149","10","31","31","47","16","11","-","2","-","1","-","-","-","-"
"2203909034","Paraíso - Floriano (PI)","Total","Total","162","19","29","27","34","27","14","6","2","3","1","-","-","-","-"
"2203909035","Pedro Simplício - Floriano (PI)","Total","Total","306","20","56","74","91","40","12","8","2","2","-","1","-","-","-"
"2203909036","Rede Nova - Floriano (PI)","Total","Total","123","9","15","28","24","22","12","8","1","1","3","-","-","-","-"
