"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1100205049","Cidade do Lobo - Porto Velho (RO)","Total","Total","1179","979","-","197","3","-"
"1100205050","Eletronorte - Porto Velho (RO)","Total","Total","1977","1557","103","315","2","-"
"1100205051","Novo Horizonte - Porto Velho (RO)","Total","Total","1068","859","171","38","-","-"
"1100205052","Areia Branca - Porto Velho (RO)","Total","Total","431","431","-","-","-","-"
"1100205053","Cascalheira - Porto Velho (RO)","Total","Total","682","634","-","45","3","-"
"1100205054","Escola de Polícia - Porto Velho (RO)","Total","Total","1127","1043","6","76","2","-"
"1100205055","Teixeirão - Porto Velho (RO)","Total","Total","1819","1624","3","186","6","-"
"1100205056","Planalto - Porto Velho (RO)","Total","Total","390","230","160","-","-","-"
"1100205057","Lagoinha - Porto Velho (RO)","Total","Total","2622","2203","1","415","3","-"
"1100205058","Três Marias - Porto Velho (RO)","Total","Total","2981","2676","145","143","17","-"
"1100205059","Cuniã - Porto Velho (RO)","Total","Total","1776","1557","20","198","1","-"
"1100205060","Igarapé - Porto Velho (RO)","Total","Total","2851","2523","34","292","2","-"
"1100205061","Aponiã - Porto Velho (RO)","Total","Total","4267","3755","95","415","2","-"
"1100205062","Conceição - Porto Velho (RO)","Total","Total","2558","2225","10","318","5","-"
"1100288002","Centenário - Rolim de Moura (RO)","Total","Total","833","810","1","22","-","-"
"1100288003","Jardim Tropical - Rolim de Moura (RO)","Total","Total","917","895","-","21","1","-"
"1100288004","São Cristóvão - Rolim de Moura (RO)","Total","Total","1348","1305","1","40","2","-"
"1100288005","Beira Rio - Rolim de Moura (RO)","Total","Total","1586","1563","-","21","2","-"
"1100288006","Olímpico - Rolim de Moura (RO)","Total","Total","936","930","-","4","2","-"
"1100288007","Boa Esperança - Rolim de Moura (RO)","Total","Total","1498","1485","1","12","-","-"
"1100288008","Cidade Alta - Rolim de Moura (RO)","Total","Total","1391","1389","-","-","2","-"
"1100288009","Bairro Industrial - Rolim de Moura (RO)","Total","Total","329","326","-","3","-","-"
"1100288010","Planalto - Rolim de Moura (RO)","Total","Total","1345","1306","10","2","27","-"
"1100288011","Nova Morada - Rolim de Moura (RO)","Total","Total","57","57","-","-","-","-"
"1100288012","Centro - Rolim de Moura (RO)","Total","Total","2254","1940","15","271","28","-"
"1100288013","Mutirão - Rolim de Moura (RO)","Total","Total","209","209","-","-","-","-"
"1100304001","Jardim Eldorado - Vilhena (RO)","Total","Total","2019","1719","22","232","46","-"
"1100304002","Parque São Paulo - Vilhena (RO)","Total","Total","1098","1017","5","76","-","-"
"1100304003","Jardim América - Vilhena (RO)","Total","Total","685","543","1","141","-","-"
"1100304004","Alto Alegre - Vilhena (RO)","Total","Total","1003","910","4","81","8","-"
"1100304005","Marcos Freire - Vilhena (RO)","Total","Total","466","417","-","39","10","-"
"1100304006","Tancredo Neves - Vilhena (RO)","Total","Total","295","277","1","17","-","-"
"1100304007","Nova Esperança - Vilhena (RO)","Total","Total","555","534","2","9","10","-"
"1100320001","Centro - São Miguel do Guaporé (RO)","Total","Total","802","773","1","28","-","-"
"1100320002","Novo Oriente - São Miguel do Guaporé (RO)","Total","Total","297","297","-","-","-","-"
"1100320003","Cristo Rei - São Miguel do Guaporé (RO)","Total","Total","535","530","4","-","1","-"
"1100320004","Planalto - São Miguel do Guaporé (RO)","Total","Total","756","755","-","1","-","-"
"1100338001","Centro - Nova Mamoré (RO)","Total","Total","561","549","5","7","-","-"
"1100338002","São José - Nova Mamoré (RO)","Total","Total","335","331","-","4","-","-"
"1100338003","Santa Luzia - Nova Mamoré (RO)","Total","Total","322","315","4","3","-","-"
"1100338004","Planalto - Nova Mamoré (RO)","Total","Total","553","549","1","2","1","-"
"1100338005","Nossa Senhora de Fátima - Nova Mamoré (RO)","Total","Total","22","21","-","1","-","-"
