"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"3304128015","Santo Antônio - Quatis (RJ)","Total","Total","247","246","-","1","-","-"
"3304128016","São Benedito - Quatis (RJ)","Total","Total","299","296","-","3","-","-"
"3304201001","Centro - Resende (RJ)","Total","Total","1071","695","29","340","7","-"
"3304201002","Jardim Brasília - Resende (RJ)","Total","Total","405","308","2","94","1","-"
"3304201003","Parque Jalisco - Resende (RJ)","Total","Total","791","79","-","712","-","-"
"3304201004","Manejo - Resende (RJ)","Total","Total","144","131","-","11","2","-"
"3304201005","Vila Liberdade - Resende (RJ)","Total","Total","1359","1037","12","279","31","-"
"3304201006","Vila Itapuca - Resende (RJ)","Total","Total","1150","1114","20","9","7","-"
"3304201007","Alegria - Resende (RJ)","Total","Total","645","635","6","3","1","-"
"3304201008","Surubi - Resende (RJ)","Total","Total","475","470","4","-","1","-"
"3304201009","Vicentina - Resende (RJ)","Total","Total","622","621","-","-","1","-"
"3304201010","Campos Elíseos - Resende (RJ)","Total","Total","769","330","33","405","1","-"
"3304201011","Cabral - Resende (RJ)","Total","Total","1541","1436","80","13","12","-"
"3304201012","Paraíso - Resende (RJ)","Total","Total","2368","2229","52","80","7","-"
"3304201013","São Caetano - Resende (RJ)","Total","Total","635","618","5","9","3","-"
"3304201014","Alto do Surubi - Resende (RJ)","Total","Total","402","396","6","-","-","-"
"3304201015","Novo Surubi - Resende (RJ)","Total","Total","557","550","-","4","3","-"
"3304201016","Vila Verde - Resende (RJ)","Total","Total","135","135","-","-","-","-"
"3304201017","Morro do Machado - Resende (RJ)","Total","Total","99","99","-","-","-","-"
"3304201018","Morro do Batista - Resende (RJ)","Total","Total","201","201","-","-","-","-"
"3304201019","Alto dos Passos - Resende (RJ)","Total","Total","263","254","4","3","2","-"
"3304201020","Vila Moderna - Resende (RJ)","Total","Total","341","336","4","1","-","-"
"3304201021","Vila Santo Amaro - Resende (RJ)","Total","Total","864","853","3","-","8","-"
"3304201023","Parque Ipiranga I - Resende (RJ)","Total","Total","297","290","7","-","-","-"
"3304201024","Jardim Brasília II - Resende (RJ)","Total","Total","116","116","-","-","-","-"
"3304201025","Eucaliptal - Resende (RJ)","Total","Total","9","8","1","-","-","-"
"3304201026","Vila Adelaide - Resende (RJ)","Total","Total","72","59","4","9","-","-"
"3304201027","Vila Central - Resende (RJ)","Total","Total","89","87","1","1","-","-"
"3304201028","Vila Elizabeth - Resende (RJ)","Total","Total","24","24","-","-","-","-"
"3304201029","Condomínio Horizontal Tácito - Resende (RJ)","Total","Total","23","11","12","-","-","-"
"3304201030","Barbosa Lima - Resende (RJ)","Total","Total","242","18","-","224","-","-"
"3304201031","Jorge Vas Curvo - Resende (RJ)","Total","Total","265","3","6","256","-","-"
"3304201032","Vila Nova Liberdade - Resende (RJ)","Total","Total","825","651","37","133","4","-"
"3304201033","Vila Santa Cecília - Resende (RJ)","Total","Total","583","527","4","52","-","-"
"3304201034","Vila Julieta - Resende (RJ)","Total","Total","2098","1726","22","339","11","-"
"3304201035","Vila Huda Rocha - Resende (RJ)","Total","Total","57","57","-","-","-","-"
"3304201036","Indústria IQR - Resende (RJ)","Total","Total","10","10","-","-","-","-"
"3304201037","Vila Santa Isabel - Resende (RJ)","Total","Total","219","171","-","48","-","-"
"3304201038","Retiro do Paraíso - Resende (RJ)","Total","Total","127","82","-","45","-","-"
"3304201039","Bairro Helite - Resende (RJ)","Total","Total","260","235","1","24","-","-"
"3304201040","Morada da Felicidade - Resende (RJ)","Total","Total","56","56","-","-","-","-"
"3304201041","Baixada da Itapuca - Resende (RJ)","Total","Total","408","404","2","2","-","-"
"3304201042","Aeroporto - Resende (RJ)","Total","Total","12","11","1","-","-","-"
"3304201044","Morada da Colina - Resende (RJ)","Total","Total","486","473","1","12","-","-"
"3304201045","Mirante das Agulhas - Resende (RJ)","Total","Total","383","382","-","1","-","-"
"3304201046","Morada do Bosque - Resende (RJ)","Total","Total","10","10","-","-","-","-"
"3304201047","Condomínio Morada das Agulhas - Resende (RJ)","Total","Total","30","7","23","-","-","-"
"3304201048","Casa da Lua - Resende (RJ)","Total","Total","101","101","-","-","-","-"
"3304201049","Boa Vista - Resende (RJ)","Total","Total","204","204","-","-","-","-"
"3304201050","Boa Vista II - Resende (RJ)","Total","Total","278","276","-","1","1","-"
"3304201051","Mirante da Serra - Resende (RJ)","Total","Total","94","94","-","-","-","-"
"3304201052","Toyota - Resende (RJ)","Total","Total","527","523","3","1","-","-"
"3304201053","Primavera - Resende (RJ)","Total","Total","713","713","-","-","-","-"
"3304201054","Vila Isabel - Resende (RJ)","Total","Total","294","294","-","-","-","-"
"3304201055","Jardim Beira Rio - Resende (RJ)","Total","Total","486","486","-","-","-","-"
"3304201056","Nova Alegria - Resende (RJ)","Total","Total","725","723","-","2","-","-"
"3304201057","Jardim Alegria - Resende (RJ)","Total","Total","475","473","-","2","-","-"
"3304201058","Cidade da Alegria - Resende (RJ)","Total","Total","3781","2599","10","1171","1","-"
"3304201059","Alegria II - Resende (RJ)","Total","Total","45","45","-","-","-","-"
"3304201060","Comercial - Resende (RJ)","Total","Total","764","52","2","709","1","-"
"3304201061","Jardim Tropical - Resende (RJ)","Total","Total","53","45","-","8","-","-"
"3304201062","Montese - Resende (RJ)","Total","Total","177","173","3","1","-","-"
"3304201063","Montese II - Resende (RJ)","Total","Total","33","33","-","-","-","-"
"3304201064","Morada do Castelo - Resende (RJ)","Total","Total","111","11","-","100","-","-"
"3304201065","Alambari - Resende (RJ)","Total","Total","145","120","2","23","-","-"
"3304201066","Castelo Branco - Resende (RJ)","Total","Total","325","324","-","1","-","-"
"3304557001","Centro - Rio de Janeiro (RJ)","Total","Total","19622","438","451","17484","1249","-"
"3304557002","Gamboa - Rio de Janeiro (RJ)","Total","Total","4170","2516","306","1042","306","-"
"3304557003","Santo Cristo - Rio de Janeiro (RJ)","Total","Total","4070","2239","475","1101","255","-"
"3304557004","Caju - Rio de Janeiro (RJ)","Total","Total","6481","5787","104","419","171","-"
"3304557005","Catumbi - Rio de Janeiro (RJ)","Total","Total","4028","2528","273","1217","10","-"
"3304557006","Rio Comprido - Rio de Janeiro (RJ)","Total","Total","14352","6116","1113","6933","190","-"
"3304557007","Cidade Nova - Rio de Janeiro (RJ)","Total","Total","1929","578","138","825","388","-"
"3304557008","Estácio - Rio de Janeiro (RJ)","Total","Total","5749","3262","231","2056","200","-"
"3304557009","Flamengo - Rio de Janeiro (RJ)","Total","Total","23151","359","90","22679","23","-"
"3304557010","Glória - Rio de Janeiro (RJ)","Total","Total","4534","147","26","4275","86","-"
"3304557011","Laranjeiras - Rio de Janeiro (RJ)","Total","Total","18765","1310","295","17047","113","-"
"3304557012","Catete - Rio de Janeiro (RJ)","Total","Total","10409","1498","317","8453","141","-"
"3304557013","Cosme Velho - Rio de Janeiro (RJ)","Total","Total","2356","1065","118","1167","6","-"
"3304557014","Botafogo - Rio de Janeiro (RJ)","Total","Total","35007","2634","918","31377","78","-"
"3304557015","Urca - Rio de Janeiro (RJ)","Total","Total","2550","390","128","2029","3","-"
"3304557016","Humaitá - Rio de Janeiro (RJ)","Total","Total","5809","400","90","5318","1","-"
"3304557017","Leme - Rio de Janeiro (RJ)","Total","Total","6229","1191","40","4993","5","-"
"3304557018","Copacabana - Rio de Janeiro (RJ)","Total","Total","66040","3847","426","61560","207","-"
"3304557019","Ipanema - Rio de Janeiro (RJ)","Total","Total","18416","1206","403","16786","21","-"
"3304557020","Leblon - Rio de Janeiro (RJ)","Total","Total","19589","349","64","19111","65","-"
"3304557021","Lagoa - Rio de Janeiro (RJ)","Total","Total","8320","226","78","8016","-","-"
"3304557022","Jardim Botânico - Rio de Janeiro (RJ)","Total","Total","6978","1209","319","5448","2","-"
"3304557023","Gávea - Rio de Janeiro (RJ)","Total","Total","6415","1011","74","5318","12","-"
"3304557024","Vidigal - Rio de Janeiro (RJ)","Total","Total","4304","3811","172","318","3","-"
"3304557025","São Conrado - Rio de Janeiro (RJ)","Total","Total","3855","945","34","2870","6","-"
"3304557026","São Cristóvão - Rio de Janeiro (RJ)","Total","Total","8595","3576","974","3889","156","-"
"3304557027","Mangueira - Rio de Janeiro (RJ)","Total","Total","5080","4152","668","251","9","-"
"3304557028","Benfica - Rio de Janeiro (RJ)","Total","Total","7778","4250","1213","2218","97","-"
"3304557029","Praça da Bandeira - Rio de Janeiro (RJ)","Total","Total","3426","169","336","2822","99","-"
"3304557030","Tijuca - Rio de Janeiro (RJ)","Total","Total","61905","9170","2368","50212","155","-"
"3304557031","Alto da Boa Vista - Rio de Janeiro (RJ)","Total","Total","2972","2136","342","486","8","-"
"3304557032","Maracanã - Rio de Janeiro (RJ)","Total","Total","9847","535","707","8505","100","-"
"3304557033","Vila Isabel - Rio de Janeiro (RJ)","Total","Total","31093","8146","2380","20475","92","-"
"3304557034","Andaraí - Rio de Janeiro (RJ)","Total","Total","14683","3207","1731","9677","68","-"
"3304557035","Grajaú - Rio de Janeiro (RJ)","Total","Total","14203","3283","786","10104","30","-"
"3304557036","Manguinhos - Rio de Janeiro (RJ)","Total","Total","10622","9624","393","456","149","-"
"3304557037","Bonsucesso - Rio de Janeiro (RJ)","Total","Total","6681","2736","866","2971","108","-"
"3304557038","Ramos - Rio de Janeiro (RJ)","Total","Total","14055","6745","1630","5617","63","-"
"3304557039","Olaria - Rio de Janeiro (RJ)","Total","Total","19821","9810","973","8961","77","-"
"3304557040","Penha - Rio de Janeiro (RJ)","Total","Total","23915","15723","1252","6898","42","-"
"3304557041","Penha Circular - Rio de Janeiro (RJ)","Total","Total","15566","8866","939","5708","53","-"
"3304557042","Brás de Pina - Rio de Janeiro (RJ)","Total","Total","19103","11851","752","6449","51","-"
"3304557043","Cordovil - Rio de Janeiro (RJ)","Total","Total","14571","7559","1298","5687","27","-"
"3304557044","Parada de Lucas - Rio de Janeiro (RJ)","Total","Total","7204","5849","334","963","58","-"
"3304557045","Vigário Geral - Rio de Janeiro (RJ)","Total","Total","12640","10438","1173","1004","25","-"
"3304557046","Jardim América - Rio de Janeiro (RJ)","Total","Total","8130","5689","161","2249","31","-"
"3304557047","São Francisco Xavier - Rio de Janeiro (RJ)","Total","Total","2837","700","661","1309","167","-"
"3304557048","Rocha - Rio de Janeiro (RJ)","Total","Total","3128","819","599","1694","16","-"
"3304557049","Riachuelo - Rio de Janeiro (RJ)","Total","Total","4532","1069","1125","2287","51","-"
"3304557050","Sampaio - Rio de Janeiro (RJ)","Total","Total","3235","1564","399","1077","195","-"
"3304557051","Engenho Novo - Rio de Janeiro (RJ)","Total","Total","14244","5449","2036","6724","35","-"
"3304557052","Lins de Vasconcelos - Rio de Janeiro (RJ)","Total","Total","12262","5068","1063","6078","53","-"
"3304557053","Méier - Rio de Janeiro (RJ)","Total","Total","18762","2608","1952","14135","67","-"
"3304557054","Todos os Santos - Rio de Janeiro (RJ)","Total","Total","8789","1594","1009","6183","3","-"
"3304557055","Cachambi - Rio de Janeiro (RJ)","Total","Total","15047","3433","1812","9730","72","-"
"3304557056","Engenho de Dentro - Rio de Janeiro (RJ)","Total","Total","15775","5988","2948","6556","283","-"
"3304557057","Água Santa - Rio de Janeiro (RJ)","Total","Total","2498","806","791","901","-","-"
"3304557058","Encantado - Rio de Janeiro (RJ)","Total","Total","5216","2299","1101","1804","12","-"
"3304557059","Piedade - Rio de Janeiro (RJ)","Total","Total","14871","7020","3514","4319","18","-"
"3304557060","Abolição - Rio de Janeiro (RJ)","Total","Total","4099","1701","451","1940","7","-"
"3304557061","Pilares - Rio de Janeiro (RJ)","Total","Total","9266","5037","953","3224","52","-"
"3304557062","Vila Kosmos - Rio de Janeiro (RJ)","Total","Total","5931","3566","67","2296","2","-"
"3304557063","Vicente de Carvalho - Rio de Janeiro (RJ)","Total","Total","8299","6500","465","1319","15","-"
"3304557064","Vila da Penha - Rio de Janeiro (RJ)","Total","Total","9188","3173","230","5783","2","-"
"3304557065","Vista Alegre - Rio de Janeiro (RJ)","Total","Total","3008","1532","313","1161","2","-"
"3304557066","Irajá - Rio de Janeiro (RJ)","Total","Total","33219","17050","1469","14606","94","-"
"3304557067","Colégio - Rio de Janeiro (RJ)","Total","Total","9457","7596","528","1328","5","-"
"3304557068","Campinho - Rio de Janeiro (RJ)","Total","Total","3466","1699","864","892","11","-"
"3304557069","Quintino Bocaiúva - Rio de Janeiro (RJ)","Total","Total","10553","5473","2438","2598","44","-"
"3304557070","Cavalcanti - Rio de Janeiro (RJ)","Total","Total","5265","3716","579","952","18","-"
"3304557071","Engenheiro Leal - Rio de Janeiro (RJ)","Total","Total","1885","1501","204","180","-","-"
"3304557072","Cascadura - Rio de Janeiro (RJ)","Total","Total","11413","5829","2076","3459","49","-"
"3304557073","Madureira - Rio de Janeiro (RJ)","Total","Total","16875","8259","3352","5171","93","-"
"3304557074","Vaz Lobo - Rio de Janeiro (RJ)","Total","Total","4897","3219","519","1124","35","-"
"3304557075","Turiaçu - Rio de Janeiro (RJ)","Total","Total","5480","3700","575","1203","2","-"
"3304557076","Rocha Miranda - Rio de Janeiro (RJ)","Total","Total","14867","11250","1548","2014","55","-"
"3304557077","Honório Gurgel - Rio de Janeiro (RJ)","Total","Total","7306","6160","393","609","144","-"
"3304557078","Oswaldo Cruz - Rio de Janeiro (RJ)","Total","Total","11759","5844","2841","3020","54","-"
"3304557079","Bento Ribeiro - Rio de Janeiro (RJ)","Total","Total","14886","10674","1701","2483","28","-"
"3304557080","Marechal Hermes - Rio de Janeiro (RJ)","Total","Total","15983","11834","1523","2552","74","-"
"3304557081","Jacarepaguá - Rio de Janeiro (RJ)","Total","Total","52812","27503","4065","16462","4782","-"
"3304557082","Anil - Rio de Janeiro (RJ)","Total","Total","8066","4168","1510","2370","18","-"
"3304557083","Gardênia Azul - Rio de Janeiro (RJ)","Total","Total","6025","4153","517","1096","259","-"
"3304557084","Cidade de Deus - Rio de Janeiro (RJ)","Total","Total","11388","9226","169","1914","79","-"
"3304557085","Curicica - Rio de Janeiro (RJ)","Total","Total","10091","8518","653","787","133","-"
"3304557086","Freguesia (Jacarepaguá) - Rio de Janeiro (RJ)","Total","Total","24133","7223","3531","13308","71","-"
"3304557087","Pechincha - Rio de Janeiro (RJ)","Total","Total","12467","3932","1282","7162","91","-"
"3304557088","Taquara - Rio de Janeiro (RJ)","Total","Total","33841","16328","5738","11492","283","-"
"3304557089","Tanque - Rio de Janeiro (RJ)","Total","Total","12556","6594","2195","3700","67","-"
"3304557090","Praça Seca - Rio de Janeiro (RJ)","Total","Total","20897","9933","2760","7941","263","-"
"3304557091","Vila Valqueire - Rio de Janeiro (RJ)","Total","Total","10678","4741","1503","4408","26","-"
"3304557092","Deodoro - Rio de Janeiro (RJ)","Total","Total","3291","1836","35","1420","-","-"
"3304557093","Vila Militar - Rio de Janeiro (RJ)","Total","Total","4152","3204","69","875","4","-"
"3304557094","Campo dos Afonsos - Rio de Janeiro (RJ)","Total","Total","375","12","280","83","-","-"
"3304557095","Jardim Sulacap - Rio de Janeiro (RJ)","Total","Total","4388","2253","228","1906","1","-"
"3304557096","Magalhães Bastos - Rio de Janeiro (RJ)","Total","Total","8089","6468","1068","451","102","-"
"3304557097","Realengo - Rio de Janeiro (RJ)","Total","Total","59238","41487","6723","10765","263","-"
"3304557098","Padre Miguel - Rio de Janeiro (RJ)","Total","Total","21146","17664","694","2746","42","-"
"3304557099","Bangu - Rio de Janeiro (RJ)","Total","Total","76832","61319","3863","11298","352","-"
"3304557100","Senador Camará - Rio de Janeiro (RJ)","Total","Total","34042","28658","1102","3818","464","-"
"3304557101","Santíssimo - Rio de Janeiro (RJ)","Total","Total","13124","11764","999","292","69","-"
"3304557102","Campo Grande - Rio de Janeiro (RJ)","Total","Total","104804","88761","4316","11464","263","-"
"3304557103","Senador Vasconcelos - Rio de Janeiro (RJ)","Total","Total","9826","8238","759","825","4","-"
"3304557104","Inhoaíba - Rio de Janeiro (RJ)","Total","Total","19867","18305","299","1218","45","-"
"3304557105","Cosmos - Rio de Janeiro (RJ)","Total","Total","24081","22082","373","1371","255","-"
"3304557106","Paciência - Rio de Janeiro (RJ)","Total","Total","28678","26764","484","1363","67","-"
"3304557107","Santa Cruz - Rio de Janeiro (RJ)","Total","Total","66087","60776","1402","3542","367","-"
"3304557108","Sepetiba - Rio de Janeiro (RJ)","Total","Total","17833","16660","701","421","51","-"
"3304557109","Ribeira - Rio de Janeiro (RJ)","Total","Total","1263","326","90","822","25","-"
"3304557110","Zumbi - Rio de Janeiro (RJ)","Total","Total","731","203","132","395","1","-"
"3304557111","Cacuia - Rio de Janeiro (RJ)","Total","Total","3769","2508","252","898","111","-"
"3304557112","Pitangueiras - Rio de Janeiro (RJ)","Total","Total","3917","3215","177","493","32","-"
"3304557113","Praia da Bandeira - Rio de Janeiro (RJ)","Total","Total","2135","410","57","1667","1","-"
"3304557114","Cocotá - Rio de Janeiro (RJ)","Total","Total","1706","606","208","872","20","-"
"3304557115","Bancários - Rio de Janeiro (RJ)","Total","Total","4088","3005","458","624","1","-"
"3304557116","Freguesia (Ilha do Governador) - Rio de Janeiro (RJ)","Total","Total","6581","3954","649","1959","19","-"
"3304557117","Jardim Guanabara - Rio de Janeiro (RJ)","Total","Total","11292","3046","55","8186","5","-"
"3304557118","Jardim Carioca - Rio de Janeiro (RJ)","Total","Total","8448","5423","1257","1357","411","-"
"3304557119","Tauá - Rio de Janeiro (RJ)","Total","Total","9811","6609","403","2364","435","-"
"3304557120","Moneró - Rio de Janeiro (RJ)","Total","Total","2384","450","98","1833","3","-"
"3304557121","Portuguesa - Rio de Janeiro (RJ)","Total","Total","8304","3743","319","4196","46","-"
"3304557122","Galeão - Rio de Janeiro (RJ)","Total","Total","6857","5380","411","1016","50","-"
"3304557123","Cidade Universitária - Rio de Janeiro (RJ)","Total","Total","457","440","8","6","3","-"
"3304557124","Guadalupe - Rio de Janeiro (RJ)","Total","Total","15783","12060","142","3558","23","-"
"3304557125","Anchieta - Rio de Janeiro (RJ)","Total","Total","17702","14757","1887","1021","37","-"
"3304557126","Parque Anchieta - Rio de Janeiro (RJ)","Total","Total","8478","7486","146","844","2","-"
"3304557127","Ricardo de Albuquerque - Rio de Janeiro (RJ)","Total","Total","9764","8474","868","408","14","-"
"3304557128","Santa Teresa - Rio de Janeiro (RJ)","Total","Total","15323","6871","992","6979","481","-"
"3304557129","Joá - Rio de Janeiro (RJ)","Total","Total","250","125","49","75","1","-"
"3304557130","Itanhangá - Rio de Janeiro (RJ)","Total","Total","12782","5789","840","5285","868","-"
"3304557131","Barra da Tijuca - Rio de Janeiro (RJ)","Total","Total","51167","4459","2633","44001","74","-"
"3304557132","Camorim - Rio de Janeiro (RJ)","Total","Total","655","346","72","222","15","-"
"3304557133","Vargem Pequena - Rio de Janeiro (RJ)","Total","Total","8419","5260","1692","1032","435","-"
"3304557134","Vargem Grande - Rio de Janeiro (RJ)","Total","Total","4464","3552","646","206","60","-"
"3304557135","Recreio dos Bandeirantes - Rio de Janeiro (RJ)","Total","Total","28332","7365","1358","19503","106","-"
"3304557136","Grumari - Rio de Janeiro (RJ)","Total","Total","44","44","-","-","-","-"
"3304557137","Coelho Neto - Rio de Janeiro (RJ)","Total","Total","11020","6947","378","3632","63","-"
"3304557138","Acari - Rio de Janeiro (RJ)","Total","Total","8015","6886","321","767","41","-"
"3304557139","Barros Filho - Rio de Janeiro (RJ)","Total","Total","4591","4048","258","259","26","-"
"3304557140","Costa Barros - Rio de Janeiro (RJ)","Total","Total","8675","8109","80","376","110","-"
"3304557141","Pavuna - Rio de Janeiro (RJ)","Total","Total","31063","23779","2822","4294","168","-"
"3304557142","Guaratiba - Rio de Janeiro (RJ)","Total","Total","33389","31544","1175","524","146","-"
"3304557143","Barra de Guaratiba - Rio de Janeiro (RJ)","Total","Total","1172","988","84","96","4","-"
"3304557144","Pedra de Guaratiba - Rio de Janeiro (RJ)","Total","Total","3083","2726","173","183","1","-"
"3304557145","Higienópolis - Rio de Janeiro (RJ)","Total","Total","5422","2251","75","3094","2","-"
"3304557146","Jacaré - Rio de Janeiro (RJ)","Total","Total","2668","1888","142","629","9","-"
"3304557147","Maria da Graça - Rio de Janeiro (RJ)","Total","Total","2820","1509","104","1202","5","-"
"3304557148","Del Castilho - Rio de Janeiro (RJ)","Total","Total","5190","2357","183","2635","15","-"
"3304557149","Inhaúma - Rio de Janeiro (RJ)","Total","Total","15044","9560","1220","4212","52","-"
"3304557150","Engenho da Rainha - Rio de Janeiro (RJ)","Total","Total","8938","3797","237","4850","54","-"
"3304557151","Tomás Coelho - Rio de Janeiro (RJ)","Total","Total","7552","4045","568","2932","7","-"
"3304557152","Saúde - Rio de Janeiro (RJ)","Total","Total","946","417","9","428","92","-"
"3304557153","Paquetá - Rio de Janeiro (RJ)","Total","Total","1253","948","98","201","6","-"
"3304557154","Parque Columbia - Rio de Janeiro (RJ)","Total","Total","2935","2565","203","152","15","-"
"3304557155","Jacarezinho - Rio de Janeiro (RJ)","Total","Total","11349","9272","631","1229","217","-"
"3304557156","Rocinha - Rio de Janeiro (RJ)","Total","Total","23399","14475","179","8469","276","-"
"3304557157","Complexo do Alemão - Rio de Janeiro (RJ)","Total","Total","21035","18443","805","1676","111","-"
"3304557158","Maré - Rio de Janeiro (RJ)","Total","Total","41731","33252","1556","5073","1850","-"
"3304557159","Vasco da Gama - Rio de Janeiro (RJ)","Total","Total","5345","2968","741","1334","302","-"
"3304557160","Gericinó - Rio de Janeiro (RJ)","Total","Total","781","689","11","47","34","-"
"3304904001","Alcântara - São Gonçalo (RJ)","Total","Total","4847","814","201","3830","2","-"
"3304904002","Antonina - São Gonçalo (RJ)","Total","Total","2544","2339","71","105","29","-"
"3304904003","Boaçu - São Gonçalo (RJ)","Total","Total","8680","7530","460","665","25","-"
"3304904004","Brasilândia I - São Gonçalo (RJ)","Total","Total","699","651","7","28","13","-"
"3304904005","Centro - São Gonçalo (RJ)","Total","Total","1943","936","204","801","2","-"
"3304904006","Colubandê - São Gonçalo (RJ)","Total","Total","9829","7743","604","1417","65","-"
"3304904007","Cruzeiro do Sul - São Gonçalo (RJ)","Total","Total","1726","1533","165","21","7","-"
"3304904008","Engenho Pequeno I - São Gonçalo (RJ)","Total","Total","734","723","3","8","-","-"
"3304904009","Estrela do Norte - São Gonçalo (RJ)","Total","Total","2273","1419","141","708","5","-"
"3304904010","Fazenda dos Mineiros - São Gonçalo (RJ)","Total","Total","1642","1597","17","21","7","-"
"3304904011","Galo Branco - São Gonçalo (RJ)","Total","Total","4559","4000","279","278","2","-"
"3304904012","Itaóca - São Gonçalo (RJ)","Total","Total","1257","1242","8","6","1","-"
"3304904013","Itaúna - São Gonçalo (RJ)","Total","Total","5851","5578","211","59","3","-"
"3304904014","Lindo Parque I - São Gonçalo (RJ)","Total","Total","515","452","37","2","24","-"
"3304904015","Luiz Caçador - São Gonçalo (RJ)","Total","Total","1757","1728","29","-","-","-"
"3304904016","Mutondo - São Gonçalo (RJ)","Total","Total","9015","5285","381","3335","14","-"
"3304904017","Mutuá - São Gonçalo (RJ)","Total","Total","4497","3851","357","253","36","-"
"3304904018","Mutuaguaçu - São Gonçalo (RJ)","Total","Total","1852","1676","120","56","-","-"
"3304904019","Mutuapira - São Gonçalo (RJ)","Total","Total","3093","2874","62","153","4","-"
"3304904020","Nova Cidade - São Gonçalo (RJ)","Total","Total","4206","3229","219","741","17","-"
"3304904021","Palmeiras - São Gonçalo (RJ)","Total","Total","3021","3000","16","5","-","-"
"3304904022","Porto da Rosa - São Gonçalo (RJ)","Total","Total","7309","6837","365","84","23","-"
"3304904023","Recanto das Acácias - São Gonçalo (RJ)","Total","Total","1060","970","57","4","29","-"
"3304904024","Rocha - São Gonçalo (RJ)","Total","Total","8854","7575","325","902","52","-"
"3304904025","Salgueiro - São Gonçalo (RJ)","Total","Total","2965","2839","98","27","1","-"
"3304904026","São Miguel - São Gonçalo (RJ)","Total","Total","1521","1271","127","84","39","-"
"3304904027","Tribobó I - São Gonçalo (RJ)","Total","Total","587","534","39","14","-","-"
"3304904028","Trindade - São Gonçalo (RJ)","Total","Total","11551","10396","686","448","21","-"
"3304904029","Vila Yara - São Gonçalo (RJ)","Total","Total","1609","318","8","1283","-","-"
"3304904030","Zé Garoto I - São Gonçalo (RJ)","Total","Total","230","156","59","15","-","-"
"3304904031","Almerinda - São Gonçalo (RJ)","Total","Total","4404","4039","209","125","31","-"
"3304904032","Amendoeira - São Gonçalo (RJ)","Total","Total","4736","4397","257","69","13","-"
"3304904033","Anaia Grande - São Gonçalo (RJ)","Total","Total","372","372","-","-","-","-"
"3304904034","Anaia Pequeno - São Gonçalo (RJ)","Total","Total","1766","1746","20","-","-","-"
"3304904035","Arrastão - São Gonçalo (RJ)","Total","Total","1536","1465","29","-","42","-"
"3304904036","Arsenal - São Gonçalo (RJ)","Total","Total","3899","3020","631","213","35","-"
"3304904037","Coelho - São Gonçalo (RJ)","Total","Total","6400","6026","267","85","22","-"
"3304904038","Eliane - São Gonçalo (RJ)","Total","Total","1311","1308","2","1","-","-"
"3304904039","Engenho do Roçado - São Gonçalo (RJ)","Total","Total","2119","2008","105","6","-","-"
"3304904040","Ieda - São Gonçalo (RJ)","Total","Total","1310","1291","6","4","9","-"
"3304904041","Ipiíba - São Gonçalo (RJ)","Total","Total","484","480","4","-","-","-"
"3304904042","Jardim Amendoeira - São Gonçalo (RJ)","Total","Total","608","607","1","-","-","-"
"3304904043","Jardim Nova República - São Gonçalo (RJ)","Total","Total","2257","1991","249","14","3","-"
"3304904044","Jockey - São Gonçalo (RJ)","Total","Total","3481","2998","476","4","3","-"
"3304904045","Lagoinha I - São Gonçalo (RJ)","Total","Total","1049","815","224","10","-","-"
"3304904046","Largo da Idéia I - São Gonçalo (RJ)","Total","Total","415","387","23","5","-","-"
"3304904047","Maria Paula I - São Gonçalo (RJ)","Total","Total","3748","3331","134","281","2","-"
"3304904048","Pacheco I - São Gonçalo (RJ)","Total","Total","2668","2604","25","36","3","-"
"3304904049","Raul Veiga I - São Gonçalo (RJ)","Total","Total","2713","2183","222","276","32","-"
"3304904050","Rio do Ouro - São Gonçalo (RJ)","Total","Total","3334","3222","76","26","10","-"
"3304904051","Sacramento I - São Gonçalo (RJ)","Total","Total","3357","3227","73","52","5","-"
"3304904052","Santa Isabel - São Gonçalo (RJ)","Total","Total","4616","4413","153","31","19","-"
"3304904053","Tiradentes - São Gonçalo (RJ)","Total","Total","804","798","4","2","-","-"
"3304904054","Tribobó II - São Gonçalo (RJ)","Total","Total","1589","1473","104","12","-","-"
"3304904055","Várzea das Moças - São Gonçalo (RJ)","Total","Total","1633","1474","11","-","148","-"
"3304904056","Vila Candosa - São Gonçalo (RJ)","Total","Total","393","379","7","6","1","-"
"3304904057","Barracão - São Gonçalo (RJ)","Total","Total","1404","934","447","12","11","-"
