"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"3170206031","Daniel Fonseca - Uberlândia (MG)","Total","Total","919","431","211","47","4","1"
"3170206032","Saraiva - Uberlândia (MG)","Total","Total","1156","1406","826","268","33","-"
"3170206033","São Jorge - Uberlândia (MG)","Total","Total","5991","1606","179","17","14","4"
"3170206034","Tabajaras - Uberlândia (MG)","Total","Total","488","787","587","522","29","-"
"3170206035","Centro - Uberlândia (MG)","Total","Total","1305","1032","585","200","23","-"
"3170206036","Taiaman - Uberlândia (MG)","Total","Total","1929","565","73","7","10","1"
"3170206037","Jardim das Palmeiras - Uberlândia (MG)","Total","Total","2820","1248","195","29","2","2"
"3170206038","Vigilato Pereira - Uberlândia (MG)","Total","Total","420","443","410","328","1","-"
"3170206039","Laranjeiras - Uberlândia (MG)","Total","Total","4337","1388","173","14","36","4"
"3170206040","Fundinho - Uberlândia (MG)","Total","Total","302","303","252","221","9","-"
"3170206041","Morumbi - Uberlândia (MG)","Total","Total","4152","974","130","11","10","6"
"3170206042","Dona Zulmira - Uberlândia (MG)","Total","Total","839","404","76","10","23","1"
"3170206043","Santa Luzia - Uberlândia (MG)","Total","Total","747","430","88","11","-","-"
"3170206044","Lídice - Uberlândia (MG)","Total","Total","463","601","344","170","1","-"
"3170206045","Pacaembú - Uberlândia (MG)","Total","Total","1804","795","253","39","6","-"
"3170206046","Jaraguá - Uberlândia (MG)","Total","Total","1828","655","139","50","6","1"
"3170206047","Jardim Canaã - Uberlândia (MG)","Total","Total","3467","839","69","7","18","7"
"3170206048","Jardim Holanda - Uberlândia (MG)","Total","Total","1261","262","30","4","-","-"
"3170206049","Custódio Pereira - Uberlândia (MG)","Total","Total","1889","918","273","53","10","-"
"3170206050","Panorama - Uberlândia (MG)","Total","Total","833","45","22","10","-","-"
"3170206051","Granada - Uberlândia (MG)","Total","Total","2378","1525","235","26","28","-"
"3170701001","Centro - Varginha (MG)","Total","Total","597","604","452","167","4","9"
"3170701002","Floresta - Varginha (MG)","Total","Total","988","387","98","18","1","-"
"3170701003","Jardim Andere - Varginha (MG)","Total","Total","359","259","143","43","1","-"
"3170701004","Vale dos Ipês - Varginha (MG)","Total","Total","51","60","36","10","-","-"
"3170701005","Santa Luíza - Varginha (MG)","Total","Total","72","166","142","71","-","-"
"3170701006","Canaã - Varginha (MG)","Total","Total","811","341","104","21","1","-"
"3170701007","Fátima - Varginha (MG)","Total","Total","1171","486","112","30","7","4"
"3170701008","Catanduvas - Varginha (MG)","Total","Total","757","363","76","14","-","2"
"3170701009","Vila Pinto - Varginha (MG)","Total","Total","111","188","208","178","-","-"
"3170701010","Bela Vista - Varginha (MG)","Total","Total","198","175","57","16","-","-"
"3170701011","Boa Vista - Varginha (MG)","Total","Total","232","390","171","46","-","1"
"3170701012","Bom Pastor - Varginha (MG)","Total","Total","1053","603","215","78","-","1"
"3170701013","Campos Elíseos - Varginha (MG)","Total","Total","815","495","202","95","-","-"
"3170701014","Barcelona - Varginha (MG)","Total","Total","1738","471","61","23","1","-"
"3170701015","Santa Maria - Varginha (MG)","Total","Total","750","343","70","14","-","-"
"3170701016","Vargem - Varginha (MG)","Total","Total","519","89","15","3","2","-"
"3170701017","Cidade Nova - Varginha (MG)","Total","Total","1160","509","118","19","6","-"
"3170701018","Santana - Varginha (MG)","Total","Total","951","535","130","19","4","-"
"3170701019","Sion - Varginha (MG)","Total","Total","2309","735","112","16","4","3"
"3170701020","Padre Vitor - Varginha (MG)","Total","Total","516","89","4","3","-","-"
"3170701021","Damasco - Varginha (MG)","Total","Total","906","189","20","2","-","1"
"3170701022","Centenário - Varginha (MG)","Total","Total","1091","318","36","4","1","1"
"3170701023","Rezende - Varginha (MG)","Total","Total","229","252","111","72","-","-"
"3170701024","Distrito Industrial Cláudio Galvão Nogueira - Varginha (MG)","Total","Total","16","1","1","-","-","-"
"3170701025","Parque de Exposições - Varginha (MG)","Total","Total","268","214","33","1","-","-"
"3170701026","Imaculada Conceição - Varginha (MG)","Total","Total","926","256","28","2","-","-"
"3170701027","Urupês - Varginha (MG)","Total","Total","176","167","53","9","-","-"
"3170701028","Industrial Miguel de Luca - Varginha (MG)","Total","Total","527","48","6","-","2","-"
"3170701029","Industrial JK - Varginha (MG)","Total","Total","245","63","8","1","-","-"
"3170701030","Aeroporto - Varginha (MG)","Total","Total","12","3","-","1","-","-"
"3170701031","Condomínio Ilha das Orquídeas - Varginha (MG)","Total","Total","51","21","4","3","-","-"
"3170701032","Parque Mariela - Varginha (MG)","Total","Total","184","69","15","9","-","-"
"3170701033","Jardim Áurea - Varginha (MG)","Total","Total","263","26","4","2","-","1"
"3170701034","Área Urbana XXXI - Parque Rinaldo - Varginha (MG)","Total","Total","469","115","19","3","2","1"
"3170701035","Área Urbana XXX-Corcetti - Varginha (MG)","Total","Total","1063","253","28","7","1","1"
"3170701036","Área Urbana XVII - Pinheiros - Varginha (MG)","Total","Total","769","323","78","9","2","-"
"3170701037","Condomínio Lagamar - Varginha (MG)","Total","Total","1","3","4","4","-","-"
"3171204001","Parque Jardim Alterosa - Vespasiano (MG)","Total","Total","312","112","29","6","4","2"
"3171204002","Fagundes - Vespasiano (MG)","Total","Total","24","12","1","1","-","-"
"3171204003","Célvia - Vespasiano (MG)","Total","Total","1507","324","49","6","21","3"
"3171204004","Parque Jardim Itaú - Vespasiano (MG)","Total","Total","142","127","98","55","3","-"
"3171204005","De Lourdes - Vespasiano (MG)","Total","Total","431","191","47","11","19","2"
"3171204006","Názia - Vespasiano (MG)","Total","Total","135","80","46","6","-","-"
"3171204007","Centro - Vespasiano (MG)","Total","Total","177","129","36","10","-","-"
"3171204008","Santo Antônio - Vespasiano (MG)","Total","Total","77","21","5","-","3","-"
"3171204009","Caieira - Vespasiano (MG)","Total","Total","1834","301","65","16","5","-"
"3171501001","Bela Vista - Mathias Lobato (MG)","Total","Total","174","12","-","1","-","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","Total","1350","227","34","4","9","9"
"3200607002","Bela Vista - Aracruz (ES)","Total","Total","1130","306","67","10","76","1"
"3200607003","Centro - Aracruz (ES)","Total","Total","374","340","138","37","13","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","Total","86","3","-","-","2","11"
"3200607005","Cupido - Aracruz (ES)","Total","Total","120","12","-","-","-","4"
"3200607006","de Carli - Aracruz (ES)","Total","Total","121","133","38","21","7","-"
"3200607007","Fatima - Aracruz (ES)","Total","Total","837","178","25","9","5","1"
"3200607008","Guanabara - Aracruz (ES)","Total","Total","545","92","3","1","13","-"
"3200607009","Guaxindiba - Aracruz (ES)","Total","Total","382","121","17","1","10","4"
"3200607010","Itaputera - Aracruz (ES)","Total","Total","184","36","3","1","4","-"
"3200607011","Jardins - Aracruz (ES)","Total","Total","19","32","29","23","-","-"
"3200607012","Jequitibá - Aracruz (ES)","Total","Total","418","348","55","9","1","-"
"3200607013","Limão - Aracruz (ES)","Total","Total","301","44","3","1","8","-"
"3200607014","Morobá - Aracruz (ES)","Total","Total","254","20","3","-","11","9"
"3200607015","Nova Conquista - Aracruz (ES)","Total","Total","172","14","4","-","2","1"
"3200607016","Novo Jequitibá - Aracruz (ES)","Total","Total","244","42","1","-","18","-"
"3200607017","Planalto - Aracruz (ES)","Total","Total","294","42","3","-","1","1"
"3200607018","Polivalente - Aracruz (ES)","Total","Total","163","47","17","13","4","-"
"3200607019","Primavera - Aracruz (ES)","Total","Total","63","14","-","1","-","-"
"3200607020","Santa Luzia - Aracruz (ES)","Total","Total","175","10","-","-","13","-"
"3200607021","Santa Marta - Aracruz (ES)","Total","Total","37","11","2","1","1","-"
"3200607022","São Clemente - Aracruz (ES)","Total","Total","297","42","2","-","3","2"
"3200607023","São Marcos - Aracruz (ES)","Total","Total","485","94","10","1","2","3"
"3200607024","Sauaçu - Aracruz (ES)","Total","Total","230","101","18","-","-","-"
"3200607025","Segato - Aracruz (ES)","Total","Total","280","67","5","1","10","5"
"3200607026","Vila Nova - Aracruz (ES)","Total","Total","726","304","90","19","11","-"
"3200607027","Vila Rica - Aracruz (ES)","Total","Total","651","334","84","15","9","-"
"3200607028","Guaraná - Aracruz (ES)","Total","Total","450","219","47","12","12","-"
"3200607029","Recanto Feliz - Aracruz (ES)","Total","Total","190","19","1","1","-","5"
"3200607030","Jacupemba - Aracruz (ES)","Total","Total","543","217","38","5","1","-"
"3200607031","Nova Colatina - Aracruz (ES)","Total","Total","370","44","2","-","12","2"
"3200607032","São José - Aracruz (ES)","Total","Total","357","68","7","-","5","1"
"3200607033","Vila do Riacho - Aracruz (ES)","Total","Total","829","98","13","2","24","5"
"3200607034","Barra do Sahy - Aracruz (ES)","Total","Total","302","148","37","9","1","-"
"3200607035","Coqueiral - Aracruz (ES)","Total","Total","404","564","251","91","2","1"
"3200607036","Itaparica - Aracruz (ES)","Total","Total","163","19","3","5","9","2"
"3200607037","Mar Azul - Aracruz (ES)","Total","Total","104","76","33","16","2","-"
"3200607038","Pontal do Piraqueaçu - Aracruz (ES)","Total","Total","14","4","4","-","1","-"
"3200607039","Praia dos Padres - Aracruz (ES)","Total","Total","31","19","7","1","1","-"
"3200607040","Praia Formosa - Aracruz (ES)","Total","Total","129","23","5","6","1","3"
"3200607041","Putiri - Aracruz (ES)","Total","Total","7","6","1","2","1","-"
"3200607042","Santa Cruz - Aracruz (ES)","Total","Total","338","96","44","15","5","2"
"3200607044","São Francisco - Aracruz (ES)","Total","Total","36","21","-","-","2","-"
"3200607045","Saue - Aracruz (ES)","Total","Total","149","37","8","7","-","-"
"3200904001","Centro - Barra de São Francisco (ES)","Total","Total","428","392","102","39","1","-"
"3200904002","Cruzeiro - Barra de São Francisco (ES)","Total","Total","216","33","12","-","2","-"
"3200904003","Nova Barra - Barra de São Francisco (ES)","Total","Total","210","29","5","-","-","-"
"3200904004","Antonio Inácio Oliveira - Barra de São Francisco (ES)","Total","Total","98","5","-","-","-","-"
"3200904005","Alvorada - Barra de São Francisco (ES)","Total","Total","73","22","13","4","-","-"
"3200904006","Campo Novo - Barra de São Francisco (ES)","Total","Total","406","185","31","3","-","-"
"3200904007","Colina - Barra de São Francisco (ES)","Total","Total","706","52","5","1","2","4"
"3200904008","Vila Luciene - Barra de São Francisco (ES)","Total","Total","466","72","2","1","1","-"
"3200904009","Vila Landinha - Barra de São Francisco (ES)","Total","Total","541","148","25","7","-","-"
"3200904010","Irmãos Fernandes - Barra de São Francisco (ES)","Total","Total","942","374","60","10","2","-"
"3200904011","Vila Gonçalves - Barra de São Francisco (ES)","Total","Total","271","86","19","7","1","3"
"3200904012","Bambé - Barra de São Francisco (ES)","Total","Total","344","130","22","5","1","1"
"3200904013","Vila Vicente - Barra de São Francisco (ES)","Total","Total","296","123","14","1","15","-"
"3201209001","Abelardo Ferreira Machado - Cachoeiro de Itapemirim (ES)","Total","Total","742","194","31","6","-","-"
"3201209002","Aeroporto - Cachoeiro de Itapemirim (ES)","Total","Total","765","239","38","18","84","-"
"3201209003","Alvaro Tavares (União) - Cachoeiro de Itapemirim (ES)","Total","Total","96","24","1","1","1","-"
"3201209004","Amaral - Cachoeiro de Itapemirim (ES)","Total","Total","748","226","26","6","-","-"
"3201209005","Amarelo - Cachoeiro de Itapemirim (ES)","Total","Total","464","201","35","13","-","1"
"3201209006","Agostinho Simonato - Cachoeiro de Itapemirim (ES)","Total","Total","830","217","22","6","2","-"
"3201209007","Alto Amarelo - Cachoeiro de Itapemirim (ES)","Total","Total","674","175","22","4","2","1"
"3201209008","Alto Independência - Cachoeiro de Itapemirim (ES)","Total","Total","285","53","4","2","-","1"
"3201209009","Alto Monte Cristo - Cachoeiro de Itapemirim (ES)","Total","Total","388","124","24","16","-","-"
"3201209010","Alto Novo Parque - Cachoeiro de Itapemirim (ES)","Total","Total","234","64","10","-","-","-"
"3201209011","Alto União - Cachoeiro de Itapemirim (ES)","Total","Total","813","138","8","1","7","3"
"3201209012","Arariguaba - Cachoeiro de Itapemirim (ES)","Total","Total","210","87","12","4","2","-"
"3201209013","Aquidaban - Cachoeiro de Itapemirim (ES)","Total","Total","1407","520","98","33","6","-"
"3201209014","Baiminas - Cachoeiro de Itapemirim (ES)","Total","Total","592","190","20","12","-","1"
"3201209015","Basiléia - Cachoeiro de Itapemirim (ES)","Total","Total","603","194","47","20","-","-"
"3201209016","Bela Vista - Cachoeiro de Itapemirim (ES)","Total","Total","328","44","4","3","-","2"
"3201209017","Boa Esperança - Cachoeiro de Itapemirim (ES)","Total","Total","426","57","6","2","1","-"
"3201209018","Boa Vista - Cachoeiro de Itapemirim (ES)","Total","Total","929","177","28","9","5","3"
"3201209019","Bom Pastor - Cachoeiro de Itapemirim (ES)","Total","Total","145","30","-","1","1","-"
"3201209020","Caiçara - Cachoeiro de Itapemirim (ES)","Total","Total","421","96","13","5","2","-"
"3201209021","Campo da Leopoldina - Cachoeiro de Itapemirim (ES)","Total","Total","209","79","27","5","2","-"
"3201209022","Central Parque - Cachoeiro de Itapemirim (ES)","Total","Total","41","23","3","-","-","-"
"3201209023","Centro - Cachoeiro de Itapemirim (ES)","Total","Total","246","259","179","89","3","-"
"3201209024","Coramara - Cachoeiro de Itapemirim (ES)","Total","Total","1232","247","17","5","3","-"
"3201209025","Coronel Borges - Cachoeiro de Itapemirim (ES)","Total","Total","341","213","32","12","-","-"
"3201209026","Elpídio Volpini - Cachoeiro de Itapemirim (ES)","Total","Total","514","110","18","9","7","-"
"3201209027","Estelita Coelho Marins - Cachoeiro de Itapemirim (ES)","Total","Total","49","33","23","29","-","-"
"3201209028","Fé e Raça - Cachoeiro de Itapemirim (ES)","Total","Total","341","13","1","-","-","-"
"3201209029","Ferroviários - Cachoeiro de Itapemirim (ES)","Total","Total","295","183","37","10","2","-"
"3201209030","Dr. Gilberto Machado - Cachoeiro de Itapemirim (ES)","Total","Total","105","197","311","162","-","-"
"3201209031","Gilson Carone - Cachoeiro de Itapemirim (ES)","Total","Total","1050","135","5","2","-","1"
"3201209032","Guandú - Cachoeiro de Itapemirim (ES)","Total","Total","152","137","56","17","-","-"
"3201209033","IBC - Cachoeiro de Itapemirim (ES)","Total","Total","376","202","50","15","-","1"
"3201209034","Ibitiquara - Cachoeiro de Itapemirim (ES)","Total","Total","674","293","93","33","-","1"
"3201209035","Ilha da Luz - Cachoeiro de Itapemirim (ES)","Total","Total","211","87","8","3","-","-"
"3201209036","Independência - Cachoeiro de Itapemirim (ES)","Total","Total","539","387","169","55","-","-"
"3201209037","Jardim América - Cachoeiro de Itapemirim (ES)","Total","Total","233","81","15","3","-","-"
"3201209038","Jardim Itapemirim - Cachoeiro de Itapemirim (ES)","Total","Total","607","276","46","11","13","-"
"3201209039","Luiz Tinoco da Fonseca (BNH de cima) - Cachoeiro de Itapemirim (ES)","Total","Total","565","243","40","10","-","-"
"3201209040","Marbrasa - Cachoeiro de Itapemirim (ES)","Total","Total","305","52","19","9","-","-"
"3201209041","Maria Ortiz - Cachoeiro de Itapemirim (ES)","Total","Total","199","144","60","27","1","-"
"3201209042","Monte Belo - Cachoeiro de Itapemirim (ES)","Total","Total","492","60","4","1","3","-"
"3201209043","Monte Cristo - Cachoeiro de Itapemirim (ES)","Total","Total","525","114","10","3","-","3"
"3201209044","Nossa Senhora Aparecida - Cachoeiro de Itapemirim (ES)","Total","Total","397","40","4","2","-","1"
"3201209045","Nossa Senhora de Fátima - Cachoeiro de Itapemirim (ES)","Total","Total","685","130","14","2","-","1"
"3201209046","Nossa Senhora da Glória - Cachoeiro de Itapemirim (ES)","Total","Total","63","17","-","-","-","-"
"3201209047","Nossa Senhora da Penha - Cachoeiro de Itapemirim (ES)","Total","Total","487","132","20","7","1","1"
"3201209048","Nova Brasília - Cachoeiro de Itapemirim (ES)","Total","Total","67","14","2","2","2","-"
"3201209049","Novo Parque - Cachoeiro de Itapemirim (ES)","Total","Total","1050","241","29","8","2","-"
"3201209050","Otton Marins - Cachoeiro de Itapemirim (ES)","Total","Total","562","134","13","3","-","-"
"3201209051","Paraíso - Cachoeiro de Itapemirim (ES)","Total","Total","847","263","52","41","1","-"
"3201209052","Parque das Laranjeiras - Cachoeiro de Itapemirim (ES)","Total","Total","537","95","12","5","-","-"
"3201209053","Presidente Arthur Costa e Silva - Cachoeiro de Itapemirim (ES)","Total","Total","72","28","3","1","-","-"
"3201209054","Recanto - Cachoeiro de Itapemirim (ES)","Total","Total","733","279","85","48","1","-"
"3201209055","Rubem Braga - Cachoeiro de Itapemirim (ES)","Total","Total","819","105","11","3","-","-"
"3201209056","Rui Pinto Bandeira - Cachoeiro de Itapemirim (ES)","Total","Total","637","220","23","8","1","-"
"3201209057","Sta. Cecília - Cachoeiro de Itapemirim (ES)","Total","Total","302","47","11","1","-","-"
"3201209058","Sta. Helena - Cachoeiro de Itapemirim (ES)","Total","Total","578","164","25","6","-","-"
"3201209059","Santo Antônio - Cachoeiro de Itapemirim (ES)","Total","Total","485","291","94","36","4","-"
"3201209060","São Francisco de Assis - Cachoeiro de Itapemirim (ES)","Total","Total","897","221","31","8","5","2"
"3201209061","São Geraldo - Cachoeiro de Itapemirim (ES)","Total","Total","407","102","16","3","-","1"
"3201209062","São Lucas - Cachoeiro de Itapemirim (ES)","Total","Total","340","36","2","-","-","-"
"3201209063","São Luiz Gonzaga - Cachoeiro de Itapemirim (ES)","Total","Total","915","256","23","6","2","3"
"3201209064","Sumaré - Cachoeiro de Itapemirim (ES)","Total","Total","346","131","75","16","1","-"
"3201209065","Teixeira Leite - Cachoeiro de Itapemirim (ES)","Total","Total","232","58","7","2","1","-"
"3201209066","Vila Rica - Cachoeiro de Itapemirim (ES)","Total","Total","1312","564","117","54","1","-"
"3201209067","Village da Luz - Cachoeiro de Itapemirim (ES)","Total","Total","823","149","18","7","1","3"
"3201209068","Waldir Furtado Amorim (BNH de Baixo) - Cachoeiro de Itapemirim (ES)","Total","Total","227","115","17","4","-","-"
"3201209069","Zumbi - Cachoeiro de Itapemirim (ES)","Total","Total","2455","298","30","6","3","4"
"3201308001","Cruzeiro do Sul - Cariacica (ES)","Total","Total","1001","363","59","5","2","1"
"3201308002","Vasco da Gama - Cariacica (ES)","Total","Total","272","94","24","1","-","1"
"3201308003","São Francisco - Cariacica (ES)","Total","Total","1653","440","53","12","2","2"
"3201308004","Vila Palestina - Cariacica (ES)","Total","Total","672","286","31","13","5","-"
"3201308005","Rosa da Penha - Cariacica (ES)","Total","Total","862","321","34","7","6","-"
"3201308006","Itapemirim - Cariacica (ES)","Total","Total","645","133","18","3","1","2"
"3201308007","Jardim Botanico - Cariacica (ES)","Total","Total","1682","278","18","3","51","14"
"3201308008","Santa Barbara - Cariacica (ES)","Total","Total","1297","323","23","7","1","2"
"3201308009","Morada de Santa Fé - Cariacica (ES)","Total","Total","1351","583","94","27","15","1"
"3201308010","Santa Paula - Cariacica (ES)","Total","Total","123","22","1","-","1","-"
"3201308011","Santa Catarina - Cariacica (ES)","Total","Total","1061","160","9","5","1","5"
"3201308012","Vista Linda - Cariacica (ES)","Total","Total","363","24","2","1","1","3"
"3201308013","Vila Isabel - Cariacica (ES)","Total","Total","475","84","5","1","25","10"
"3201308014","Bandeirantes - Cariacica (ES)","Total","Total","1334","287","32","5","2","4"
"3201308015","Caçaroca - Cariacica (ES)","Total","Total","97","22","2","-","4","-"
"3201308016","Alzira Ramos - Cariacica (ES)","Total","Total","556","49","4","1","13","5"
"3201308017","Jardim de Alah - Cariacica (ES)","Total","Total","581","83","7","2","4","5"
"3201308018","Padre Gabriel - Cariacica (ES)","Total","Total","1204","105","1","1","5","14"
"3201308019","Jardim Campo Grande - Cariacica (ES)","Total","Total","717","107","8","1","23","10"
"3201308020","Campo Belo - Cariacica (ES)","Total","Total","319","47","2","-","-","-"
"3201308021","São Benedito - Cariacica (ES)","Total","Total","439","95","5","3","2","2"
"3201308022","Castelo Branco - Cariacica (ES)","Total","Total","2365","430","35","5","20","-"
"3201308023","Vista Mar - Cariacica (ES)","Total","Total","1538","316","34","5","5","8"
"3201308024","Sotelandia - Cariacica (ES)","Total","Total","527","108","8","2","7","6"
"3201308025","Bela Aurora - Cariacica (ES)","Total","Total","1354","439","63","8","9","4"
"3201308026","Maracanã - Cariacica (ES)","Total","Total","604","163","15","4","-","-"
"3201308027","Boa Sorte - Cariacica (ES)","Total","Total","1209","320","37","6","5","7"
"3201308028","São Conrado - Cariacica (ES)","Total","Total","377","134","30","6","26","-"
"3201308029","Vera Cruz - Cariacica (ES)","Total","Total","526","231","47","19","5","-"
"3201308030","Jardim América - Cariacica (ES)","Total","Total","1488","901","222","64","2","-"
"3201308031","Chácaras União - Cariacica (ES)","Total","Total","29","7","-","1","-","-"
"3201308032","São Geraldo - Cariacica (ES)","Total","Total","1009","486","49","14","10","-"
"3201308033","Parque Gramado - Cariacica (ES)","Total","Total","260","45","6","1","-","-"
"3201308034","Rio Marinho - Cariacica (ES)","Total","Total","1255","250","27","2","27","5"
"3201308035","Área Não Identificada 2/2 - Cariacica (ES)","Total","Total","4","2","-","-","-","-"
"3201308036","Área Não Identificada 1/2 - Cariacica (ES)","Total","Total","37","10","1","1","-","-"
"3201308037","Alice Coutinho - Cariacica (ES)","Total","Total","286","10","-","-","5","1"
"3201308038","Antônio Ferreira Borges - Cariacica (ES)","Total","Total","404","87","8","3","-","4"
"3201308039","Cariacica Sede - Cariacica (ES)","Total","Total","1382","403","77","30","22","4"
"3201308040","Prolar - Cariacica (ES)","Total","Total","849","116","8","2","8","3"
"3201308041","Vila Merlo - Cariacica (ES)","Total","Total","538","139","15","1","3","4"
"3201308042","Porto de Cariacica - Cariacica (ES)","Total","Total","1088","190","14","7","8","4"
"3201308043","Santa Luzia - Cariacica (ES)","Total","Total","561","108","9","3","4","1"
"3201308044","São João Batista - Cariacica (ES)","Total","Total","497","88","10","3","7","7"
"3201308045","Tucum - Cariacica (ES)","Total","Total","608","224","46","12","3","1"
"3201308046","Itaciba - Cariacica (ES)","Total","Total","1769","615","104","27","7","3"
"3201308047","Nova Brasília - Cariacica (ES)","Total","Total","1258","507","50","8","8","1"
"3201308048","Oriente - Cariacica (ES)","Total","Total","1166","252","25","3","20","2"
"3201308049","Alto Lage - Cariacica (ES)","Total","Total","1385","624","113","25","4","2"
"3201308050","Expedito - Cariacica (ES)","Total","Total","521","181","15","5","6","-"
"3201308051","Sotema - Cariacica (ES)","Total","Total","309","119","10","5","3","-"
"3201308052","Alto da Boa Vista - Cariacica (ES)","Total","Total","636","218","44","15","3","-"
"3201308053","Itaquari - Cariacica (ES)","Total","Total","795","295","62","21","10","2"
"3201308054","Rio Branco - Cariacica (ES)","Total","Total","700","144","19","1","6","4"
"3201308055","Itangua - Cariacica (ES)","Total","Total","1471","330","51","6","8","1"
"3201308056","Dom Bosco - Cariacica (ES)","Total","Total","531","185","27","5","4","1"
"3201308057","Santa Cecilia - Cariacica (ES)","Total","Total","489","162","16","4","3","-"
"3201308058","Vila Cajueiro - Cariacica (ES)","Total","Total","35","3","2","-","-","2"
"3201308059","Pica-Pau - Cariacica (ES)","Total","Total","120","5","-","-","-","-"
"3201308060","Porto das Pedras - Cariacica (ES)","Total","Total","..","..","..","..","..",".."
"3201308061","Nova Rosa da Penha - Cariacica (ES)","Total","Total","3703","318","27","10","24","18"
"3201308062","Porto Engenho - Cariacica (ES)","Total","Total","..","..","..","..","..",".."
"3201308063","Nova Canaa - Cariacica (ES)","Total","Total","645","84","10","1","2","7"
"3201308064","Porto Novo - Cariacica (ES)","Total","Total","1816","331","46","12","23","26"
"3201308065","Presidente Medice - Cariacica (ES)","Total","Total","1924","382","38","4","10","25"
"3201308066","Flexal I - Cariacica (ES)","Total","Total","970","125","26","5","8","13"
"3201308067","Retiro Saudoso - Cariacica (ES)","Total","Total","463","57","4","1","6","12"
"3201308068","Grauna - Cariacica (ES)","Total","Total","1008","199","21","6","8","3"
"3201308069","Aparecida - Cariacica (ES)","Total","Total","1420","131","15","5","6","17"
"3201308070","Porto Santana - Cariacica (ES)","Total","Total","1543","454","56","18","1","5"
"3201308071","Nova Valverde - Cariacica (ES)","Total","Total","729","149","11","-","10","-"
"3201308072","Bubú - Cariacica (ES)","Total","Total","348","42","3","1","-","3"
"3201308073","Campo Verde - Cariacica (ES)","Total","Total","1090","168","8","2","22","3"
"3201308074","Vila Prudêncio - Cariacica (ES)","Total","Total","702","129","16","1","-","5"
"3201308075","Cangaíba - Cariacica (ES)","Total","Total","72","13","1","1","-","1"
"3201308076","Planeta - Cariacica (ES)","Total","Total","330","52","6","2","1","4"
"3201308077","Santana - Cariacica (ES)","Total","Total","1415","457","74","14","2","2"
"3201308078","Tabajara - Cariacica (ES)","Total","Total","240","70","17","4","-","1"
"3201308079","Santo Antônio - Cariacica (ES)","Total","Total","630","104","10","2","6","3"
"3201308080","Novo Horizonte - Cariacica (ES)","Total","Total","812","89","9","4","6","2"
"3201308081","São Gonçalo - Cariacica (ES)","Total","Total","200","32","3","-","1","5"
"3201308082","Piranema - Cariacica (ES)","Total","Total","499","96","9","1","3","1"
"3201308083","Vila dos Reis - Cariacica (ES)","Total","Total","788","128","14","2","2","4"
"3201308084","Novo Brasil - Cariacica (ES)","Total","Total","797","140","23","4","9","4"
"3201308085","Nova Campo Grande - Cariacica (ES)","Total","Total","90","10","2","4","3","2"
"3201308086","Vista Dourada - Cariacica (ES)","Total","Total","703","90","2","-","3","6"
"3201308087","Mucuri - Cariacica (ES)","Total","Total","700","144","14","3","11","-"
"3201308088","Vila Independência - Cariacica (ES)","Total","Total","1388","283","40","7","9","-"
"3201308089","Flexal II - Cariacica (ES)","Total","Total","1760","182","14","2","4","13"
"3201308090","Serra do Anil - Cariacica (ES)","Total","Total","28","3","-","-","-","-"
"3201308091","Nova Esperança - Cariacica (ES)","Total","Total","1081","46","7","-","3","7"
"3201308092","Operário - Cariacica (ES)","Total","Total","788","132","8","-","3","3"
"3201308093","Vila Capixaba - Cariacica (ES)","Total","Total","1184","522","68","11","4","1"
"3201308094","Campo Grande - Cariacica (ES)","Total","Total","2327","1628","401","91","7","-"
"3201308095","Vila Esperança - Cariacica (ES)","Total","Total","285","183","29","10","-","-"
"3201308096","Campina Grande - Cariacica (ES)","Total","Total","743","116","9","2","5","-"
"3201308097","Santo André - Cariacica (ES)","Total","Total","1074","250","25","3","7","4"
"3201308098","Formate - Cariacica (ES)","Total","Total","21","8","1","-","-","-"
"3201308099","Tiradentes - Cariacica (ES)","Total","Total","204","36","4","-","-","-"
"3201308100","São Geraldo II - Cariacica (ES)","Total","Total","574","217","9","4","-","-"
"3201506001","Adélia Giuberti - Colatina (ES)","Total","Total","119","59","19","11","-","-"
"3201506002","Aeroporto - Colatina (ES)","Total","Total","468","79","7","2","-","-"
