"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2100402","Altamira do Maranhão (MA)","Total","55 a 59 anos","308","21","18","132","25","4","2","3","-","-","-","-","103","-"
"2100402","Altamira do Maranhão (MA)","Total","60 a 69 anos","497","11","12","323","54","10","9","3","-","-","-","-","75","-"
"2100402","Altamira do Maranhão (MA)","Total","70 anos ou mais","411","-","2","305","59","-","4","-","-","-","-","-","41","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","10 a 14 anos","2773","177","33","27","2","-","-","-","-","-","-","-","2534","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","15 a 19 anos","2482","222","128","103","19","1","1","-","-","-","-","-","2008","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","15 a 17 anos","1509","130","57","33","5","-","-","-","-","-","-","-","1284","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","18 ou 19 anos","973","92","71","70","14","1","1","-","-","-","-","-","724","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","20 a 24 anos","2588","376","309","422","94","13","3","-","-","-","-","-","1371","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","25 a 29 anos","2143","330","329","536","141","20","10","4","-","-","-","-","773","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","30 a 34 anos","1835","261","347","459","156","26","16","8","-","-","-","-","562","-"
