"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","40 a 44 anos","57","8","7","16","2","2","-","-","-","-","-","-","22","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","45 a 49 anos","48","12","4","13","-","-","-","-","-","-","-","-","19","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","50 a 54 anos","38","7","3","9","-","1","-","-","-","-","-","-","18","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","55 a 59 anos","35","4","3","9","4","-","-","-","-","-","-","-","15","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","60 a 69 anos","75","7","5","29","11","-","-","-","-","-","-","-","23","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","70 anos ou mais","89","2","1","47","8","-","1","-","-","-","-","-","30","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","10 a 14 anos","336","11","3","2","2","-","-","-","-","-","-","-","318","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","15 a 19 anos","281","47","19","17","1","-","-","-","-","-","-","-","197","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","15 a 17 anos","182","27","9","7","1","-","-","-","-","-","-","-","138","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","18 ou 19 anos","99","20","10","10","-","-","-","-","-","-","-","-","59","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","20 a 24 anos","266","65","44","54","7","1","-","-","-","-","-","-","95","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","25 a 29 anos","254","73","51","75","17","-","2","-","-","-","-","-","36","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","30 a 34 anos","254","52","76","69","19","3","2","-","-","-","-","-","33","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","35 a 39 anos","210","57","43","54","25","4","-","-","-","-","-","-","27","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","40 a 44 anos","143","39","28","37","7","2","1","2","-","-","-","-","27","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","45 a 49 anos","138","39","25","38","6","-","1","-","-","-","-","-","29","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","50 a 54 anos","129","45","17","36","-","-","-","-","-","-","-","-","31","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","55 a 59 anos","99","22","10","45","3","-","-","-","-","1","-","-","18","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","60 a 69 anos","212","6","8","165","13","1","1","1","-","1","-","-","16","-"
"2300309007","Vila Esperança - Acopiara (CE)","Total","70 anos ou mais","176","1","1","147","23","1","-","-","-","-","-","-","3","-"
"2300309008","Vila São João - Acopiara (CE)","Total","10 a 14 anos","169","1","-","-","-","-","-","-","-","-","-","-","168","-"
"2300309008","Vila São João - Acopiara (CE)","Total","15 a 19 anos","199","18","14","14","1","-","-","-","-","-","-","-","152","-"
