"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1400472","Rorainópolis (RR)","9735","1446","694","2937","292","2381","117","1869"
"1400506","São João da Baliza (RR)","2930","395","326","693","144","262","12","1097"
"1400605","São Luiz (RR)","2020","390","238","730","23","131","15","493"
"1400704","Uiramutã (RR)","2823","140","37","311","222","1947","3","161"
"1500107","Abaetetuba (PA)","53177","8899","4107","13271","1163","5656","417","19663"
"1500131","Abel Figueiredo (PA)","2463","305","257","1276","9","55","44","516"
"1500206","Acará (PA)","20977","1322","912","3834","1637","3361","178","9733"
"1500305","Afuá (PA)","9884","512","793","2351","181","1982","28","4037"
"1500347","Água Azul do Norte (PA)","8261","2135","85","2981","421","905","63","1671"
"1500404","Alenquer (PA)","18307","1097","813","4439","562","3850","169","7377"
"1500503","Almeirim (PA)","12793","2877","1264","2267","423","1674","57","4232"
"1500602","Altamira (PA)","42287","9821","3376","14555","1007","2267","802","10459"
"1500701","Anajás (PA)","7616","266","615","1777","336","1119","112","3393"
"1500800","Ananindeua (PA)","199899","81913","12601","47432","3153","1024","1977","51800"
"1500859","Anapu (PA)","9268","611","611","2550","820","2308","133","2236"
"1500909","Augusto Corrêa (PA)","12360","444","488","2514","843","1837","-","6232"
"1500958","Aurora do Pará (PA)","7104","572","427","1786","546","1642","98","2034"
"1501006","Aveiro (PA)","5594","191","372","632","63","3195","37","1104"
"1501105","Bagre (PA)","7508","250","290","2310","192","1035","5","3426"
"1501204","Baião (PA)","14524","665","1321","2638","851","4000","149","4900"
"1501253","Bannach (PA)","1348","229","110","351","19","130","31","479"
"1501303","Barcarena (PA)","37099","12302","2559","8396","1093","1616","367","10766"
"1501402","Belém (PA)","595399","238515","52512","128414","8966","1358","9211","156422"
"1501451","Belterra (PA)","5041","630","293","1412","117","1345","11","1233"
"1501501","Benevides (PA)","19576","6986","1016","5553","222","347","139","5314"
"1501576","Bom Jesus do Tocantins (PA)","6092","937","256","2812","127","543","70","1346"
"1501600","Bonito (PA)","5303","966","243","1026","361","499","11","2196"
"1501709","Bragança (PA)","41755","5355","2275","10848","800","4469","150","17859"
"1501725","Brasil Novo (PA)","6210","365","376","2552","353","590","100","1874"
"1501758","Brejo Grande do Araguaia (PA)","2743","232","242","1171","109","318","26","644"
"1501782","Breu Branco (PA)","16465","3145","1244","4121","428","2001","133","5393"
"1501808","Breves (PA)","30283","2940","2453","7517","1893","4166","242","11073"
"1501907","Bujaru (PA)","9435","389","512","1874","514","1355","29","4763"
"1501956","Cachoeira do Piriá (PA)","7916","177","135","1845","523","2113","66","3058"
"1502004","Cachoeira do Arari (PA)","6474","421","414","1357","518","1922","20","1821"
"1502103","Cametá (PA)","46232","2390","2772","7838","2418","11806","175","18834"
"1502152","Canaã dos Carajás (PA)","11027","3852","739","2876","391","614","199","2355"
"1502202","Capanema (PA)","25028","5067","1527","7501","453","2112","246","8122"
"1502301","Capitão Poço (PA)","21174","1242","688","7257","1791","2985","69","7142"
"1502400","Castanhal (PA)","67766","23928","4743","16905","1444","1127","915","18705"
"1502509","Chaves (PA)","6738","429","32","1866","165","2399","8","1840"
"1502608","Colares (PA)","3866","171","333","861","120","784","35","1563"
"1502707","Conceição do Araguaia (PA)","18239","3580","1262","5901","797","1453","230","5016"
"1502756","Concórdia do Pará (PA)","10653","1337","954","3219","250","677","94","4123"
"1502764","Cumaru do Norte (PA)","4457","1283","349","1039","21","656","31","1080"
"1502772","Curionópolis (PA)","5724","1201","198","2557","80","159","55","1474"
"1502806","Curralinho (PA)","9335","163","888","1267","497","1864","9","4646"
"1502855","Curuá (PA)","4360","100","539","921","388","1330","6","1076"
"1502905","Curuçá (PA)","10390","903","602","2097","398","1945","29","4416"
"1502939","Dom Eliseu (PA)","19584","5462","1578","7285","516","517","269","3957"
"1502954","Eldorado do Carajás (PA)","11746","1389","572","4870","563","1766","84","2502"
