"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000807","Anaurilândia (MS)","Total","25 a 29 anos","726","32","37","166","238","34","27","10","1","1","1","-","179","-"
"5000807","Anaurilândia (MS)","Total","30 a 34 anos","704","34","50","158","207","40","30","19","2","3","-","-","161","-"
"5000807","Anaurilândia (MS)","Total","35 a 39 anos","601","26","26","126","191","46","28","17","2","2","1","-","136","-"
"5000807","Anaurilândia (MS)","Total","40 a 44 anos","581","15","33","134","174","46","33","16","5","2","-","-","123","-"
"5000807","Anaurilândia (MS)","Total","45 a 49 anos","561","24","30","120","155","43","30","25","4","1","1","1","127","-"
"5000807","Anaurilândia (MS)","Total","50 a 54 anos","449","11","20","125","104","31","33","20","2","2","4","1","96","-"
"5000807","Anaurilândia (MS)","Total","55 a 59 anos","352","2","8","119","79","27","15","26","1","2","-","1","72","-"
"5000807","Anaurilândia (MS)","Total","60 a 69 anos","516","1","11","263","113","28","24","22","3","1","1","2","47","-"
"5000807","Anaurilândia (MS)","Total","70 anos ou mais","422","-","-","273","94","20","11","8","2","1","1","-","12","-"
"5000856","Angélica (MS)","Total","10 a 14 anos","788","59","30","8","6","1","-","-","-","-","-","-","684","-"
"5000856","Angélica (MS)","Total","15 a 19 anos","814","39","47","127","96","10","5","-","1","-","-","-","489","-"
"5000856","Angélica (MS)","Total","15 a 17 anos","477","30","27","68","17","1","3","-","-","-","-","-","331","-"
"5000856","Angélica (MS)","Total","18 ou 19 anos","337","9","20","59","79","9","2","-","1","-","-","-","158","-"
"5000856","Angélica (MS)","Total","20 a 24 anos","824","25","45","142","223","93","41","6","-","-","-","-","249","-"
