"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Ano x Classes de rendimento nominal mensal"
"Cód.","Bairro","2010"
"Cód.","Bairro","Total","Até 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento","Sem declaração"
"1101500004","Jardim das Américas - Seringueiras (RO)","505","62","149","67","16","5","-","-","206","-"
"1101500005","Bela Vista - Seringueiras (RO)","661","60","129","81","23","3","1","-","364","-"
"1101708001","Novo Horizonte - Urupá (RO)","1247","62","295","253","164","35","6","3","429","-"
"1101708002","Santíssima Trindade - Urupá (RO)","733","81","177","117","29","4","2","-","323","-"
"1101708003","Alto Alegre - Urupá (RO)","1079","115","345","178","98","11","-","-","332","-"
"1101708004","Centro - Urupá (RO)","500","16","114","84","70","16","6","1","193","-"
"1101708005","Sumaúma - Urupá (RO)","608","49","146","105","57","19","1","-","231","-"
"1300060001","Centro - Amaturá (AM)","666","85","158","39","16","7","-","1","360","-"
"1300060002","São Francisco - Amaturá (AM)","1744","200","397","130","76","24","3","1","913","-"
"1300060003","Santa Etelvina - Amaturá (AM)","1431","98","257","77","40","9","2","2","946","-"
"1300409001","Centro - Barcelos (AM)","1686","55","318","240","114","40","12","4","903","-"
"1300409002","São Sebastião - Barcelos (AM)","1643","127","392","235","100","23","11","1","754","-"
"1300409003","São Francisco - Barcelos (AM)","753","73","206","101","46","17","-","-","310","-"
"1300409004","Nossa Senhora de Nazaré - Barcelos (AM)","1499","169","347","168","73","23","3","3","713","-"
"1300409005","Nossa Senhora Aparecida - Barcelos (AM)","2104","308","547","228","78","9","3","2","929","-"
"1300409006","Marivá - Barcelos (AM)","321","17","42","35","7","3","-","-","217","-"
"1300409007","Morara - Barcelos (AM)","519","67","100","38","22","21","4","1","266","-"
"1300409008","Santo Antônio - Barcelos (AM)","307","14","20","98","51","39","9","-","76","-"
"1300508001","Centro - Barreirinha (AM)","2002","345","433","180","111","28","11","1","893","-"
"1300508002","São Judas Tadeu - Barreirinha (AM)","1124","161","227","116","69","12","4","1","534","-"
"1300508003","São Benedito - Barreirinha (AM)","2218","349","427","198","79","22","3","-","1140","-"
"1300508004","Urbano Novo - Barreirinha (AM)","437","62","79","20","15","-","-","-","261","-"
"1300508005","Beira Rio - Barreirinha (AM)","847","158","181","58","25","5","2","-","418","-"
"1300607001","Centro - Benjamin Constant (AM)","2427","218","593","314","178","67","14","9","1034","-"
"1300607002","Coimbra - Benjamin Constant (AM)","2737","427","661","250","120","28","4","1","1246","-"
"1300607003","Colônia - Benjamin Constant (AM)","2060","202","497","272","112","35","4","1","937","-"
"1300607004","Cohabam - Benjamin Constant (AM)","897","56","203","84","32","11","2","2","507","-"
"1300607005","Javarizinho - Benjamin Constant (AM)","2287","322","423","160","35","10","1","1","1335","-"
"1300607006","Umarizal - Benjamin Constant (AM)","376","76","120","20","1","-","-","-","159","-"
"1300607007","Bom Jardim - Benjamin Constant (AM)","2421","439","552","204","49","10","3","1","1163","-"
"1300607008","Cidade Nova - Benjamin Constant (AM)","691","93","166","88","17","7","-","-","320","-"
"1300607009","Castanhal - Benjamin Constant (AM)","519","69","116","61","16","6","-","-","251","-"
"1300706001","Praia do Gado - Boca do Acre (AM)","5805","941","1306","473","129","29","3","2","2922","-"
"1300706002","Platô do Piquiá - Boca do Acre (AM)","3458","371","727","403","238","81","18","3","1617","-"
"1300706003","Fortaleza - Boca do Acre (AM)","487","75","104","49","13","7","-","-","239","-"
"1300706004","Macaxeiral - Boca do Acre (AM)","5212","562","1263","611","313","94","16","10","2343","-"
"1300706005","Lago Novo - Boca do Acre (AM)","100","29","22","13","2","-","-","-","34","-"
"1300805001","Centro - Borba (AM)","3357","382","756","399","225","77","21","14","1483","-"
"1300805002","São Sebastião - Borba (AM)","1380","222","298","139","39","8","2","-","672","-"
"1300805003","Ipiranga - Borba (AM)","1371","154","317","122","31","8","1","-","738","-"
"1300805004","Cristo Rei - Borba (AM)","1697","195","364","164","77","15","2","2","878","-"
"1300805005","Recreio - Borba (AM)","3260","473","658","281","81","18","6","1","1742","-"
"1301001001","Centro - Carauari (AM)","4024","419","792","569","252","75","26","11","1880","-"
"1301001002","Fátima - Carauari (AM)","4120","621","722","367","104","15","4","1","2286","-"
"1301001003","Samuel Amaral - Carauari (AM)","4756","852","943","459","122","21","5","1","2353","-"
"1301001004","Nova República - Carauari (AM)","1918","372","374","232","81","18","-","1","840","-"
"1301100001","Urbano Centro - Careiro (AM)","1928","178","439","344","199","50","3","5","710","-"
