"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100155002","Bela Floresta - Ouro Preto do Oeste (RO)","Total","Total","353","36","85","100","75","42","12","2","1","-","-","-","-","-","-"
"1100155003","Jardim Bandeirante - Ouro Preto do Oeste (RO)","Total","Total","538","80","135","136","114","46","18","4","2","2","1","-","-","-","-"
"1100155004","Nova Ouro Preto - Ouro Preto do Oeste (RO)","Total","Total","1203","150","283","342","244","121","38","16","7","2","-","-","-","-","-"
"1100155005","Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","Total","Total","922","100","216","229","225","99","32","13","6","-","-","-","2","-","-"
"1100155006","Jardim Novo Estado - Ouro Preto do Oeste (RO)","Total","Total","800","89","194","199","179","86","34","14","2","3","-","-","-","-","-"
"1100155007","Da Liberdade - Ouro Preto do Oeste (RO)","Total","Total","995","128","263","266","195","93","28","13","6","1","1","-","1","-","-"
"1100155008","Alvorada - Ouro Preto do Oeste (RO)","Total","Total","283","31","68","76","48","37","16","5","2","-","-","-","-","-","-"
"1100155009","Industrial - Ouro Preto do Oeste (RO)","Total","Total","312","29","59","72","78","41","13","10","5","3","-","-","1","-","1"
"1100155010","Jardim Tropical - Ouro Preto do Oeste (RO)","Total","Total","346","44","94","95","80","22","8","1","2","-","-","-","-","-","-"
"1100155011","Do Incra - Ouro Preto do Oeste (RO)","Total","Total","232","23","53","73","53","19","7","2","2","-","-","-","-","-","-"
"1100155012","Jardim Aeroporto - Ouro Preto do Oeste (RO)","Total","Total","1534","154","341","422","336","171","69","23","13","5","-","-","-","-","-"
"1100205002","Juscelino Kubitschek - Porto Velho (RO)","Total","Total","2763","234","511","635","577","390","196","105","59","23","11","14","4","4","-"
"1100205003","Flodoaldo Pontes Pinto - Porto Velho (RO)","Total","Total","2935","283","568","653","706","399","179","73","35","15","12","6","5","-","1"
"1100205004","Tiradentes - Porto Velho (RO)","Total","Total","924","102","184","200","190","121","59","37","13","4","6","3","4","-","1"
"1100205005","Industrial - Porto Velho (RO)","Total","Total","425","57","105","99","89","48","17","3","4","1","1","-","-","-","1"
"1100205006","Nova Porto Velho - Porto Velho (RO)","Total","Total","3700","725","855","852","609","355","154","76","37","13","9","6","3","1","5"
"1100205007","Roque - Porto Velho (RO)","Total","Total","628","65","102","131","137","85","47","29","13","6","10","1","-","1","1"
"1100205008","Liberdade - Porto Velho (RO)","Total","Total","1153","162","275","263","224","121","57","24","13","5","4","2","1","1","1"
"1100205009","São João Bosco - Porto Velho (RO)","Total","Total","1644","187","337","383","381","191","79","43","18","14","5","-","2","2","2"
"1100205010","São Cristóvão - Porto Velho (RO)","Total","Total","1106","141","266","254","233","112","55","20","14","5","1","1","2","1","1"
"1100205011","Nossa Senhora das Graças - Porto Velho (RO)","Total","Total","1200","225","313","258","204","106","59","20","6","5","1","2","-","-","1"
"1100205012","Mato Grosso - Porto Velho (RO)","Total","Total","611","81","123","135","119","71","35","22","14","2","5","1","1","1","1"
"1100205014","Tucumanzal - Porto Velho (RO)","Total","Total","545","71","81","136","95","73","45","24","14","2","3","1","-","-","-"
"1100205015","Olaria - Porto Velho (RO)","Total","Total","1255","151","297","299","270","131","49","20","13","11","3","1","2","3","5"
"1100205016","Agricolândia - Porto Velho (RO)","Total","Total","235","46","49","38","57","23","10","6","2","2","1","-","1","-","-"
"1100205017","Centro - Porto Velho (RO)","Total","Total","638","121","173","149","97","57","20","13","6","1","-","-","1","-","-"
"1100205018","Caiari - Porto Velho (RO)","Total","Total","115","9","45","27","13","8","8","2","3","-","-","-","-","-","-"
"1100205019","Santa Bárbara - Porto Velho (RO)","Total","Total","405","65","86","83","82","53","19","9","3","1","2","-","1","1","-"
"1100205020","Mocambo - Porto Velho (RO)","Total","Total","253","24","46","59","58","27","20","8","2","1","2","3","1","1","1"
"1100205021","Baixa União - Porto Velho (RO)","Total","Total","709","97","118","143","130","106","44","23","27","11","8","-","1","-","1"
"1100205022","Quilômetro Um - Porto Velho (RO)","Total","Total","180","42","41","38","29","19","8","1","2","-","-","-","-","-","-"
"1100205023","Areal - Porto Velho (RO)","Total","Total","1851","364","383","381","346","176","82","51","35","17","8","3","2","1","2"
"1100205024","Triângulo - Porto Velho (RO)","Total","Total","727","98","121","164","136","90","59","25","15","7","3","3","2","2","2"
"1100205025","Militar - Porto Velho (RO)","Total","Total","117","-","22","36","44","10","3","1","-","1","-","-","-","-","-"
"1100205026","Floresta - Porto Velho (RO)","Total","Total","2447","238","469","599","505","302","168","84","30","30","13","5","-","1","3"
"1100205027","Panair - Porto Velho (RO)","Total","Total","428","28","78","89","86","55","35","27","7","11","6","1","1","3","1"
"1100205030","Pedrinhas - Porto Velho (RO)","Total","Total","1056","113","190","253","238","132","58","32","23","8","4","3","1","1","-"
"1100205031","Embratel - Porto Velho (RO)","Total","Total","3223","511","675","717","674","326","158","84","36","20","8","4","2","3","5"
"1100205032","Tancredo Neves - Porto Velho (RO)","Total","Total","2333","180","352","528","513","350","193","95","57","25","19","7","4","3","7"
"1100205033","Tupi - Porto Velho (RO)","Total","Total","309","38","57","74","68","33","15","10","4","3","4","1","1","1","-"
