"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"1501600","Bonito (PA)","Total","Total","5669"
"1501709","Bragança (PA)","Total","Total","44258"
"1501725","Brasil Novo (PA)","Total","Total","6466"
"1501758","Brejo Grande do Araguaia (PA)","Total","Total","2860"
"1501782","Breu Branco (PA)","Total","Total","18995"
"1501808","Breves (PA)","Total","Total","33057"
"1501907","Bujaru (PA)","Total","Total","9748"
"1501956","Cachoeira do Piriá (PA)","Total","Total","8322"
"1502004","Cachoeira do Arari (PA)","Total","Total","7250"
"1502103","Cametá (PA)","Total","Total","49503"
"1502152","Canaã dos Carajás (PA)","Total","Total","12370"
"1502202","Capanema (PA)","Total","Total","27493"
"1502301","Capitão Poço (PA)","Total","Total","22436"
"1502400","Castanhal (PA)","Total","Total","75129"
"1502509","Chaves (PA)","Total","Total","7170"
"1502608","Colares (PA)","Total","Total","4073"
"1502707","Conceição do Araguaia (PA)","Total","Total","19634"
"1502756","Concórdia do Pará (PA)","Total","Total","11218"
"1502764","Cumaru do Norte (PA)","Total","Total","4820"
"1502772","Curionópolis (PA)","Total","Total","6468"
"1502806","Curralinho (PA)","Total","Total","10044"
"1502855","Curuá (PA)","Total","Total","4528"
"1502905","Curuçá (PA)","Total","Total","11302"
"1502939","Dom Eliseu (PA)","Total","Total","22598"
"1502954","Eldorado do Carajás (PA)","Total","Total","12434"
"1503002","Faro (PA)","Total","Total","2618"
"1503044","Floresta do Araguaia (PA)","Total","Total","7023"
"1503077","Garrafão do Norte (PA)","Total","Total","10784"
"1503093","Goianésia do Pará (PA)","Total","Total","11608"
"1503101","Gurupá (PA)","Total","Total","10259"
"1503200","Igarapé-Açu (PA)","Total","Total","14383"
"1503309","Igarapé-Miri (PA)","Total","Total","23375"
"1503408","Inhangapi (PA)","Total","Total","3664"
"1503457","Ipixuna do Pará (PA)","Total","Total","14965"
"1503507","Irituia (PA)","Total","Total","13965"
"1503606","Itaituba (PA)","Total","Total","40675"
"1503705","Itupiranga (PA)","Total","Total","18041"
"1503754","Jacareacanga (PA)","Total","Total","5138"
"1503804","Jacundá (PA)","Total","Total","21845"
"1503903","Juruti (PA)","Total","Total","17379"
"1504000","Limoeiro do Ajuru (PA)","Total","Total","10323"
"1504059","Mãe do Rio (PA)","Total","Total","10888"
"1504109","Magalhães Barata (PA)","Total","Total","2571"
"1504208","Marabá (PA)","Total","Total","103197"
"1504307","Maracanã (PA)","Total","Total","10153"
"1504406","Marapanim (PA)","Total","Total","10708"
"1504422","Marituba (PA)","Total","Total","46908"
"1504455","Medicilândia (PA)","Total","Total","11685"
"1504505","Melgaço (PA)","Total","Total","8167"
"1504604","Mocajuba (PA)","Total","Total","11698"
"1504703","Moju (PA)","Total","Total","27576"
