"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5002704013","Planalto - Campo Grande (MS)","Total","Total","2579","397","729","609","499","213","74","28","12","9","3","2","1","-","3"
"5002704014","José Abrão - Campo Grande (MS)","Total","Total","1433","145","314","384","337","159","60","22","8","1","1","1","1","-","-"
"5002704015","Nasser - Campo Grande (MS)","Total","Total","8156","1035","1961","2089","1745","824","314","118","38","16","11","2","1","1","1"
"5002704016","Seminário - Campo Grande (MS)","Total","Total","1546","215","366","417","330","152","46","10","7","2","-","1","-","-","-"
"5002704017","Monte Castelo - Campo Grande (MS)","Total","Total","3749","750","1046","936","665","258","59","24","5","3","2","-","1","-","-"
"5002704018","Mata do Segredo - Campo Grande (MS)","Total","Total","2321","276","508","572","524","265","102","35","25","8","3","2","1","-","-"
"5002704019","Coronel Antonino - Campo Grande (MS)","Total","Total","6413","815","1604","1677","1315","609","246","81","36","18","5","5","-","-","2"
"5002704020","Nova Lima - Campo Grande (MS)","Total","Total","10833","1321","2346","2767","2379","1210","452","185","106","31","18","11","4","1","2"
"5002704021","Bandeirantes - Campo Grande (MS)","Total","Total","2053","340","585","466","412","172","52","20","5","1","-","-","-","-","-"
"5002704022","Taquarussu - Campo Grande (MS)","Total","Total","2255","398","602","549","404","178","79","24","12","4","2","1","1","1","-"
"5002704023","Jóckey Club - Campo Grande (MS)","Total","Total","2435","351","598","563","546","235","86","30","14","5","3","3","1","-","-"
"5002704024","Jardim Paulista - Campo Grande (MS)","Total","Total","1187","237","329","276","200","99","33","9","2","-","1","-","-","-","1"
"5002704025","Tv Morena - Campo Grande (MS)","Total","Total","695","87","183","169","154","71","24","4","2","1","-","-","-","-","-"
"5002704026","Vilas Boas - Campo Grande (MS)","Total","Total","2135","213","543","554","522","225","53","17","7","-","1","-","-","-","-"
"5002704027","Rita Vieira - Campo Grande (MS)","Total","Total","4172","392","943","1146","968","431","186","61","25","9","7","3","-","-","1"
"5002704028","Carlota - Campo Grande (MS)","Total","Total","1906","268","503","506","394","142","57","18","12","4","-","1","1","-","-"
"5002704029","Dr. Albuquerque - Campo Grande (MS)","Total","Total","1189","292","296","252","204","86","32","19","5","1","2","-","-","-","-"
"5002704031","Piratininga - Campo Grande (MS)","Total","Total","4635","790","1153","1112","857","430","177","67","30","9","4","3","2","1","-"
"5002704032","Jacy - Campo Grande (MS)","Total","Total","1623","226","393","414","342","155","57","26","5","1","3","-","-","-","1"
"5002704033","Guanandi - Campo Grande (MS)","Total","Total","3757","524","934","911","780","391","127","53","26","3","4","3","-","-","1"
"5002704034","Aero Rancho - Campo Grande (MS)","Total","Total","11005","1204","2339","2963","2517","1245","451","164","63","30","17","5","4","-","3"
"5002704035","Pioneiros - Campo Grande (MS)","Total","Total","5239","636","1310","1348","1184","474","174","74","24","6","4","2","2","1","-"
"5002704036","Alves Pereira - Campo Grande (MS)","Total","Total","5098","557","1176","1344","1157","539","204","73","22","11","7","6","-","-","2"
"5002704037","Universitário - Campo Grande (MS)","Total","Total","6912","861","1635","1791","1600","638","237","88","38","10","7","2","2","2","1"
"5002704038","Moreninha - Campo Grande (MS)","Total","Total","6959","801","1547","1817","1536","758","305","118","38","23","7","3","6","-","-"
"5002704039","Centro-Oeste - Campo Grande (MS)","Total","Total","7618","867","1683","1968","1749","822","313","134","50","19","7","-","4","1","1"
"5002704040","Los Angeles - Campo Grande (MS)","Total","Total","2555","316","563","605","543","327","120","50","21","5","2","1","2","-","-"
"5002704042","Sobrinho - Campo Grande (MS)","Total","Total","3848","621","1020","962","774","320","96","37","15","3","-","-","-","-","-"
"5002704043","Santo Amaro - Campo Grande (MS)","Total","Total","7414","927","1733","1928","1624","760","264","87","56","15","8","5","5","-","2"
"5002704044","Santo Antonio - Campo Grande (MS)","Total","Total","4547","716","1186","1146","889","389","125","52","32","10","-","2","-","-","-"
"5002704045","Panamá - Campo Grande (MS)","Total","Total","5412","557","1119","1435","1333","604","206","102","35","12","5","1","3","-","-"
"5002704046","Popular - Campo Grande (MS)","Total","Total","5556","612","1135","1390","1229","693","294","117","42","25","11","5","1","-","2"
"5002704047","Nova Campo Grande - Campo Grande (MS)","Total","Total","3114","449","623","739","687","385","132","51","32","8","4","3","-","1","-"
"5002704049","Taveirópolis - Campo Grande (MS)","Total","Total","1900","233","474","453","440","207","56","23","8","3","2","-","-","-","1"
"5002704050","Caiçara - Campo Grande (MS)","Total","Total","2017","278","519","525","412","173","72","23","7","4","-","3","-","-","1"
"5002704051","União - Campo Grande (MS)","Total","Total","3901","364","857","1045","957","431","154","58","23","4","2","3","1","1","1"
"5002704052","Leblon - Campo Grande (MS)","Total","Total","5072","612","1203","1341","1171","474","159","68","22","12","6","3","-","1","-"
"5002704053","Tijuca - Campo Grande (MS)","Total","Total","4476","602","1042","1193","876","455","190","65","29","9","13","1","-","-","1"
"5002704054","São Conrado - Campo Grande (MS)","Total","Total","5648","689","1240","1403","1224","635","283","88","43","26","8","8","1","-","-"
"5002704055","Batistão - Campo Grande (MS)","Total","Total","2691","300","591","659","620","332","120","39","16","6","6","-","1","-","1"
"5002704056","Coophavila II - Campo Grande (MS)","Total","Total","3475","361","820","871","761","426","149","61","14","6","4","1","1","-","-"
"5002704057","Núcleo Industrial - Campo Grande (MS)","Total","Total","1017","106","182","240","245","131","63","32","10","5","1","1","1","-","-"
"5002704058","Margarida - Campo Grande (MS)","Total","Total","1595","278","390","381","295","165","48","22","7","6","-","-","-","-","3"
"5002704059","Santa Fé - Campo Grande (MS)","Total","Total","1719","207","477","458","384","141","38","12","-","-","-","1","1","-","-"
"5002704060","Chácara Cachoeira - Campo Grande (MS)","Total","Total","2187","301","547","579","566","145","41","8","-","-","-","-","-","-","-"
"5002704061","Carandá - Campo Grande (MS)","Total","Total","2755","306","629","771","736","244","53","10","4","1","1","-","-","-","-"
"5002704062","Mata do Jacinto - Campo Grande (MS)","Total","Total","3252","460","806","866","693","272","92","33","14","8","4","1","1","1","1"
"5002704063","Novos Estados - Campo Grande (MS)","Total","Total","3531","384","785","915","845","405","119","44","16","9","6","-","1","-","2"
"5002704064","Veraneio - Campo Grande (MS)","Total","Total","2287","325","530","513","468","258","114","43","20","14","2","-","-","-","-"
