"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4100608","Alto Paraná (PR)","Total","15 a 17 anos","755","34","40","106","33","3","-","-","-","-","-","-","539","-"
"4100608","Alto Paraná (PR)","Total","18 ou 19 anos","470","7","17","137","113","5","1","-","-","-","-","-","190","-"
"4100608","Alto Paraná (PR)","Total","20 a 24 anos","1118","8","25","268","344","51","16","1","-","-","-","-","405","-"
"4100608","Alto Paraná (PR)","Total","25 a 29 anos","1056","23","31","198","365","76","34","10","-","-","1","-","318","-"
"4100608","Alto Paraná (PR)","Total","30 a 34 anos","1026","16","18","201","379","87","52","12","-","1","-","-","260","-"
"4100608","Alto Paraná (PR)","Total","35 a 39 anos","1005","14","29","235","352","100","46","8","1","1","-","-","219","-"
"4100608","Alto Paraná (PR)","Total","40 a 44 anos","1052","15","28","221","334","115","53","25","2","3","1","1","254","-"
"4100608","Alto Paraná (PR)","Total","45 a 49 anos","901","16","16","195","259","73","43","41","1","1","-","1","255","-"
"4100608","Alto Paraná (PR)","Total","50 a 54 anos","854","9","27","206","222","69","43","27","3","1","-","1","246","-"
"4100608","Alto Paraná (PR)","Total","55 a 59 anos","672","7","22","218","142","47","31","32","2","3","-","1","167","-"
"4100608","Alto Paraná (PR)","Total","60 a 69 anos","939","4","8","459","194","59","33","23","3","3","1","-","152","-"
"4100608","Alto Paraná (PR)","Total","70 anos ou mais","778","2","2","506","110","30","19","5","-","4","1","1","98","-"
"4100707","Alto Piquiri (PR)","Total","10 a 14 anos","872","73","18","16","3","-","-","-","-","-","-","-","762","-"
"4100707","Alto Piquiri (PR)","Total","15 a 19 anos","967","29","47","177","79","2","2","-","-","-","-","-","631","-"
"4100707","Alto Piquiri (PR)","Total","15 a 17 anos","579","25","31","62","8","1","1","-","-","-","-","-","451","-"
