"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"1301704","Humaitá (AM)","Total","14207","13904","5130","8775","245","-","58"
"1301803","Ipixuna (AM)","Total","6262","6241","1121","5120","22","-","-"
"1301852","Iranduba (AM)","Total","14448","13389","4940","8449","1052","-","6"
"1301902","Itacoatiara (AM)","Total","31589","30902","9700","21202","649","10","28"
"1301951","Itamarati (AM)","Total","1752","1739","425","1314","13","-","-"
"1302009","Itapiranga (AM)","Total","2814","2655","468","2186","123","5","30"
"1302108","Japurá (AM)","Total","2239","2228","486","1743","9","-","2"
"1302207","Juruá (AM)","Total","4129","4095","783","3311","35","-","-"
"1302306","Jutaí (AM)","Total","6275","6226","786","5440","40","-","9"
"1302405","Lábrea (AM)","Total","14017","13776","2799","10977","228","-","13"
"1302504","Manacapuru (AM)","Total","30923","29560","7754","21806","1325","-","37"
"1302553","Manaquiri (AM)","Total","7477","7446","3634","3813","31","-","-"
"1302603","Manaus (AM)","Total","747205","738153","183582","554571","7633","71","1348"
"1302702","Manicoré (AM)","Total","16966","16829","4848","11981","99","-","38"
"1302801","Maraã (AM)","Total","4431","4413","1235","3178","18","-","-"
"1302900","Maués (AM)","Total","18887","18715","5499","13216","145","-","27"
"1303007","Nhamundá (AM)","Total","5253","5176","1551","3625","77","-","-"
"1303106","Nova Olinda do Norte (AM)","Total","12474","12081","5469","6612","368","-","26"
"1303205","Novo Airão (AM)","Total","5145","4954","827","4126","191","-","-"
"1303304","Novo Aripuanã (AM)","Total","7944","7854","2946","4908","79","-","10"
"1303403","Parintins (AM)","Total","35101","34279","9576","24703","567","11","244"
"1303502","Pauini (AM)","Total","5941","5920","2046","3874","17","-","4"
"1303536","Presidente Figueiredo (AM)","Total","11208","10941","5188","5754","247","8","11"
"1303569","Rio Preto da Eva (AM)","Total","9528","9293","4027","5266","235","-","-"
"1303601","Santa Isabel do Rio Negro (AM)","Total","4590","4577","876","3701","12","-","-"
"1303700","Santo Antônio do Içá (AM)","Total","6526","6519","1457","5061","-","8","-"
"1303809","São Gabriel da Cachoeira (AM)","Total","10366","10309","1876","8433","42","15","-"
"1303908","São Paulo de Olivença (AM)","Total","12054","12014","1330","10684","9","-","31"
"1303957","São Sebastião do Uatumã (AM)","Total","4341","4169","1587","2582","172","-","-"
"1304005","Silves (AM)","Total","2750","2666","1303","1363","63","-","21"
"1304062","Tabatinga (AM)","Total","17426","16781","2311","14470","215","346","84"
"1304104","Tapauá (AM)","Total","7758","7717","853","6865","28","-","13"
"1304203","Tefé (AM)","Total","20588","19683","3389","16294","782","8","116"
"1304237","Tonantins (AM)","Total","5318","5291","934","4356","10","-","17"
"1304260","Uarini (AM)","Total","4885","4845","259","4586","40","-","-"
"1304302","Urucará (AM)","Total","5764","5616","1237","4379","144","-","5"
"1304401","Urucurituba (AM)","Total","6276","6123","1936","4187","132","-","20"
"1400027","Amajari (RR)","Total","1404","1396","701","695","8","-","-"
"1400050","Alto Alegre (RR)","Total","5583","5456","2724","2732","110","11","6"
"1400100","Boa Vista (RR)","Total","125189","120553","22911","97643","3401","567","667"
"1400159","Bonfim (RR)","Total","3748","3589","1893","1697","74","85","-"
"1400175","Cantá (RR)","Total","4279","3906","2128","1778","356","17","-"
"1400209","Caracaraí (RR)","Total","6263","6108","2203","3905","110","6","39"
"1400233","Caroebe (RR)","Total","3258","3215","1361","1854","35","-","7"
"1400282","Iracema (RR)","Total","2980","2815","1204","1612","133","9","22"
"1400308","Mucajaí (RR)","Total","4797","4485","1790","2695","270","5","36"
"1400407","Normandia (RR)","Total","1923","1889","658","1231","30","-","5"
"1400456","Pacaraima (RR)","Total","3425","3199","1403","1796","122","94","11"
"1400472","Rorainópolis (RR)","Total","9638","9502","4138","5364","104","11","20"
"1400506","São João da Baliza (RR)","Total","2926","2781","1036","1745","111","-","35"
"1400605","São Luiz (RR)","Total","2005","1935","516","1419","62","-","7"
"1400704","Uiramutã (RR)","Total","2820","2809","1705","1104","10","-","-"
"1500107","Abaetetuba (PA)","Total","53076","46962","13659","33303","5685","13","416"
"1500131","Abel Figueiredo (PA)","Total","2456","2359","394","1966","90","-","7"
"1500206","Acará (PA)","Total","20931","20645","7144","13501","252","-","34"
"1500305","Afuá (PA)","Total","9825","9597","5018","4579","228","-","-"
"1500347","Água Azul do Norte (PA)","Total","8014","7806","4075","3731","178","-","30"
"1500404","Alenquer (PA)","Total","18197","18001","7534","10467","171","-","25"
"1500503","Almeirim (PA)","Total","12693","12011","3022","8989","609","-","73"
"1500602","Altamira (PA)","Total","41930","40083","10092","29992","1417","-","430"
"1500701","Anajás (PA)","Total","7566","7547","1382","6164","20","-","-"
"1500800","Ananindeua (PA)","Total","198874","122488","35409","87079","73789","60","2537"
"1500859","Anapu (PA)","Total","9259","9036","4174","4862","189","-","34"
"1500909","Augusto Corrêa (PA)","Total","12350","11943","2453","9490","378","-","30"
"1500958","Aurora do Pará (PA)","Total","7086","6595","2679","3916","435","-","57"
"1501006","Aveiro (PA)","Total","5589","5525","3465","2060","52","-","12"
"1501105","Bagre (PA)","Total","7413","7362","1924","5438","52","-","-"
"1501204","Baião (PA)","Total","14430","14193","4738","9455","237","-","-"
"1501253","Bannach (PA)","Total","1335","1305","464","841","30","-","-"
"1501303","Barcarena (PA)","Total","37045","34487","8848","25638","2437","11","111"
"1501402","Belém (PA)","Total","589028","561142","138624","422518","24293","240","3352"
"1501451","Belterra (PA)","Total","5037","4572","2361","2210","443","-","22"
"1501501","Benevides (PA)","Total","19509","13317","4164","9153","5883","13","296"
"1501576","Bom Jesus do Tocantins (PA)","Total","6031","5651","2557","3093","380","-","-"
"1501600","Bonito (PA)","Total","5285","5163","1085","4078","122","-","-"
"1501709","Bragança (PA)","Total","41533","39801","12285","27516","1416","21","294"
"1501725","Brasil Novo (PA)","Total","6170","6049","2262","3787","105","-","17"
"1501758","Brejo Grande do Araguaia (PA)","Total","2736","2574","1027","1547","150","-","12"
"1501782","Breu Branco (PA)","Total","16426","15086","4693","10393","1313","-","27"
"1501808","Breves (PA)","Total","30061","29370","8694","20676","531","-","161"
"1501907","Bujaru (PA)","Total","9416","9196","3635","5561","220","-","-"
"1501956","Cachoeira do Piriá (PA)","Total","7903","7761","2414","5348","113","5","23"
"1502004","Cachoeira do Arari (PA)","Total","6405","6254","2344","3910","123","-","27"
"1502103","Cametá (PA)","Total","46105","45186","16318","28868","848","-","71"
"1502152","Canaã dos Carajás (PA)","Total","10946","10328","3079","7250","578","-","39"
"1502202","Capanema (PA)","Total","24947","22861","4925","17936","1577","-","509"
"1502301","Capitão Poço (PA)","Total","21067","20417","5409","15007","501","9","141"
"1502400","Castanhal (PA)","Total","67426","62151","14149","48002","4005","-","1270"
"1502509","Chaves (PA)","Total","6701","6652","3343","3309","50","-","-"
"1502608","Colares (PA)","Total","3862","3635","1108","2527","223","-","5"
"1502707","Conceição do Araguaia (PA)","Total","18167","17352","6510","10842","634","-","181"
"1502756","Concórdia do Pará (PA)","Total","10537","10238","1656","8583","211","-","88"
"1502764","Cumaru do Norte (PA)","Total","4239","4203","539","3664","32","-","3"
"1502772","Curionópolis (PA)","Total","5694","4899","1368","3531","757","-","38"
