"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"3303906","Petrópolis (RJ)","Total","140404","131763","36373","95390","7725","31","885"
"3303955","Pinheiral (RJ)","Total","8397","4942","1414","3528","3148","-","307"
"3304003","Piraí (RJ)","Total","10693","8711","1581","7130","1924","-","58"
"3304102","Porciúncula (RJ)","Total","7336","6461","1323","5138","802","6","68"
"3304110","Porto Real (RJ)","Total","7883","6083","1379","4704","1725","-","75"
"3304128","Quatis (RJ)","Total","5731","3646","803","2843","2031","-","53"
"3304144","Queimados (RJ)","Total","54350","25584","8153","17431","28433","18","315"
"3304151","Quissamã (RJ)","Total","8602","7182","2025","5158","1300","-","121"
"3304201","Resende (RJ)","Total","57165","50055","11454","38601","6812","15","282"
"3304300","Rio Bonito (RJ)","Total","24089","20404","5099","15306","3382","-","302"
"3304409","Rio Claro (RJ)","Total","7779","6066","1544","4522","1686","-","27"
"3304508","Rio das Flores (RJ)","Total","3849","3442","609","2833","395","-","13"
"3304524","Rio das Ostras (RJ)","Total","50062","35094","8424","26669","14487","43","439"
"3304557","Rio de Janeiro (RJ)","Total","2902949","2817637","730518","2087119","71850","1098","12365"
"3304607","Santa Maria Madalena (RJ)","Total","4506","3999","402","3597","491","-","16"
"3304706","Santo Antônio de Pádua (RJ)","Total","19024","17140","4746","12394","1583","12","288"
"3304755","São Francisco de Itabapoana (RJ)","Total","15828","14326","3384","10942","1414","-","88"
"3304805","São Fidélis (RJ)","Total","15738","13568","3413","10154","2045","-","125"
"3304904","São Gonçalo (RJ)","Total","446807","272051","80839","191212","171470","-","3286"
"3305000","São João da Barra (RJ)","Total","14368","12667","3889","8778","1614","-","86"
"3305109","São João de Meriti (RJ)","Total","198707","98857","29088","69769","97259","45","2546"
"3305133","São José de Ubá (RJ)","Total","3163","2944","271","2672","200","-","19"
"3305158","São José do Vale do Rio Preto (RJ)","Total","10219","8876","2785","6091","1217","-","126"
"3305208","São Pedro da Aldeia (RJ)","Total","37627","24427","4971","19456","12588","-","612"
"3305307","São Sebastião do Alto (RJ)","Total","3823","3514","1029","2485","244","-","65"
"3305406","Sapucaia (RJ)","Total","7415","6504","1794","4710","796","-","115"
"3305505","Saquarema (RJ)","Total","30755","27151","6367","20784","3311","4","290"
"3305554","Seropédica (RJ)","Total","32850","22383","5674","16710","10246","10","210"
"3305604","Silva Jardim (RJ)","Total","8720","6642","2138","4504","1979","-","99"
"3305703","Sumidouro (RJ)","Total","8849","8599","3995","4604","235","-","15"
"3305752","Tanguá (RJ)","Total","12438","7421","1670","5751","4888","-","129"
"3305802","Teresópolis (RJ)","Total","76196","71798","19451","52347","3737","63","598"
"3305901","Trajano de Moraes (RJ)","Total","4559","3970","632","3338","574","-","14"
"3306008","Três Rios (RJ)","Total","32759","28384","6285","22099","3780","10","585"
"3306107","Valença (RJ)","Total","31977","28029","7545","20484","3745","-","202"
"3306156","Varre-Sai (RJ)","Total","4409","4208","815","3393","171","-","30"
"3306206","Vassouras (RJ)","Total","15405","13375","2938","10438","1962","-","68"
"3306305","Volta Redonda (RJ)","Total","115381","100809","17878","82931","13107","29","1436"
"3500105","Adamantina (SP)","Total","16714","14886","2443","12442","1513","-","316"
"3500204","Adolfo (SP)","Total","1682","1276","359","917","362","-","44"
"3500303","Aguaí (SP)","Total","15067","13698","2810","10889","1105","-","264"
"3500402","Águas da Prata (SP)","Total","3712","2483","587","1897","1146","-","83"
"3500501","Águas de Lindóia (SP)","Total","8631","7546","1999","5547","1039","4","41"
"3500550","Águas de Santa Bárbara (SP)","Total","2587","2209","1103","1105","372","-","7"
"3500600","Águas de São Pedro (SP)","Total","1286","946","192","754","280","-","60"
"3500709","Agudos (SP)","Total","16409","12655","3613","9042","3436","-","318"
"3500758","Alambari (SP)","Total","2102","1453","383","1070","565","-","84"
"3500808","Alfredo Marcondes (SP)","Total","1749","1060","222","838","674","-","14"
"3500907","Altair (SP)","Total","1732","1322","315","1007","404","-","6"
"3501004","Altinópolis (SP)","Total","7824","6483","1141","5342","1147","5","190"
"3501103","Alto Alegre (SP)","Total","2044","1513","456","1057","510","-","20"
"3501152","Alumínio (SP)","Total","7074","5877","1195","4681","1157","-","40"
"3501202","Álvares Florence (SP)","Total","1791","1298","486","812","481","-","13"
"3501301","Álvares Machado (SP)","Total","11345","5948","1644","4304","5045","-","351"
"3501400","Álvaro de Carvalho (SP)","Total","1453","945","115","830","492","-","16"
"3501509","Alvinlândia (SP)","Total","1310","997","107","890","313","-","-"
"3501608","Americana (SP)","Total","112599","91986","19289","72697","18432","-","2181"
"3501707","Américo Brasiliense (SP)","Total","16462","8520","2168","6352","7678","-","264"
"3501806","Américo de Campos (SP)","Total","2778","1994","412","1582","643","-","141"
"3501905","Amparo (SP)","Total","35349","32449","7952","24497","2383","13","505"
"3502002","Analândia (SP)","Total","2186","1883","365","1518","271","-","32"
"3502101","Andradina (SP)","Total","26523","24548","5852","18695","1547","10","419"
"3502200","Angatuba (SP)","Total","10540","9471","2021","7449","1040","-","28"
"3502309","Anhembi (SP)","Total","2447","2306","701","1606","133","-","8"
"3502408","Anhumas (SP)","Total","1766","1086","328","757","635","-","45"
"3502507","Aparecida (SP)","Total","18283","15754","4401","11353","2411","-","118"
"3502606","Aparecida d'Oeste (SP)","Total","1886","1593","361","1233","240","-","53"
"3502705","Apiaí (SP)","Total","10186","9371","1471","7899","703","-","112"
"3502754","Araçariguama (SP)","Total","8027","7248","1298","5949","750","-","29"
"3502804","Araçatuba (SP)","Total","90736","85589","19911","65678","3948","28","1172"
"3502903","Araçoiaba da Serra (SP)","Total","12746","9165","2510","6655","3491","-","90"
"3503000","Aramina (SP)","Total","2379","1410","274","1136","935","-","34"
"3503109","Arandu (SP)","Total","2900","2279","467","1812","606","-","14"
"3503158","Arapeí (SP)","Total","1006","894","32","862","112","-","-"
"3503208","Araraquara (SP)","Total","106217","97697","18683","79014","6865","-","1656"
"3503307","Araras (SP)","Total","58067","54244","10317","43926","3234","-","589"
"3503356","Arco-Íris (SP)","Total","920","683","128","555","228","-","9"
"3503406","Arealva (SP)","Total","4017","3607","1047","2560","382","-","29"
"3503505","Areias (SP)","Total","1498","1207","233","974","277","-","14"
"3503604","Areiópolis (SP)","Total","5054","2589","537","2052","2448","5","11"
"3503703","Ariranha (SP)","Total","4226","3220","278","2942","946","-","60"
"3503802","Artur Nogueira (SP)","Total","23210","15535","4173","11363","7205","-","470"
"3503901","Arujá (SP)","Total","33871","21838","6587","15250","11772","13","249"
"3503950","Aspásia (SP)","Total","876","696","302","394","179","-","1"
"3504008","Assis (SP)","Total","46208","42526","9303","33223","2818","-","864"
"3504107","Atibaia (SP)","Total","62800","56457","22550","33907","5715","25","603"
"3504206","Auriflama (SP)","Total","7753","6851","2398","4453","765","10","127"
"3504305","Avaí (SP)","Total","2092","1693","661","1032","393","-","6"
"3504404","Avanhandava (SP)","Total","4187","3046","817","2228","1131","5","6"
"3504503","Avaré (SP)","Total","40491","38208","9862","28346","1914","9","360"
"3504602","Bady Bassitt (SP)","Total","7999","4575","1416","3159","3224","-","200"
"3504701","Balbinos (SP)","Total","658","553","85","468","106","-","-"
"3504800","Bálsamo (SP)","Total","4301","2973","525","2448","1245","-","82"
"3504909","Bananal (SP)","Total","4654","3906","1059","2847","732","-","17"
"3505005","Barão de Antonina (SP)","Total","1547","1345","184","1161","158","-","44"
"3505104","Barbosa (SP)","Total","2693","1731","221","1509","954","-","9"
"3505203","Bariri (SP)","Total","15882","14595","3228","11367","1071","10","206"
"3505302","Barra Bonita (SP)","Total","18249","15816","2407","13408","2210","-","223"
"3505351","Barra do Chapéu (SP)","Total","2190","2092","796","1296","95","-","3"
"3505401","Barra do Turvo (SP)","Total","2902","2722","1081","1641","171","-","9"
"3505500","Barretos (SP)","Total","56627","53034","12006","41028","2979","9","605"
"3505609","Barrinha (SP)","Total","13549","6553","2227","4326","6395","-","601"
"3505708","Barueri (SP)","Total","113326","78029","16923","61107","34476","8","813"
"3505807","Bastos (SP)","Total","9946","9147","1901","7246","565","-","233"
"3505906","Batatais (SP)","Total","27868","25581","5048","20534","2007","-","280"
"3506003","Bauru (SP)","Total","172400","164503","43740","120763","5579","40","2278"
"3506102","Bebedouro (SP)","Total","37460","34380","6363","28017","1823","8","1249"
"3506201","Bento de Abreu (SP)","Total","1242","943","64","880","291","-","8"
"3506300","Bernardino de Campos (SP)","Total","5100","4525","788","3737","444","-","132"
"3506359","Bertioga (SP)","Total","23341","22149","3578","18571","1155","7","30"
"3506409","Bilac (SP)","Total","3950","3057","443","2614","797","-","97"
"3506508","Birigui (SP)","Total","59696","55795","12537","43258","3086","-","815"
"3506607","Biritiba Mirim (SP)","Total","13188","9519","3335","6184","3633","-","36"
"3506706","Boa Esperança do Sul (SP)","Total","6535","5234","885","4349","1110","-","192"
"3506805","Bocaina (SP)","Total","5960","5626","1583","4043","305","-","29"
"3506904","Bofete (SP)","Total","4541","4127","2094","2033","406","-","7"
"3507001","Boituva (SP)","Total","24051","21616","3545","18070","2158","-","278"
"3507100","Bom Jesus dos Perdões (SP)","Total","8803","6379","2561","3818","2277","-","147"
"3507159","Bom Sucesso de Itararé (SP)","Total","1422","1243","182","1062","175","-","4"
"3507209","Borá (SP)","Total","422","409","39","369","13","-","-"
"3507308","Boracéia (SP)","Total","2182","1665","149","1516","423","-","94"
"3507407","Borborema (SP)","Total","7622","6915","2432","4483","552","5","150"
"3507456","Borebi (SP)","Total","1039","841","170","672","196","-","2"
"3507506","Botucatu (SP)","Total","60292","58043","15583","42459","1854","-","396"
"3507605","Bragança Paulista (SP)","Total","71937","65607","20517","45090","5800","31","499"
"3507704","Braúna (SP)","Total","2517","1380","270","1111","1134","-","2"
"3507753","Brejo Alegre (SP)","Total","1283","799","213","586","437","-","47"
"3507803","Brodowski (SP)","Total","11238","7805","2654","5151","2862","-","571"
"3507902","Brotas (SP)","Total","10797","10065","1234","8831","633","-","100"
"3508009","Buri (SP)","Total","7016","6391","1941","4451","573","-","52"
"3508108","Buritama (SP)","Total","7511","6308","1472","4836","932","-","271"
"3508207","Buritizal (SP)","Total","2006","1865","386","1479","114","-","27"
"3508306","Cabrália Paulista (SP)","Total","2026","1655","308","1347","340","-","31"
"3508405","Cabreúva (SP)","Total","20369","15821","2243","13578","4369","-","180"
"3508504","Caçapava (SP)","Total","37098","30089","6749","23340","6782","-","227"
"3508603","Cachoeira Paulista (SP)","Total","12797","10491","2242","8249","2078","-","228"
"3508702","Caconde (SP)","Total","9134","8476","1923","6553","635","-","24"
"3508801","Cafelândia (SP)","Total","7579","6638","980","5658","806","-","136"
"3508900","Caiabu (SP)","Total","1714","1035","173","862","675","-","3"
"3509007","Caieiras (SP)","Total","42016","21982","5001","16982","19713","-","320"
"3509106","Caiuá (SP)","Total","1856","1513","600","912","343","-","-"
"3509205","Cajamar (SP)","Total","28127","21250","5277","15973","6788","-","89"
"3509254","Cajati (SP)","Total","10604","9549","1262","8288","911","-","143"
"3509304","Cajobi (SP)","Total","5085","3410","291","3119","1294","-","381"
"3509403","Cajuru (SP)","Total","11340","9751","2569","7181","1361","-","228"
"3509452","Campina do Monte Alegre (SP)","Total","2249","1703","362","1341","502","-","43"
"3509502","Campinas (SP)","Total","540876","489014","153275","335739","46870","257","4735"
"3509601","Campo Limpo Paulista (SP)","Total","35637","18492","6010","12482","16777","10","358"
"3509700","Campos do Jordão (SP)","Total","24916","24422","8851","15571","413","20","60"
"3509809","Campos Novos Paulista (SP)","Total","1913","1648","235","1412","204","-","62"
"3509908","Cananéia (SP)","Total","5171","4957","819","4138","197","-","17"
"3509957","Canas (SP)","Total","1800","1119","321","797","639","-","43"
"3510005","Cândido Mota (SP)","Total","12978","9590","2567","7023","3029","15","344"
"3510104","Cândido Rodrigues (SP)","Total","1356","1117","217","900","237","-","2"
"3510153","Canitar (SP)","Total","1863","1137","143","993","700","-","26"
"3510203","Capão Bonito (SP)","Total","20257","17947","4114","13834","2007","-","303"
"3510302","Capela do Alto (SP)","Total","7894","6295","1411","4884","1562","-","37"
"3510401","Capivari (SP)","Total","24027","21223","5791","15432","2477","-","327"
"3510500","Caraguatatuba (SP)","Total","46740","42357","11336","31022","3916","24","442"
"3510609","Carapicuíba (SP)","Total","164742","71533","26053","45480","91831","30","1348"
"3510708","Cardoso (SP)","Total","5186","4528","836","3692","613","-","45"
"3510807","Casa Branca (SP)","Total","11369","10318","2581","7737","946","-","105"
"3510906","Cássia dos Coqueiros (SP)","Total","1448","1251","497","755","197","-","-"
"3511003","Castilho (SP)","Total","7784","6090","2151","3940","1581","5","107"
"3511102","Catanduva (SP)","Total","57754","54255","11358","42897","2330","-","1168"
"3511201","Catiguá (SP)","Total","3398","1395","243","1152","1957","-","47"
"3511300","Cedral (SP)","Total","4007","2676","516","2160","1259","-","73"
"3511409","Cerqueira César (SP)","Total","7956","7110","1112","5997","809","-","37"
"3511508","Cerquilho (SP)","Total","21676","19328","3277","16051","2124","-","224"
"3511607","Cesário Lange (SP)","Total","6919","5636","1471","4166","1233","-","50"
"3511706","Charqueada (SP)","Total","7135","4672","541","4130","2386","-","78"
"3511904","Clementina (SP)","Total","3601","2845","283","2561","472","-","284"
"3512001","Colina (SP)","Total","8367","7015","953","6062","1062","-","290"
"3512100","Colômbia (SP)","Total","2840","2641","548","2093","190","-","10"
"3512209","Conchal (SP)","Total","11870","10250","1636","8614","1372","-","248"
"3512308","Conchas (SP)","Total","7368","6548","1849","4700","708","-","111"
"3512407","Cordeirópolis (SP)","Total","10460","9205","1230","7975","1222","-","33"
"3512506","Coroados (SP)","Total","2879","1755","443","1312","1098","-","27"
"3512605","Coronel Macedo (SP)","Total","2008","1495","162","1333","463","-","50"
"3512704","Corumbataí (SP)","Total","1984","1683","643","1040","300","-","-"
"3512803","Cosmópolis (SP)","Total","25771","16143","4955","11188","9401","-","228"
"3512902","Cosmorama (SP)","Total","3495","2936","539","2398","457","-","101"
"3513009","Cotia (SP)","Total","99440","66819","16650","50169","31702","25","895"
"3513108","Cravinhos (SP)","Total","16118","11574","4184","7390","3993","-","551"
"3513207","Cristais Paulista (SP)","Total","3874","2745","766","1979","1026","-","103"
"3513306","Cruzália (SP)","Total","1102","873","371","502","219","-","10"
"3513405","Cruzeiro (SP)","Total","33472","31198","8997","22201","1918","-","356"
"3513504","Cubatão (SP)","Total","49739","39464","5969","33495","9774","-","502"
"3513603","Cunha (SP)","Total","10452","9629","4086","5544","728","-","94"
"3513702","Descalvado (SP)","Total","15070","13515","2506","11008","1320","-","235"
"3513801","Diadema (SP)","Total","184378","108431","28843","79588","74252","33","1662"
"3513850","Dirce Reis (SP)","Total","812","591","160","430","213","-","8"
"3513900","Divinolândia (SP)","Total","6090","5489","2347","3142","584","4","13"
"3514007","Dobrada (SP)","Total","3748","1169","142","1027","1398","-","1181"
"3514106","Dois Córregos (SP)","Total","11856","10611","2292","8320","1092","-","152"
"3514205","Dolcinópolis (SP)","Total","1052","681","110","571","269","-","102"
"3514304","Dourado (SP)","Total","4396","3307","937","2371","868","-","221"
"3514403","Dracena (SP)","Total","21437","19012","4392","14621","1670","11","743"
"3514502","Duartina (SP)","Total","6076","4803","751","4052","1194","4","75"
"3514601","Dumont (SP)","Total","4089","2716","383","2332","1348","-","26"
"3514700","Echaporã (SP)","Total","2945","2225","568","1657","605","-","115"
"3514809","Eldorado (SP)","Total","5847","5524","1909","3614","284","-","40"
"3514908","Elias Fausto (SP)","Total","7448","6431","893","5538","989","-","28"
"3514924","Elisiário (SP)","Total","1580","900","202","698","626","-","54"
"3514957","Embaúba (SP)","Total","1283","820","148","673","451","-","12"
"3515004","Embu das Artes (SP)","Total","109952","51980","15959","36021","56992","6","974"
"3515103","Embu-Guaçu (SP)","Total","27542","19443","5850","13593","8029","-","70"
"3515129","Emilianópolis (SP)","Total","1497","1028","358","670","425","-","44"
"3515152","Engenheiro Coelho (SP)","Total","8034","6096","1168","4928","1610","-","328"
"3515186","Espírito Santo do Pinhal (SP)","Total","21568","19949","5552","14397","1380","-","238"
"3515194","Espírito Santo do Turvo (SP)","Total","2003","1909","278","1631","81","-","13"
"3515202","Estrela d'Oeste (SP)","Total","4345","3802","570","3232","406","-","137"
"3515301","Estrela do Norte (SP)","Total","1122","721","263","458","390","-","11"
"3515350","Euclides da Cunha Paulista (SP)","Total","4302","3147","1371","1776","1150","-","5"
"3515400","Fartura (SP)","Total","7545","7012","1209","5803","430","-","104"
"3515509","Fernandópolis (SP)","Total","33358","30035","5119","24916","2071","7","1245"
"3515608","Fernando Prestes (SP)","Total","2947","2063","213","1851","453","-","431"
"3515657","Fernão (SP)","Total","784","630","222","407","113","-","42"
"3515707","Ferraz de Vasconcelos (SP)","Total","75579","32419","10878","21542","42566","-","594"
"3515806","Flora Rica (SP)","Total","688","526","175","351","158","-","3"
"3515905","Floreal (SP)","Total","1460","1200","148","1052","233","-","27"
"3516002","Flórida Paulista (SP)","Total","4982","4410","726","3684","458","-","113"
"3516101","Florínea (SP)","Total","1021","866","270","597","149","-","6"
"3516200","Franca (SP)","Total","167528","161882","41829","120053","3985","20","1641"
"3516309","Francisco Morato (SP)","Total","65381","23731","8488","15244","41345","-","304"
"3516408","Franco da Rocha (SP)","Total","55898","26349","10559","15790","29277","11","261"
"3516507","Gabriel Monteiro (SP)","Total","1497","1075","174","901","377","-","45"
"3516606","Gália (SP)","Total","3235","2742","608","2134","429","-","64"
"3516705","Garça (SP)","Total","20470","18986","4480","14505","1165","14","306"
"3516804","Gastão Vidigal (SP)","Total","2216","1044","197","847","781","-","391"
"3516853","Gavião Peixoto (SP)","Total","2208","1559","335","1224","636","-","14"
"3516903","General Salgado (SP)","Total","5355","4652","637","4015","618","-","85"
"3517000","Getulina (SP)","Total","4257","3011","896","2115","1200","-","46"
"3517109","Glicério (SP)","Total","2256","1694","550","1144","523","4","35"
"3517208","Guaiçara (SP)","Total","5133","2988","792","2195","2061","12","72"
"3517307","Guaimbê (SP)","Total","2470","1536","174","1362","887","-","47"
"3517406","Guaíra (SP)","Total","17745","17135","5113","12021","404","-","206"
"3517505","Guapiaçu (SP)","Total","9147","5703","1263","4440","3139","-","305"
"3517604","Guapiara (SP)","Total","7072","6657","1619","5038","384","-","30"
"3517703","Guará (SP)","Total","8459","6303","823","5481","1892","-","263"
"3517802","Guaraçaí (SP)","Total","4023","3324","927","2397","623","-","76"
"3517901","Guaraci (SP)","Total","4871","4398","465","3933","441","-","32"
"3518008","Guarani d'Oeste (SP)","Total","837","540","228","312","255","-","43"
"3518107","Guarantã (SP)","Total","2936","2459","552","1907","396","3","77"
"3518206","Guararapes (SP)","Total","14826","12419","2899","9521","2102","18","286"
"3518305","Guararema (SP)","Total","11635","9979","3172","6807","1593","-","63"
"3518404","Guaratinguetá (SP)","Total","51497","45509","12646","32863","5489","12","486"
"3518503","Guareí (SP)","Total","5581","4887","1456","3432","688","-","6"
"3518602","Guariba (SP)","Total","15823","11248","3273","7975","3934","-","641"
"3518701","Guarujá (SP)","Total","128006","105869","29183","76686","21057","33","1047"
"3518800","Guarulhos (SP)","Total","566385","445610","140694","304916","116429","43","4303"
"3518859","Guatapará (SP)","Total","3077","2268","521","1748","801","-","7"
"3518909","Guzolândia (SP)","Total","2229","1468","248","1220","714","-","47"
"3519006","Herculândia (SP)","Total","3668","2408","756","1652","782","-","478"
"3519055","Holambra (SP)","Total","6550","5365","959","4406","1090","4","91"
"3519071","Hortolândia (SP)","Total","91524","45241","12034","33207","45010","-","1274"
"3519105","Iacanga (SP)","Total","5143","4782","1202","3579","302","-","59"
"3519204","Iacri (SP)","Total","3115","2103","650","1453","774","-","238"
"3519253","Iaras (SP)","Total","1985","1836","421","1415","147","-","3"
"3519303","Ibaté (SP)","Total","13445","9430","1363","8067","3765","-","249"
"3519402","Ibirá (SP)","Total","5613","4374","1223","3151","994","-","245"
"3519501","Ibirarema (SP)","Total","2879","2705","525","2181","150","-","24"
"3519600","Ibitinga (SP)","Total","30152","29047","8623","20424","900","-","206"
"3519709","Ibiúna (SP)","Total","36179","33245","10341","22904","2715","24","195"
"3519808","Icém (SP)","Total","3535","2413","556","1857","1043","2","77"
"3519907","Iepê (SP)","Total","3207","2607","377","2231","455","-","145"
"3520004","Igaraçu do Tietê (SP)","Total","11208","7253","2364","4889","3648","-","307"
"3520103","Igarapava (SP)","Total","13143","10338","1556","8782","2721","-","84"
"3520202","Igaratá (SP)","Total","4400","3827","1184","2643","554","-","20"
"3520301","Iguape (SP)","Total","11781","10478","3440","7038","1206","-","97"
"3520400","Ilhabela (SP)","Total","15326","14730","4269","10461","526","-","70"
"3520426","Ilha Comprida (SP)","Total","3386","3050","639","2411","301","-","34"
"3520442","Ilha Solteira (SP)","Total","12496","11028","3877","7151","1294","9","165"
"3520509","Indaiatuba (SP)","Total","106405","95616","21395","74221","9758","32","999"
"3520608","Indiana (SP)","Total","2300","1371","345","1026","790","-","139"
"3520707","Indiaporã (SP)","Total","1729","1415","180","1235","308","-","6"
"3520806","Inúbia Paulista (SP)","Total","1736","1194","138","1055","440","-","103"
"3520905","Ipaussu (SP)","Total","6020","5227","379","4847","767","-","26"
"3521002","Iperó (SP)","Total","11485","8040","2439","5601","3425","-","20"
"3521101","Ipeúna (SP)","Total","3091","2630","442","2187","413","-","48"
"3521150","Ipiguá (SP)","Total","1985","955","333","622","1011","-","19"
"3521200","Iporanga (SP)","Total","2028","1862","546","1316","151","-","15"
"3521309","Ipuã (SP)","Total","6262","4708","504","4204","1493","-","61"
"3521408","Iracemápolis (SP)","Total","9176","7216","1631","5585","1896","5","59"
"3521507","Irapuã (SP)","Total","3820","2792","312","2479","483","2","543"
"3521606","Irapuru (SP)","Total","2759","2000","512","1487","660","-","99"
"3521705","Itaberá (SP)","Total","7784","7241","2522","4719","478","-","65"
"3521804","Itaí (SP)","Total","10211","9446","1903","7543","691","-","74"
"3521903","Itajobi (SP)","Total","7519","6470","1369","5101","838","-","211"
"3522000","Itaju (SP)","Total","1655","1459","369","1090","182","-","14"
"3522109","Itanhaém (SP)","Total","36814","32292","8896","23397","4120","-","402"
"3522158","Itaoca (SP)","Total","1454","1363","214","1149","78","-","14"
"3522208","Itapecerica da Serra (SP)","Total","70046","35954","11076","24878","33755","11","325"
"3522307","Itapetininga (SP)","Total","64805","59982","13403","46579","3630","6","1187"
"3522406","Itapeva (SP)","Total","37118","33891","8141","25750","2574","17","636"
"3522505","Itapevi (SP)","Total","86340","37965","11667","26298","47477","-","898"
"3522604","Itapira (SP)","Total","34544","32215","10004","22210","1955","-","375"
"3522653","Itapirapuã Paulista (SP)","Total","1383","1311","154","1158","71","-","1"
"3522703","Itápolis (SP)","Total","21182","19638","5395","14243","1255","-","289"
"3522802","Itaporanga (SP)","Total","6445","5597","1181","4416","610","-","238"
"3522901","Itapuí (SP)","Total","5937","5311","1058","4254","484","-","141"
"3523008","Itapura (SP)","Total","1823","1304","394","910","513","3","3"
"3523107","Itaquaquecetuba (SP)","Total","133649","70423","21587","48836","62421","9","796"
"3523206","Itararé (SP)","Total","19613","17854","3407","14447","1533","-","225"
"3523305","Itariri (SP)","Total","5885","4441","1553","2888","1309","-","135"
"3523404","Itatiba (SP)","Total","53752","48874","9798","39076","4454","9","414"
"3523503","Itatinga (SP)","Total","8222","6369","782","5587","1749","-","105"
"3523602","Itirapina (SP)","Total","6228","5582","874","4709","530","-","116"
"3523701","Itirapuã (SP)","Total","2632","1893","151","1742","694","-","45"
"3523800","Itobi (SP)","Total","3754","2259","390","1869","1111","-","383"
"3523909","Itu (SP)","Total","77569","71768","18329","53439","5043","-","758"
"3524006","Itupeva (SP)","Total","23507","17776","5682","12094","5601","-","130"
"3524105","Ituverava (SP)","Total","18736","15809","4230","11579","2352","10","564"
"3524204","Jaborandi (SP)","Total","2950","2086","287","1800","834","-","30"
"3524303","Jaboticabal (SP)","Total","34757","32027","8123","23903","2328","-","402"
"3524402","Jacareí (SP)","Total","97129","73416","18419","54997","22597","31","1086"
"3524501","Jaci (SP)","Total","2921","2424","259","2165","440","-","57"
"3524600","Jacupiranga (SP)","Total","7150","5887","1764","4123","1129","4","130"
"3524709","Jaguariúna (SP)","Total","23073","20604","7570","13034","2251","-","218"
"3524808","Jales (SP)","Total","24297","21838","5546","16292","1731","17","711"
"3524907","Jambeiro (SP)","Total","2665","2214","611","1603","446","-","5"
"3525003","Jandira (SP)","Total","54086","22772","6331","16440","30738","-","576"
"3525102","Jardinópolis (SP)","Total","16398","11126","2987","8139","5021","-","252"
"3525201","Jarinu (SP)","Total","12266","9844","3719","6125","2357","-","64"
"3525300","Jaú (SP)","Total","71249","69008","18094","50914","1735","9","498"
"3525409","Jeriquara (SP)","Total","1501","1261","239","1022","225","-","15"
"3525508","Joanópolis (SP)","Total","6104","5645","1925","3720","409","-","50"
"3525607","João Ramalho (SP)","Total","1946","1068","115","953","818","-","60"
"3525706","José Bonifácio (SP)","Total","17525","15455","2987","12468","1789","-","282"
"3525805","Júlio Mesquita (SP)","Total","1926","1199","301","897","727","-","-"
"3525854","Jumirim (SP)","Total","1594","1298","317","981","286","-","10"
"3525904","Jundiaí (SP)","Total","191854","161159","35064","126094","28911","21","1763"
"3526001","Junqueirópolis (SP)","Total","8352","7589","1857","5731","653","-","110"
"3526100","Juquiá (SP)","Total","7533","6520","1422","5098","905","-","107"
"3526209","Juquitiba (SP)","Total","12745","10359","3336","7023","2234","-","153"
"3526308","Lagoinha (SP)","Total","2250","1915","511","1404","309","-","27"
"3526407","Laranjal Paulista (SP)","Total","13656","12577","4462","8115","1010","-","69"
"3526506","Lavínia (SP)","Total","2325","1682","489","1192","618","-","25"
"3526605","Lavrinhas (SP)","Total","2178","1104","203","901","1064","-","10"
"3526704","Leme (SP)","Total","45963","38838","8780","30058","5854","7","1263"
"3526803","Lençóis Paulista (SP)","Total","30440","28371","6168","22203","1737","-","331"
"3526902","Limeira (SP)","Total","139088","130052","35439","94613","7699","29","1309"
"3527009","Lindóia (SP)","Total","3636","2830","384","2446","734","-","72"
"3527108","Lins (SP)","Total","35119","32459","7059","25400","2332","-","327"
"3527207","Lorena (SP)","Total","35132","28666","7174","21493","5833","26","606"
"3527256","Lourdes (SP)","Total","1069","653","210","442","414","-","2"
"3527306","Louveira (SP)","Total","21122","16748","4137","12610","4055","-","320"
"3527405","Lucélia (SP)","Total","8880","7192","2129","5063","1510","-","178"
"3527504","Lucianópolis (SP)","Total","1178","1039","156","883","127","-","12"
"3527603","Luís Antônio (SP)","Total","5008","4254","330","3924","696","-","58"
"3527702","Luiziânia (SP)","Total","2418","1572","300","1272","783","-","62"
"3527801","Lupércio (SP)","Total","2111","1647","313","1335","441","-","23"
"3527900","Lutécia (SP)","Total","1237","1038","385","653","197","-","2"
"3528007","Macatuba (SP)","Total","7754","6088","1024","5065","1315","-","351"
"3528106","Macaubal (SP)","Total","3763","2918","942","1976","798","-","46"
