Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1302603033;Mauazinho - Manaus (AM);9945
1302603034;Colônia Antônio Aleixo - Manaus (AM);7533
1302603035;Puraquequara - Manaus (AM);2593
1302603036;Dom Pedro I - Manaus (AM);4535
1302603037;Flores - Manaus (AM);15788
1302603038;Parque 10 de Novembro - Manaus (AM);10643
1302603039;Aleixo - Manaus (AM);5970
1302603040;Adrianópolis - Manaus (AM);1977
1302603041;Nossa Senhora das Graças - Manaus (AM);3810
1302603042;São Geraldo - Manaus (AM);2449
1302603043;Chapada - Manaus (AM);2603
1302603044;Colônia Santo Antônio - Manaus (AM);6585
1302603045;Novo Israel - Manaus (AM);6765
1302603046;Colônia Terra Nova - Manaus (AM);19105
1302603047;Santa Etelvina - Manaus (AM);11192
1302603048;Monte das Oliveiras - Manaus (AM);17211
1302603049;Cidade Nova - Manaus (AM);42332
1302603050;Ponta Negra - Manaus (AM);1525
1302603051;Tarumã - Manaus (AM);12074
1302603052;Armando Mendes - Manaus (AM);11036
1302603053;Zumbi dos Palmares - Manaus (AM);14465
1302603054;São José Operário - Manaus (AM);24119
1302603055;Tancredo Neves - Manaus (AM);20895
1302603056;Jorge Teixeira - Manaus (AM);48999
1302603057;Distrito Industrial II - Manaus (AM);1576
1302603058;Novo Aleixo - Manaus (AM);36520
1302603059;Cidade de Deus - Manaus (AM);30391
1302603060;Nova Cidade - Manaus (AM);23206
1302603061;Tarumã-Açu - Manaus (AM);5157
1302603062;Gilberto Mestrinho - Manaus (AM);24482
1302603063;Lago Azul - Manaus (AM);3435
1302702001;Santa Luzia - Manicoré (AM);1407
1302702002;Dom Bosco - Manicoré (AM);794
1302702003;Rocinha - Manicoré (AM);97
1302702004;Manicorezinho - Manicoré (AM);302
1302702005;Auxiliadora - Manicoré (AM);3292
1302702006;Mazzarelo - Manicoré (AM);525
1302702007;Nossa Senhora do Rosário - Manicoré (AM);670
1302702008;São Domingos Sávio - Manicoré (AM);530
1302702009;Colônia da Ribeira - Manicoré (AM);377
1302702010;Centro - Manicoré (AM);1020
1302702011;Ipasea - Manicoré (AM);224
1302900001;Mário Fonseca - Maués (AM);1386
1302900002;Centro - Maués (AM);1430
