Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1503200;Igarapé-Açu (PA);14099
1503309;Igarapé-Miri (PA);25191
1503408;Inhangapi (PA);4080
1503457;Ipixuna do Pará (PA);22163
1503507;Irituia (PA);13464
1503606;Itaituba (PA);39468
1503705;Itupiranga (PA);22764
1503754;Jacareacanga (PA);5745
1503804;Jacundá (PA);20437
1503903;Juruti (PA);23042
1504000;Limoeiro do Ajuru (PA);11913
1504059;Mãe do Rio (PA);11408
1504109;Magalhães Barata (PA);3433
1504208;Marabá (PA);92852
1504307;Maracanã (PA);12268
1504406;Marapanim (PA);10771
1504422;Marituba (PA);39296
1504455;Medicilândia (PA);11097
1504505;Melgaço (PA);13462
1504604;Mocajuba (PA);12312
1504703;Moju (PA);32527
1504802;Monte Alegre (PA);23817
1504901;Muaná (PA);15425
1504950;Nova Esperança do Piriá (PA);9608
1504976;Nova Ipixuna (PA);6178
1505007;Nova Timboteua (PA);4895
1505031;Novo Progresso (PA);9678
1505064;Novo Repartimento (PA);27609
1505106;Óbidos (PA);21720
1505205;Oeiras do Pará (PA);14704
1505304;Oriximiná (PA);28813
1505403;Ourém (PA);6869
1505437;Ourilândia do Norte (PA);11038
1505486;Pacajá (PA);17584
1505494;Palestina do Pará (PA);3081
1505502;Paragominas (PA);40648
1505536;Parauapebas (PA);59873
1505551;Pau D'Arco (PA);2417
1505601;Peixe-Boi (PA);2937
1505635;Piçarra (PA);5286
1505650;Placas (PA);10312
1505700;Ponta de Pedras (PA);11181
1505809;Portel (PA);28085
1505908;Porto de Moz (PA);17782
1506005;Prainha (PA);14432
1506104;Primavera (PA);4110
1506112;Quatipuru (PA);5219
1506138;Redenção (PA);28912
1506161;Rio Maria (PA);6315
1506187;Rondon do Pará (PA);17879
1506195;Rurópolis (PA);17166
1506203;Salinópolis (PA);14966
1506302;Salvaterra (PA);8200
1506351;Santa Bárbara do Pará (PA);6745
1506401;Santa Cruz do Arari (PA);3226
1506500;Santa Izabel do Pará (PA);21461
1506559;Santa Luzia do Pará (PA);8391
1506583;Santa Maria das Barreiras (PA);6649
1506609;Santa Maria do Pará (PA);8505
1506708;Santana do Araguaia (PA);22187
1506807;Santarém (PA);119303
1506906;Santarém Novo (PA);2661
1507003;Santo Antônio do Tauá (PA);10694
1507102;São Caetano de Odivelas (PA);6777
1507151;São Domingos do Araguaia (PA);9836
1507201;São Domingos do Capim (PA);14569
1507300;São Félix do Xingu (PA);33948
1507409;São Francisco do Pará (PA);5632
1507458;São Geraldo do Araguaia (PA);10380
1507466;São João da Ponta (PA);2184
1507474;São João de Pirabas (PA);8559
1507508;São João do Araguaia (PA);5739
1507607;São Miguel do Guamá (PA);21727
1507706;São Sebastião da Boa Vista (PA);10702
