"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","206","11","17","26","9","-","-","-","-","-","-","-","143","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","132","2","7","39","8","1","-","-","-","-","-","-","75","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","290","9","19","95","50","8","3","-","-","-","-","-","106","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","261","12","15","81","50","12","5","1","-","-","-","-","85","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","207","10","11","67","55","12","6","-","-","-","-","-","46","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","210","11","9","69","51","8","5","3","-","-","-","-","54","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","194","6","17","61","47","8","3","-","-","-","-","-","52","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","182","8","17","60","33","6","4","2","-","-","-","-","52","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","123","2","8","35","21","7","4","1","-","-","-","-","45","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","101","2","-","49","19","2","1","-","-","-","-","-","28","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","174","3","6","116","28","1","3","-","-","-","-","-","17","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","130","2","1","91","27","-","-","-","-","-","-","-","9","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","242","16","3","5","-","-","-","-","-","-","-","-","218","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","284","9","21","58","16","1","-","-","-","-","-","-","179","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","158","7","9","22","1","-","-","-","-","-","-","-","119","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","126","2","12","36","15","1","-","-","-","-","-","-","60","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","237","2","6","77","67","11","7","-","-","-","-","-","67","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","205","4","7","59","64","12","9","6","-","-","-","-","44","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","216","4","9","69","58","21","7","4","1","-","-","-","43","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","176","2","6","47","48","12","17","4","1","-","-","-","39","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","171","4","11","41","47","12","18","9","-","-","-","-","29","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","137","3","6","27","34","19","15","6","1","-","-","-","26","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","119","2","3","27","25","11","13","8","-","-","-","-","30","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","90","2","3","32","22","8","7","-","1","-","-","-","15","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","131","-","-","79","31","5","7","3","-","-","-","-","6","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","101","-","-","73","21","1","-","1","-","-","-","-","5","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","40","5","-","1","-","-","-","-","-","-","-","-","34","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","45","3","5","6","4","-","-","-","-","-","-","-","27","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","22","3","3","-","1","-","-","-","-","-","-","-","15","-"
