"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4104303032","Parque Industrial I - Campo Mourão (PR)","Total","Total","64","3","14","13","18","10","3","3","-","-","-","-","-","-","-"
"4104303033","Parque Verde - Campo Mourão (PR)","Total","Total","347","24","79","107","74","38","15","5","3","2","-","-","-","-","-"
"4104303034","Cohapar - Campo Mourão (PR)","Total","Total","1221","113","325","358","250","118","36","10","6","4","1","-","-","-","-"
"4104303035","Comunidade São Francisco de Assis - Campo Mourão (PR)","Total","Total","37","8","8","3","10","3","3","1","1","-","-","-","-","-","-"
"4104303036","Jardim Pio XII - Campo Mourão (PR)","Total","Total","1111","126","274","266","245","112","54","20","10","4","-","-","-","-","-"
"4104303037","Vila Cândida - Campo Mourão (PR)","Total","Total","760","90","167","210","159","86","28","10","6","4","-","-","-","-","-"
"4104303038","Jardim Lar Paraná - Campo Mourão (PR)","Total","Total","1479","169","384","395","301","149","53","19","2","4","3","-","-","-","-"
"4104501001","Centro - Capanema (PR)","Total","Total","1190","180","377","275","242","87","17","8","4","-","-","-","-","-","-"
"4104501002","Santa Cruz - Capanema (PR)","Total","Total","501","65","135","164","93","34","9","1","-","-","-","-","-","-","-"
"4104501003","Santo Expedito - Capanema (PR)","Total","Total","203","26","60","43","42","21","7","4","-","-","-","-","-","-","-"
"4104501004","São José Operário - Capanema (PR)","Total","Total","803","79","227","218","180","68","18","10","3","-","-","-","-","-","-"
"4104501005","São Cristóvão - Capanema (PR)","Total","Total","894","106","250","231","194","73","27","9","3","1","-","-","-","-","-"
"4104808001","Centro - Cascavel (PR)","Total","Total","9269","1904","2839","2222","1683","461","114","27","9","4","4","1","-","-","1"
"4104808002","Cancelli - Cascavel (PR)","Total","Total","3417","454","944","917","710","252","82","36","13","3","2","-","3","-","1"
"4104808004","Country - Cascavel (PR)","Total","Total","1469","150","390","428","364","101","23","9","3","-","-","-","-","-","1"
"4104808005","São Cristóvão - Cascavel (PR)","Total","Total","2956","410","740","795","595","263","102","29","12","7","2","1","-","-","-"
"4104808007","Pacaembu - Cascavel (PR)","Total","Total","1672","157","419","445","389","172","53","21","8","4","2","1","1","-","-"
"4104808008","Região do Lago - Cascavel (PR)","Total","Total","2423","260","590","663","633","203","53","14","4","1","-","-","1","1","-"
"4104808009","Maria Luíza - Cascavel (PR)","Total","Total","1734","274","434","452","385","145","31","10","1","-","1","1","-","-","-"
"4104808010","Parque São Paulo - Cascavel (PR)","Total","Total","3446","439","927","902","738","308","96","22","10","3","-","-","1","-","-"
"4104808012","Neva - Cascavel (PR)","Total","Total","3975","505","1125","1097","822","296","85","25","14","3","1","2","-","-","-"
"4104808014","Pioneiros Catarinenses - Cascavel (PR)","Total","Total","1522","147","395","423","372","129","30","15","4","4","1","2","-","-","-"
"4104808016","Alto Alegre - Cascavel (PR)","Total","Total","2604","334","668","681","569","235","80","25","7","3","-","1","-","-","1"
"4104808017","Coqueiral - Cascavel (PR)","Total","Total","2637","378","671","683","596","199","72","21","10","4","1","-","1","1","-"
"4104808018","Parque Verde - Cascavel (PR)","Total","Total","1928","238","590","527","394","114","46","11","6","1","-","-","1","-","-"
"4104808019","Recanto Tropical - Cascavel (PR)","Total","Total","1974","207","540","529","487","155","37","13","3","1","2","-","-","-","-"
"4104808021","Canadá - Cascavel (PR)","Total","Total","1337","96","322","411","321","127","37","14","2","7","-","-","-","-","-"
"4104808022","Brasmadeira - Cascavel (PR)","Total","Total","1977","188","382","505","475","259","95","40","21","7","-","1","2","1","1"
"4104808023","Interlagos - Cascavel (PR)","Total","Total","3580","348","671","872","802","490","226","97","42","15","8","7","2","-","-"
"4104808024","Floresta - Cascavel (PR)","Total","Total","4083","397","934","1175","894","448","155","53","20","3","1","1","1","-","1"
"4104808025","Brasília - Cascavel (PR)","Total","Total","3562","359","839","1004","829","358","116","32","14","4","3","2","2","-","-"
"4104808026","Periolo - Cascavel (PR)","Total","Total","2908","252","668","820","674","309","110","41","20","8","2","3","1","-","-"
"4104808027","Morumbi - Cascavel (PR)","Total","Total","1609","148","360","446","366","168","72","28","9","8","2","1","-","-","1"
"4104808028","Cataratas - Cascavel (PR)","Total","Total","1625","153","346","416","375","186","95","30","16","5","-","3","-","-","-"
"4104808030","Cascavel Velho - Cascavel (PR)","Total","Total","3995","347","909","1086","905","445","180","79","28","10","5","1","-","-","-"
"4104808031","Universitário - Cascavel (PR)","Total","Total","4279","694","1075","1090","842","376","120","51","19","3","4","2","3","-","-"
"4104808033","Santa Felicidade - Cascavel (PR)","Total","Total","4498","432","1094","1236","1036","431","172","56","21","10","6","3","1","-","-"
"4104808034","Quatorze de Novembro - Cascavel (PR)","Total","Total","1488","128","326","395","362","184","50","24","8","8","2","1","-","-","-"
"4104808035","Guarujá - Cascavel (PR)","Total","Total","2600","221","594","725","633","279","100","31","11","4","1","1","-","-","-"
"4104808036","Santos Dumont - Cascavel (PR)","Total","Total","617","49","147","183","150","55","20","11","1","1","-","-","-","-","-"
"4104808037","Esmeralda - Cascavel (PR)","Total","Total","1668","142","380","448","417","174","63","28","12","1","1","-","1","-","1"
"4104808038","Santa Cruz - Cascavel (PR)","Total","Total","4501","469","1008","1208","1018","498","175","71","27","18","5","3","1","-","-"
"4104808039","Santo Inácio - Cascavel (PR)","Total","Total","532","112","140","130","85","39","11","7","5","2","1","-","-","-","-"
"4105409001","Cristo Rei - Chopinzinho (PR)","Total","Total","481","48","129","124","118","41","12","4","2","2","-","1","-","-","-"
"4105409002","São José - Chopinzinho (PR)","Total","Total","149","18","42","49","25","10","4","1","-","-","-","-","-","-","-"
"4105409003","Centro - Chopinzinho (PR)","Total","Total","626","131","198","134","125","32","5","-","1","-","-","-","-","-","-"
"4105409004","Verdi - Chopinzinho (PR)","Total","Total","290","28","71","101","58","18","10","4","-","-","-","-","-","-","-"
"4105409005","São Genaro - Chopinzinho (PR)","Total","Total","242","34","54","67","57","22","2","3","3","-","-","-","-","-","-"
"4105409006","Nossa Senhora Aparecida - Chopinzinho (PR)","Total","Total","1044","96","254","313","200","117","38","18","5","2","1","-","-","-","-"
"4105409007","São Sebastião - Chopinzinho (PR)","Total","Total","406","44","110","98","86","46","11","6","2","-","1","1","1","-","-"
"4105409008","Frei Vito - Chopinzinho (PR)","Total","Total","382","55","69","107","91","41","12","4","2","-","1","-","-","-","-"
"4105409009","São Miguel - Chopinzinho (PR)","Total","Total","198","20","64","52","37","19","3","2","-","1","-","-","-","-","-"
"4105409010","São Cristóvão - Chopinzinho (PR)","Total","Total","36","6","12","8","9","1","-","-","-","-","-","-","-","-","-"
"4105508001","Zona 1 - Cianorte (PR)","Total","Total","3222","490","907","818","682","234","68","15","6","1","1","-","-","-","-"
"4105508002","Zona 2 - Cianorte (PR)","Total","Total","2380","215","654","609","603","229","45","18","4","1","2","-","-","-","-"
"4105508003","Zona 3 - Cianorte (PR)","Total","Total","3394","408","931","941","675","294","92","37","8","4","3","1","-","-","-"
"4105508004","Zona 4 - Cianorte (PR)","Total","Total","1860","189","501","503","439","154","57","10","5","1","1","-","-","-","-"
