"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"3132800","Itambé do Mato Dentro (MG)","Total","Total","693","692","-","1","-","-"
"3132909","Itamogi (MG)","Total","Total","3402","3390","4","8","-","-"
"3133006","Itamonte (MG)","Total","Total","4217","4167","6","44","-","-"
"3133105","Itanhandu (MG)","Total","Total","4371","4288","3","77","3","-"
"3133204","Itanhomi (MG)","Total","Total","3788","3740","-","48","-","-"
"3133303","Itaobim (MG)","Total","Total","6141","6061","8","65","7","-"
"3133402","Itapagipe (MG)","Total","Total","4402","4383","15","4","-","-"
"3133501","Itapecerica (MG)","Total","Total","6942","6709","25","206","2","-"
"3133600","Itapeva (MG)","Total","Total","2737","2707","1","27","2","-"
"3133709","Itatiaiuçu (MG)","Total","Total","3074","3048","-","25","1","-"
"3133758","Itaú de Minas (MG)","Total","Total","4768","4718","-","50","-","-"
"3133808","Itaúna (MG)","Total","Total","26669","24104","36","2349","180","-"
"3133907","Itaverava (MG)","Total","Total","1650","1650","-","-","-","-"
"3134004","Itinga (MG)","Total","Total","3787","3739","3","25","20","-"
"3134103","Itueta (MG)","Total","Total","1849","1813","1","35","-","-"
"3134202","Ituiutaba (MG)","Total","Total","32359","31650","42","610","57","-"
"3134301","Itumirim (MG)","Total","Total","1859","1851","2","4","2","-"
"3134400","Iturama (MG)","Total","Total","11112","10860","5","225","22","-"
"3134509","Itutinga (MG)","Total","Total","1311","1300","11","-","-","-"
"3134608","Jaboticatubas (MG)","Total","Total","5396","5228","120","32","16","-"
"3134707","Jacinto (MG)","Total","Total","3738","3733","3","1","1","-"
"3134806","Jacuí (MG)","Total","Total","2501","2486","5","-","10","-"
"3134905","Jacutinga (MG)","Total","Total","7111","7021","3","77","10","-"
"3135001","Jaguaraçu (MG)","Total","Total","888","875","-","13","-","-"
"3135050","Jaíba (MG)","Total","Total","8930","8881","4","36","9","-"
"3135076","Jampruca (MG)","Total","Total","1490","1486","-","4","-","-"
"3135100","Janaúba (MG)","Total","Total","18386","18069","6","291","20","-"
"3135209","Januária (MG)","Total","Total","17405","17205","33","144","23","-"
"3135308","Japaraíba (MG)","Total","Total","1169","1158","-","11","-","-"
"3135357","Japonvar (MG)","Total","Total","2308","2305","1","2","-","-"
"3135407","Jeceaba (MG)","Total","Total","1683","1681","1","-","1","-"
"3135456","Jenipapo de Minas (MG)","Total","Total","1750","1747","1","2","-","-"
"3135506","Jequeri (MG)","Total","Total","4045","3919","2","120","4","-"
"3135605","Jequitaí (MG)","Total","Total","2454","2420","-","2","32","-"
"3135704","Jequitibá (MG)","Total","Total","1589","1587","-","1","1","-"
"3135803","Jequitinhonha (MG)","Total","Total","7107","7069","4","8","26","-"
"3135902","Jesuânia (MG)","Total","Total","1560","1545","13","2","-","-"
"3136009","Joaíma (MG)","Total","Total","4138","4130","2","6","-","-"
"3136108","Joanésia (MG)","Total","Total","1671","1621","-","47","3","-"
"3136207","João Monlevade (MG)","Total","Total","22152","19373","40","2574","165","-"
"3136306","João Pinheiro (MG)","Total","Total","13561","13305","3","234","19","-"
"3136405","Joaquim Felício (MG)","Total","Total","1236","1229","-","-","7","-"
"3136504","Jordânia (MG)","Total","Total","3005","2996","1","1","7","-"
"3136520","José Gonçalves de Minas (MG)","Total","Total","1145","1145","-","-","-","-"
"3136553","José Raydan (MG)","Total","Total","1296","1295","-","-","1","-"
"3136579","Josenópolis (MG)","Total","Total","1207","1207","-","-","-","-"
"3136603","Nova União (MG)","Total","Total","1653","1644","2","4","3","-"
"3136652","Juatuba (MG)","Total","Total","6808","6713","50","27","18","-"
"3136702","Juiz de Fora (MG)","Total","Total","170535","117391","2403","50092","649","-"
"3136801","Juramento (MG)","Total","Total","1199","1195","-","2","2","-"
"3136900","Juruaia (MG)","Total","Total","2819","2799","-","19","1","-"
"3136959","Juvenília (MG)","Total","Total","1511","1505","1","3","2","-"
"3137007","Ladainha (MG)","Total","Total","4266","4225","1","10","4","26"
"3137106","Lagamar (MG)","Total","Total","2665","2657","-","8","-","-"
"3137205","Lagoa da Prata (MG)","Total","Total","13976","13407","42","460","67","-"
"3137304","Lagoa dos Patos (MG)","Total","Total","1190","1187","-","-","3","-"
"3137403","Lagoa Dourada (MG)","Total","Total","3269","3231","8","28","2","-"
"3137502","Lagoa Formosa (MG)","Total","Total","5612","5540","4","67","1","-"
"3137536","Lagoa Grande (MG)","Total","Total","2738","2711","-","25","2","-"
"3137601","Lagoa Santa (MG)","Total","Total","15734","15215","108","306","105","-"
"3137700","Lajinha (MG)","Total","Total","6129","5828","-","298","3","-"
"3137809","Lambari (MG)","Total","Total","6421","6209","27","185","-","-"
"3137908","Lamim (MG)","Total","Total","1068","1064","-","4","-","-"
"3138005","Laranjal (MG)","Total","Total","2093","1994","-","99","-","-"
"3138104","Lassance (MG)","Total","Total","1980","1956","11","-","13","-"
"3138203","Lavras (MG)","Total","Total","28978","26399","163","2396","20","-"
"3138302","Leandro Ferreira (MG)","Total","Total","1010","1006","-","4","-","-"
"3138351","Leme do Prado (MG)","Total","Total","1326","1324","-","2","-","-"
"3138401","Leopoldina (MG)","Total","Total","16495","14721","36","1731","7","-"
"3138500","Liberdade (MG)","Total","Total","1711","1671","-","40","-","-"
"3138609","Lima Duarte (MG)","Total","Total","5367","4626","16","710","15","-"
"3138625","Limeira do Oeste (MG)","Total","Total","2277","2266","4","7","-","-"
"3138658","Lontra (MG)","Total","Total","2330","2328","-","1","1","-"
"3138674","Luisburgo (MG)","Total","Total","1895","1808","1","85","1","-"
"3138682","Luislândia (MG)","Total","Total","1699","1698","-","1","-","-"
"3138708","Luminárias (MG)","Total","Total","1767","1754","-","8","5","-"
"3138807","Luz (MG)","Total","Total","5817","5661","26","122","8","-"
"3138906","Machacalis (MG)","Total","Total","2177","2174","1","2","-","-"
"3139003","Machado (MG)","Total","Total","11469","10860","23","582","4","-"
"3139102","Madre de Deus de Minas (MG)","Total","Total","1515","1514","-","-","1","-"
"3139201","Malacacheta (MG)","Total","Total","5409","5403","1","5","-","-"
"3139250","Mamonas (MG)","Total","Total","1979","1976","3","-","-","-"
"3139300","Manga (MG)","Total","Total","5116","5098","4","6","8","-"
"3139409","Manhuaçu (MG)","Total","Total","24186","19031","197","4868","90","-"
"3139508","Manhumirim (MG)","Total","Total","6775","6083","44","644","4","-"
"3139607","Mantena (MG)","Total","Total","8946","8679","12","248","7","-"
"3139706","Maravilhas (MG)","Total","Total","2053","2046","-","7","-","-"
"3139805","Mar de Espanha (MG)","Total","Total","3889","3506","1","378","4","-"
"3139904","Maria da Fé (MG)","Total","Total","3959","3830","17","109","3","-"
"3140001","Mariana (MG)","Total","Total","15868","15270","56","512","30","-"
"3140100","Marilac (MG)","Total","Total","1308","1305","-","3","-","-"
"3140159","Mário Campos (MG)","Total","Total","3870","3823","3","13","31","-"
"3140209","Maripá de Minas (MG)","Total","Total","886","845","-","41","-","-"
"3140308","Marliéria (MG)","Total","Total","1244","1205","-","36","3","-"
"3140407","Marmelópolis (MG)","Total","Total","905","904","-","1","-","-"
"3140506","Martinho Campos (MG)","Total","Total","4074","4003","1","65","5","-"
"3140530","Martins Soares (MG)","Total","Total","2202","2084","5","93","20","-"
"3140555","Mata Verde (MG)","Total","Total","2225","2216","2","5","2","-"
"3140605","Materlândia (MG)","Total","Total","1280","1278","-","2","-","-"
"3140704","Mateus Leme (MG)","Total","Total","8562","8428","11","106","17","-"
"3140803","Matias Barbosa (MG)","Total","Total","4229","3931","7","286","5","-"
"3140852","Matias Cardoso (MG)","Total","Total","2494","2483","-","-","11","-"
"3140902","Matipó (MG)","Total","Total","5018","4628","14","369","7","-"
"3141009","Mato Verde (MG)","Total","Total","3987","3904","2","81","-","-"
"3141108","Matozinhos (MG)","Total","Total","9871","9577","13","233","48","-"
"3141207","Matutina (MG)","Total","Total","1393","1393","-","-","-","-"
"3141306","Medeiros (MG)","Total","Total","1121","1111","2","8","-","-"
"3141405","Medina (MG)","Total","Total","6112","6072","6","30","4","-"
"3141504","Mendes Pimentel (MG)","Total","Total","2075","2029","34","12","-","-"
"3141603","Mercês (MG)","Total","Total","3301","3180","8","110","3","-"
"3141702","Mesquita (MG)","Total","Total","1803","1768","-","35","-","-"
"3141801","Minas Novas (MG)","Total","Total","7477","7472","2","2","1","-"
"3141900","Minduri (MG)","Total","Total","1128","1128","-","-","-","-"
"3142007","Mirabela (MG)","Total","Total","3742","3707","3","29","3","-"
"3142106","Miradouro (MG)","Total","Total","3280","3179","-","97","4","-"
"3142205","Miraí (MG)","Total","Total","4129","4004","5","118","2","-"
"3142254","Miravânia (MG)","Total","Total","1177","1169","-","5","3","-"
"3142304","Moeda (MG)","Total","Total","1479","1465","-","9","5","-"
"3142403","Moema (MG)","Total","Total","2271","2187","1","82","1","-"
"3142502","Monjolos (MG)","Total","Total","685","685","-","-","-","-"
"3142601","Monsenhor Paulo (MG)","Total","Total","2519","2480","2","37","-","-"
"3142700","Montalvânia (MG)","Total","Total","4398","4352","-","14","32","-"
"3142809","Monte Alegre de Minas (MG)","Total","Total","6706","6678","1","20","7","-"
"3142908","Monte Azul (MG)","Total","Total","6940","6860","1","78","1","-"
"3143005","Monte Belo (MG)","Total","Total","4122","4108","-","6","8","-"
"3143104","Monte Carmelo (MG)","Total","Total","14953","14584","26","315","28","-"
"3143153","Monte Formoso (MG)","Total","Total","1223","1221","-","-","2","-"
"3143203","Monte Santo de Minas (MG)","Total","Total","7092","6998","59","32","3","-"
"3143302","Montes Claros (MG)","Total","Total","104028","96933","737","5795","563","-"
"3143401","Monte Sião (MG)","Total","Total","6894","6379","13","467","35","-"
"3143450","Montezuma (MG)","Total","Total","1893","1833","1","59","-","-"
"3143500","Morada Nova de Minas (MG)","Total","Total","2789","2775","3","5","6","-"
"3143609","Morro da Garça (MG)","Total","Total","808","807","-","-","1","-"
"3143708","Morro do Pilar (MG)","Total","Total","1069","1068","1","-","-","-"
"3143807","Munhoz (MG)","Total","Total","1946","1946","-","-","-","-"
"3143906","Muriaé (MG)","Total","Total","32810","27726","235","4744","105","-"
"3144003","Mutum (MG)","Total","Total","8501","8014","-","483","4","-"
"3144102","Muzambinho (MG)","Total","Total","6560","6504","25","28","3","-"
"3144201","Nacip Raydan (MG)","Total","Total","909","906","-","2","1","-"
"3144300","Nanuque (MG)","Total","Total","12881","12696","8","171","6","-"
"3144359","Naque (MG)","Total","Total","1830","1767","4","57","2","-"
"3144375","Natalândia (MG)","Total","Total","1042","1042","-","-","-","-"
"3144409","Natércia (MG)","Total","Total","1569","1566","-","3","-","-"
"3144508","Nazareno (MG)","Total","Total","2447","2439","-","8","-","-"
"3144607","Nepomuceno (MG)","Total","Total","7841","7801","1","37","2","-"
"3144656","Ninheira (MG)","Total","Total","2588","2556","1","30","1","-"
"3144672","Nova Belém (MG)","Total","Total","1174","1171","1","1","1","-"
"3144706","Nova Era (MG)","Total","Total","5201","4805","9","350","37","-"
"3144805","Nova Lima (MG)","Total","Total","24203","21716","1191","1164","132","-"
"3144904","Nova Módica (MG)","Total","Total","1167","1160","-","2","5","-"
"3145000","Nova Ponte (MG)","Total","Total","3953","3933","8","4","8","-"
"3145059","Nova Porteirinha (MG)","Total","Total","2023","2005","-","15","3","-"
"3145109","Nova Resende (MG)","Total","Total","4918","4912","4","1","1","-"
"3145208","Nova Serrana (MG)","Total","Total","21892","17734","17","3721","420","-"
"3145307","Novo Cruzeiro (MG)","Total","Total","7944","7874","7","9","54","-"
"3145356","Novo Oriente de Minas (MG)","Total","Total","3011","2945","1","59","6","-"
"3145372","Novorizonte (MG)","Total","Total","1418","1418","-","-","-","-"
"3145406","Olaria (MG)","Total","Total","670","660","-","10","-","-"
"3145455","Olhos-d'Água (MG)","Total","Total","1479","1432","-","15","32","-"
"3145505","Olímpio Noronha (MG)","Total","Total","798","798","-","-","-","-"
"3145604","Oliveira (MG)","Total","Total","12036","11816","49","157","14","-"
"3145703","Oliveira Fortes (MG)","Total","Total","665","662","-","1","2","-"
"3145802","Onça de Pitangui (MG)","Total","Total","927","924","-","2","1","-"
"3145851","Oratórios (MG)","Total","Total","1284","1279","-","2","3","-"
"3145877","Orizânia (MG)","Total","Total","2200","2120","30","50","-","-"
"3145901","Ouro Branco (MG)","Total","Total","10380","9973","13","309","85","-"
"3146008","Ouro Fino (MG)","Total","Total","10440","10255","22","155","8","-"
"3146107","Ouro Preto (MG)","Total","Total","20335","19944","20","358","13","-"
"3146206","Ouro Verde de Minas (MG)","Total","Total","1697","1679","-","16","2","-"
"3146255","Padre Carvalho (MG)","Total","Total","1404","1388","-","16","-","-"
"3146305","Padre Paraíso (MG)","Total","Total","4989","4893","2","90","4","-"
"3146404","Paineiras (MG)","Total","Total","1663","1660","-","3","-","-"
"3146503","Pains (MG)","Total","Total","2635","2545","1","89","-","-"
"3146552","Pai Pedro (MG)","Total","Total","1635","1625","1","9","-","-"
"3146602","Paiva (MG)","Total","Total","524","519","-","5","-","-"
"3146701","Palma (MG)","Total","Total","2053","1985","10","51","7","-"
"3146750","Palmópolis (MG)","Total","Total","2068","2065","-","-","3","-"
"3146909","Papagaios (MG)","Total","Total","4023","3954","1","44","24","-"
"3147006","Paracatu (MG)","Total","Total","23811","23054","60","665","32","-"
"3147105","Pará de Minas (MG)","Total","Total","25480","24214","48","1187","31","-"
"3147204","Paraguaçu (MG)","Total","Total","6280","6178","1","97","4","-"
"3147303","Paraisópolis (MG)","Total","Total","6366","6127","7","228","4","-"
"3147402","Paraopeba (MG)","Total","Total","6671","6620","6","39","6","-"
"3147501","Passabém (MG)","Total","Total","557","556","-","1","-","-"
"3147600","Passa Quatro (MG)","Total","Total","4797","4740","14","42","1","-"
"3147709","Passa Tempo (MG)","Total","Total","2713","2702","-","11","-","-"
"3147808","Passa Vinte (MG)","Total","Total","696","694","-","2","-","-"
"3147907","Passos (MG)","Total","Total","33269","31049","50","2134","36","-"
"3147956","Patis (MG)","Total","Total","1521","1520","-","1","-","-"
"3148004","Patos de Minas (MG)","Total","Total","45621","41923","343","3237","118","-"
"3148103","Patrocínio (MG)","Total","Total","25381","24395","173","800","13","-"
"3148202","Patrocínio do Muriaé (MG)","Total","Total","1796","1591","-","205","-","-"
"3148301","Paula Cândido (MG)","Total","Total","2674","2627","-","47","-","-"
"3148400","Paulistas (MG)","Total","Total","1331","1325","1","5","-","-"
"3148509","Pavão (MG)","Total","Total","2476","2461","1","12","2","-"
"3148608","Peçanha (MG)","Total","Total","4886","4853","2","31","-","-"
"3148707","Pedra Azul (MG)","Total","Total","6543","6499","27","13","4","-"
"3148756","Pedra Bonita (MG)","Total","Total","1777","1776","-","1","-","-"
"3148806","Pedra do Anta (MG)","Total","Total","1082","1080","-","2","-","-"
"3148905","Pedra do Indaiá (MG)","Total","Total","1323","1310","-","12","1","-"
"3149002","Pedra Dourada (MG)","Total","Total","678","664","1","11","2","-"
"3149101","Pedralva (MG)","Total","Total","3403","3395","1","7","-","-"
"3149150","Pedras de Maria da Cruz (MG)","Total","Total","2721","2714","1","4","2","-"
"3149200","Pedrinópolis (MG)","Total","Total","1135","1135","-","-","-","-"
"3149309","Pedro Leopoldo (MG)","Total","Total","17510","16287","69","1114","40","-"
"3149408","Pedro Teixeira (MG)","Total","Total","586","584","-","2","-","-"
"3149507","Pequeri (MG)","Total","Total","1044","1003","-","41","-","-"
"3149606","Pequi (MG)","Total","Total","1331","1323","-","7","1","-"
"3149705","Perdigão (MG)","Total","Total","2724","2509","18","197","-","-"
"3149804","Perdizes (MG)","Total","Total","4424","4386","5","33","-","-"
"3149903","Perdões (MG)","Total","Total","6338","6268","1","62","7","-"
"3149952","Periquito (MG)","Total","Total","2011","2007","-","4","-","-"
"3150000","Pescador (MG)","Total","Total","1162","1145","-","13","4","-"
"3150109","Piau (MG)","Total","Total","938","929","-","8","1","-"
"3150158","Piedade de Caratinga (MG)","Total","Total","2142","1984","6","152","-","-"
"3150208","Piedade de Ponte Nova (MG)","Total","Total","1150","1142","-","8","-","-"
"3150307","Piedade do Rio Grande (MG)","Total","Total","1614","1600","10","4","-","-"
"3150406","Piedade dos Gerais (MG)","Total","Total","1556","1549","-","7","-","-"
"3150505","Pimenta (MG)","Total","Total","2719","2676","7","28","8","-"
"3150539","Pingo-d'Água (MG)","Total","Total","1301","1285","-","15","1","-"
"3150570","Pintópolis (MG)","Total","Total","1858","1841","17","-","-","-"
"3150604","Piracema (MG)","Total","Total","2117","2056","3","58","-","-"
"3150703","Pirajuba (MG)","Total","Total","1506","1479","-","25","2","-"
"3150802","Piranga (MG)","Total","Total","4580","4518","1","55","6","-"
"3150901","Piranguçu (MG)","Total","Total","1609","1609","-","-","-","-"
"3151008","Piranguinho (MG)","Total","Total","2408","2387","1","20","-","-"
"3151107","Pirapetinga (MG)","Total","Total","3490","3305","4","180","1","-"
"3151206","Pirapora (MG)","Total","Total","15108","14865","24","172","47","-"
"3151305","Piraúba (MG)","Total","Total","3470","3256","2","212","-","-"
"3151404","Pitangui (MG)","Total","Total","7619","7189","17","381","32","-"
"3151503","Piumhi (MG)","Total","Total","10646","10215","15","410","6","-"
"3151602","Planura (MG)","Total","Total","3282","3268","8","-","6","-"
"3151701","Poço Fundo (MG)","Total","Total","5117","5108","-","9","-","-"
"3151800","Poços de Caldas (MG)","Total","Total","50482","43032","153","7253","44","-"
"3151909","Pocrane (MG)","Total","Total","3011","3004","1","5","1","-"
"3152006","Pompéu (MG)","Total","Total","8508","8404","14","64","26","-"
"3152105","Ponte Nova (MG)","Total","Total","17656","14878","9","2737","32","-"
"3152131","Ponto Chique (MG)","Total","Total","1103","1093","-","1","9","-"
"3152170","Ponto dos Volantes (MG)","Total","Total","3063","3055","1","6","1","-"
"3152204","Porteirinha (MG)","Total","Total","10996","10731","3","261","1","-"
"3152303","Porto Firme (MG)","Total","Total","2866","2645","-","209","12","-"
"3152402","Poté (MG)","Total","Total","4551","4514","1","36","-","-"
"3152501","Pouso Alegre (MG)","Total","Total","40378","37216","372","2684","106","-"
"3152600","Pouso Alto (MG)","Total","Total","1983","1970","2","10","1","-"
"3152709","Prados (MG)","Total","Total","2585","2550","7","27","1","-"
"3152808","Prata (MG)","Total","Total","8218","8144","26","44","4","-"
"3152907","Pratápolis (MG)","Total","Total","3069","3069","-","-","-","-"
"3153004","Pratinha (MG)","Total","Total","1135","1133","-","-","2","-"
"3153103","Presidente Bernardes (MG)","Total","Total","1601","1580","-","21","-","-"
"3153202","Presidente Juscelino (MG)","Total","Total","1177","1176","-","-","1","-"
"3153301","Presidente Kubitschek (MG)","Total","Total","760","760","-","-","-","-"
"3153400","Presidente Olegário (MG)","Total","Total","6322","6200","12","104","6","-"
"3153509","Alto Jequitibá (MG)","Total","Total","2733","2653","1","79","-","-"
"3153608","Prudente de Morais (MG)","Total","Total","2701","2695","2","3","1","-"
"3153707","Quartel Geral (MG)","Total","Total","1114","1110","-","4","-","-"
"3153806","Queluzito (MG)","Total","Total","602","601","1","-","-","-"
"3153905","Raposos (MG)","Total","Total","4379","4349","3","15","12","-"
"3154002","Raul Soares (MG)","Total","Total","7715","6872","2","772","69","-"
"3154101","Recreio (MG)","Total","Total","3508","3445","-","58","5","-"
"3154150","Reduto (MG)","Total","Total","1953","1779","1","173","-","-"
"3154200","Resende Costa (MG)","Total","Total","3498","3465","1","32","-","-"
"3154309","Resplendor (MG)","Total","Total","5762","5251","2","491","18","-"
"3154408","Ressaquinha (MG)","Total","Total","1434","1431","2","1","-","-"
"3154457","Riachinho (MG)","Total","Total","2337","2329","1","6","1","-"
"3154507","Riacho dos Machados (MG)","Total","Total","2309","2296","6","3","4","-"
"3154606","Ribeirão das Neves (MG)","Total","Total","85135","80659","1118","2331","1027","-"
"3154705","Ribeirão Vermelho (MG)","Total","Total","1214","1213","-","1","-","-"
"3154804","Rio Acima (MG)","Total","Total","2631","2606","10","11","4","-"
"3154903","Rio Casca (MG)","Total","Total","4283","4136","7","133","7","-"
"3155009","Rio Doce (MG)","Total","Total","775","755","-","20","-","-"
"3155108","Rio do Prado (MG)","Total","Total","1545","1544","-","-","1","-"
"3155207","Rio Espera (MG)","Total","Total","1830","1794","-","36","-","-"
"3155306","Rio Manso (MG)","Total","Total","1689","1674","14","-","1","-"
"3155405","Rio Novo (MG)","Total","Total","2804","2730","9","65","-","-"
"3155504","Rio Paranaíba (MG)","Total","Total","3867","3833","1","33","-","-"
"3155603","Rio Pardo de Minas (MG)","Total","Total","7544","7457","1","86","-","-"
"3155702","Rio Piracicaba (MG)","Total","Total","4359","4313","6","40","-","-"
"3155801","Rio Pomba (MG)","Total","Total","5478","4481","26","965","6","-"
"3155900","Rio Preto (MG)","Total","Total","1750","1639","22","86","3","-"
"3156007","Rio Vermelho (MG)","Total","Total","3773","3766","1","6","-","-"
"3156106","Ritápolis (MG)","Total","Total","1690","1686","-","4","-","-"
"3156205","Rochedo de Minas (MG)","Total","Total","703","692","-","5","6","-"
"3156304","Rodeiro (MG)","Total","Total","2045","2012","-","33","-","-"
"3156403","Romaria (MG)","Total","Total","1137","1133","1","1","2","-"
"3156452","Rosário da Limeira (MG)","Total","Total","1420","1390","4","26","-","-"
"3156502","Rubelita (MG)","Total","Total","2235","2235","-","-","-","-"
"3156601","Rubim (MG)","Total","Total","3062","3052","4","1","5","-"
"3156700","Sabará (MG)","Total","Total","36479","34144","127","2003","205","-"
"3156809","Sabinópolis (MG)","Total","Total","4654","4522","6","125","1","-"
"3156908","Sacramento (MG)","Total","Total","7609","7475","18","115","1","-"
"3157005","Salinas (MG)","Total","Total","11793","11547","3","243","-","-"
"3157104","Salto da Divisa (MG)","Total","Total","1980","1977","1","1","1","-"
"3157203","Santa Bárbara (MG)","Total","Total","7990","7892","12","74","12","-"
"3157252","Santa Bárbara do Leste (MG)","Total","Total","2359","2140","4","215","-","-"
"3157278","Santa Bárbara do Monte Verde (MG)","Total","Total","944","931","-","12","1","-"
"3157302","Santa Bárbara do Tugúrio (MG)","Total","Total","1385","1370","-","15","-","-"
"3157336","Santa Cruz de Minas (MG)","Total","Total","2520","2446","-","74","-","-"
"3157377","Santa Cruz de Salinas (MG)","Total","Total","1280","1278","1","1","-","-"
"3157401","Santa Cruz do Escalvado (MG)","Total","Total","1570","1525","-","45","-","-"
"3157500","Santa Efigênia de Minas (MG)","Total","Total","1323","1302","1","16","4","-"
"3157609","Santa Fé de Minas (MG)","Total","Total","1152","1152","-","-","-","-"
"3157658","Santa Helena de Minas (MG)","Total","Total","1610","1507","-","1","1","101"
"3157708","Santa Juliana (MG)","Total","Total","3445","3421","6","12","6","-"
"3157807","Santa Luzia (MG)","Total","Total","58332","51650","494","5857","331","-"
"3157906","Santa Margarida (MG)","Total","Total","4318","4232","8","77","1","-"
"3158003","Santa Maria de Itabira (MG)","Total","Total","2868","2761","14","90","3","-"
"3158102","Santa Maria do Salto (MG)","Total","Total","1596","1592","1","1","2","-"
"3158201","Santa Maria do Suaçuí (MG)","Total","Total","4067","4018","5","43","1","-"
"3158300","Santana da Vargem (MG)","Total","Total","2201","2169","1","31","-","-"
"3158409","Santana de Cataguases (MG)","Total","Total","1212","1208","-","4","-","-"
"3158508","Santana de Pirapama (MG)","Total","Total","2520","2491","-","17","12","-"
"3158607","Santana do Deserto (MG)","Total","Total","1168","1156","2","10","-","-"
"3158706","Santana do Garambéu (MG)","Total","Total","659","657","-","2","-","-"
"3158805","Santana do Jacaré (MG)","Total","Total","1503","1496","-","5","2","-"
"3158904","Santana do Manhuaçu (MG)","Total","Total","2545","2514","-","31","-","-"
"3158953","Santana do Paraíso (MG)","Total","Total","7891","7312","2","564","13","-"
"3159001","Santana do Riacho (MG)","Total","Total","1287","1282","1","2","2","-"
"3159100","Santana dos Montes (MG)","Total","Total","1145","1144","-","-","1","-"
"3159209","Santa Rita de Caldas (MG)","Total","Total","3113","3105","4","2","2","-"
"3159308","Santa Rita de Jacutinga (MG)","Total","Total","1771","1740","6","25","-","-"
"3159357","Santa Rita de Minas (MG)","Total","Total","2034","1769","7","258","-","-"
"3159407","Santa Rita de Ibitipoca (MG)","Total","Total","1097","1083","-","13","1","-"
"3159506","Santa Rita do Itueto (MG)","Total","Total","1787","1705","-","73","9","-"
"3159605","Santa Rita do Sapucaí (MG)","Total","Total","11255","10829","8","394","24","-"
"3159704","Santa Rosa da Serra (MG)","Total","Total","1065","1064","-","1","-","-"
"3159803","Santa Vitória (MG)","Total","Total","6103","6071","2","6","24","-"
"3159902","Santo Antônio do Amparo (MG)","Total","Total","5038","5024","7","7","-","-"
"3160009","Santo Antônio do Aventureiro (MG)","Total","Total","1204","1198","-","6","-","-"
"3160108","Santo Antônio do Grama (MG)","Total","Total","1238","1233","2","-","3","-"
"3160207","Santo Antônio do Itambé (MG)","Total","Total","1075","1075","-","-","-","-"
"3160306","Santo Antônio do Jacinto (MG)","Total","Total","3574","3574","-","-","-","-"
"3160405","Santo Antônio do Monte (MG)","Total","Total","8358","7847","24","487","-","-"
"3160454","Santo Antônio do Retiro (MG)","Total","Total","1798","1794","-","-","4","-"
"3160504","Santo Antônio do Rio Abaixo (MG)","Total","Total","532","532","-","-","-","-"
"3160603","Santo Hipólito (MG)","Total","Total","1036","1036","-","-","-","-"
"3160702","Santos Dumont (MG)","Total","Total","14682","13498","17","1155","12","-"
"3160801","São Bento Abade (MG)","Total","Total","1314","1306","3","4","1","-"
"3160900","São Brás do Suaçuí (MG)","Total","Total","1103","1102","1","-","-","-"
"3160959","São Domingos das Dores (MG)","Total","Total","1561","1480","4","75","2","-"
"3161007","São Domingos do Prata (MG)","Total","Total","5356","5160","6","181","9","-"
"3161056","São Félix de Minas (MG)","Total","Total","1053","1051","-","1","1","-"
"3161106","São Francisco (MG)","Total","Total","13504","13476","1","19","8","-"
"3161205","São Francisco de Paula (MG)","Total","Total","1976","1972","-","4","-","-"
"3161304","São Francisco de Sales (MG)","Total","Total","2041","2027","7","5","2","-"
"3161403","São Francisco do Glória (MG)","Total","Total","1614","1610","1","3","-","-"
"3161502","São Geraldo (MG)","Total","Total","3221","3142","1","75","3","-"
"3161601","São Geraldo da Piedade (MG)","Total","Total","1239","1231","5","2","1","-"
"3161650","São Geraldo do Baixio (MG)","Total","Total","1145","1140","-","5","-","-"
"3161700","São Gonçalo do Abaeté (MG)","Total","Total","2012","2006","6","-","-","-"
"3161809","São Gonçalo do Pará (MG)","Total","Total","3332","3224","2","106","-","-"
"3161908","São Gonçalo do Rio Abaixo (MG)","Total","Total","2752","2642","11","62","37","-"
"3162005","São Gonçalo do Sapucaí (MG)","Total","Total","7130","7042","1","85","2","-"
"3162104","São Gotardo (MG)","Total","Total","10005","9608","9","367","21","-"
"3162203","São João Batista do Glória (MG)","Total","Total","2280","2271","7","-","2","-"
"3162252","São João da Lagoa (MG)","Total","Total","1442","1439","1","-","2","-"
"3162302","São João da Mata (MG)","Total","Total","903","901","-","1","1","-"
"3162401","São João da Ponte (MG)","Total","Total","6595","6585","3","7","-","-"
