"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1503044","Floresta do Araguaia (PA)","Total","Total","4841","4794","11","-","36","-"
"1503077","Garrafão do Norte (PA)","Total","Total","5801","5706","95","-","-","-"
"1503093","Goianésia do Pará (PA)","Total","Total","7840","7623","67","70","80","-"
"1503101","Gurupá (PA)","Total","Total","5394","5171","214","1","8","-"
"1503200","Igarapé-Açu (PA)","Total","Total","9118","9080","37","-","1","-"
"1503309","Igarapé-Miri (PA)","Total","Total","12001","11938","25","24","14","-"
"1503408","Inhangapi (PA)","Total","Total","2497","2491","2","-","4","-"
"1503457","Ipixuna do Pará (PA)","Total","Total","11382","11279","88","2","13","-"
"1503507","Irituia (PA)","Total","Total","7487","7483","4","-","-","-"
"1503606","Itaituba (PA)","Total","Total","23581","21697","908","779","197","-"
"1503705","Itupiranga (PA)","Total","Total","12568","12151","330","28","25","34"
"1503754","Jacareacanga (PA)","Total","Total","2291","2071","131","20","14","55"
"1503804","Jacundá (PA)","Total","Total","12576","12378","95","40","63","-"
"1503903","Juruti (PA)","Total","Total","9294","9147","40","24","83","-"
"1504000","Limoeiro do Ajuru (PA)","Total","Total","4888","4875","10","1","2","-"
"1504059","Mãe do Rio (PA)","Total","Total","7060","6824","51","33","152","-"
"1504109","Magalhães Barata (PA)","Total","Total","1986","1986","-","-","-","-"
"1504208","Marabá (PA)","Total","Total","60457","55609","2123","1496","1229","-"
"1504307","Maracanã (PA)","Total","Total","6788","6771","16","-","1","-"
"1504406","Marapanim (PA)","Total","Total","6701","6688","8","1","4","-"
"1504422","Marituba (PA)","Total","Total","27357","25650","1590","64","53","-"
"1504455","Medicilândia (PA)","Total","Total","7348","7236","76","14","22","-"
"1504505","Melgaço (PA)","Total","Total","4049","3912","136","1","-","-"
"1504604","Mocajuba (PA)","Total","Total","5352","5223","123","5","1","-"
"1504703","Moju (PA)","Total","Total","15538","15060","402","7","69","-"
"1504802","Monte Alegre (PA)","Total","Total","13725","13628","25","68","4","-"
"1504901","Muaná (PA)","Total","Total","7028","6993","16","17","2","-"
"1504950","Nova Esperança do Piriá (PA)","Total","Total","4674","4660","2","-","3","9"
"1504976","Nova Ipixuna (PA)","Total","Total","3778","3773","1","1","3","-"
"1505007","Nova Timboteua (PA)","Total","Total","3647","3628","17","1","1","-"
"1505031","Novo Progresso (PA)","Total","Total","6923","6440","393","42","48","-"
"1505064","Novo Repartimento (PA)","Total","Total","15139","14785","262","21","20","51"
"1505106","Óbidos (PA)","Total","Total","11254","11102","63","24","4","61"
"1505205","Oeiras do Pará (PA)","Total","Total","5469","5419","41","6","3","-"
"1505304","Oriximiná (PA)","Total","Total","13673","13231","154","25","52","211"
"1505403","Ourém (PA)","Total","Total","4110","3979","128","3","-","-"
"1505437","Ourilândia do Norte (PA)","Total","Total","7079","6534","14","36","495","-"
"1505486","Pacajá (PA)","Total","Total","10041","9755","229","5","52","-"
"1505494","Palestina do Pará (PA)","Total","Total","1978","1969","3","-","6","-"
