"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1301605","Fonte Boa (AM)","Total","1047","2847","1027","600","153"
"1301654","Guajará (AM)","Total","637","1507","137","33","17"
"1301704","Humaitá (AM)","Total","2133","4734","460","78","109"
"1301803","Ipixuna (AM)","Total","1015","2372","906","293","171"
"1301852","Iranduba (AM)","Total","1866","4932","1119","457","259"
"1301902","Itacoatiara (AM)","Total","5273","11559","2230","613","323"
"1301951","Itamarati (AM)","Total","481","557","157","34","20"
"1302009","Itapiranga (AM)","Total","654","1170","230","30","68"
"1302108","Japurá (AM)","Total","427","969","245","20","9"
"1302207","Juruá (AM)","Total","523","1782","559","146","91"
"1302306","Jutaí (AM)","Total","891","2829","692","364","139"
"1302405","Lábrea (AM)","Total","2279","5543","1363","446","410"
"1302504","Manacapuru (AM)","Total","4368","11909","2753","658","346"
"1302553","Manaquiri (AM)","Total","641","1878","765","201","81"
"1302603","Manaus (AM)","Total","36662","200503","212225","82351","11950"
"1302702","Manicoré (AM)","Total","2535","6768","1195","402","264"
"1302801","Maraã (AM)","Total","599","1445","498","236","165"
"1302900","Maués (AM)","Total","2507","7873","1479","349","272"
"1303007","Nhamundá (AM)","Total","797","1290","764","266","59"
"1303106","Nova Olinda do Norte (AM)","Total","2785","2952","534","200","65"
"1303205","Novo Airão (AM)","Total","1189","1670","388","49","54"
"1303304","Novo Aripuanã (AM)","Total","1364","2345","367","125","150"
"1303403","Parintins (AM)","Total","5681","14252","2027","880","338"
"1303502","Pauini (AM)","Total","1307","1730","399","79","83"
"1303536","Presidente Figueiredo (AM)","Total","1110","3157","916","315","143"
"1303569","Rio Preto da Eva (AM)","Total","1478","2861","658","190","42"
"1303601","Santa Isabel do Rio Negro (AM)","Total","398","2000","806","239","82"
"1303700","Santo Antônio do Içá (AM)","Total","1073","2272","800","427","240"
"1303809","São Gabriel da Cachoeira (AM)","Total","1763","4513","970","288","257"
"1303908","São Paulo de Olivença (AM)","Total","1086","5717","2162","780","230"
"1303957","São Sebastião do Uatumã (AM)","Total","663","1063","262","146","131"
"1304005","Silves (AM)","Total","410","496","143","112","44"
"1304062","Tabatinga (AM)","Total","2873","7444","2605","1283","74"
"1304104","Tapauá (AM)","Total","1172","2942","748","460","342"
"1304203","Tefé (AM)","Total","3628","8391","1762","713","272"
"1304237","Tonantins (AM)","Total","783","1777","1086","406","148"
"1304260","Uarini (AM)","Total","740","1929","959","424","159"
"1304302","Urucará (AM)","Total","934","1821","703","333","147"
"1304401","Urucurituba (AM)","Total","960","1579","713","282","123"
"1400027","Amajari (RR)","Total","252","272","84","18","10"
"1400050","Alto Alegre (RR)","Total","803","1243","186","61","41"
"1400100","Boa Vista (RR)","Total","12558","66888","13485","2056","728"
"1400159","Bonfim (RR)","Total","510","771","216","134","88"
