"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"3165537","Sarzedo (MG)","Total","907","3313","2559","2554","582"
"3165552","Setubinha (MG)","Total","194","845","430","208","39"
"3165560","Sem-Peixe (MG)","Total","156","369","193","54","28"
"3165578","Senador Amaral (MG)","Total","460","1304","258","34","6"
"3165602","Senador Cortes (MG)","Total","168","378","72","17","-"
"3165701","Senador Firmino (MG)","Total","202","1316","150","32","-"
"3165800","Senador José Bento (MG)","Total","248","323","116","27","-"
"3165909","Senador Modestino Gonçalves (MG)","Total","325","560","158","50","23"
"3166006","Senhora de Oliveira (MG)","Total","218","894","357","93","13"
"3166105","Senhora do Porto (MG)","Total","169","503","192","20","-"
"3166204","Senhora dos Remédios (MG)","Total","331","1285","410","131","10"
"3166303","Sericita (MG)","Total","335","2080","486","104","19"
"3166402","Seritinga (MG)","Total","192","380","37","2","-"
"3166501","Serra Azul de Minas (MG)","Total","118","405","83","19","23"
"3166600","Serra da Saudade (MG)","Total","106","151","17","9","-"
"3166709","Serra dos Aimorés (MG)","Total","496","1379","301","154","26"
"3166808","Serra do Salitre (MG)","Total","804","1794","796","270","69"
"3166907","Serrania (MG)","Total","397","1861","495","66","7"
"3166956","Serranópolis de Minas (MG)","Total","312","487","136","8","-"
"3167004","Serranos (MG)","Total","132","370","130","56","7"
"3167103","Serro (MG)","Total","1245","3370","1285","223","47"
"3167202","Sete Lagoas (MG)","Total","7362","49945","20803","4416","499"
"3167301","Silveirânia (MG)","Total","264","290","76","9","2"
"3167400","Silvianópolis (MG)","Total","687","1468","190","23","-"
"3167509","Simão Pereira (MG)","Total","44","186","189","95","5"
"3167608","Simonésia (MG)","Total","1827","4182","1395","212","27"
"3167707","Sobrália (MG)","Total","501","849","143","60","20"
"3167806","Soledade de Minas (MG)","Total","276","1151","279","73","-"
"3167905","Tabuleiro (MG)","Total","393","694","160","54","8"
"3168002","Taiobeiras (MG)","Total","2000","6915","911","211","137"
"3168051","Taparuba (MG)","Total","305","383","77","17","3"
"3168101","Tapira (MG)","Total","167","867","116","10","-"
"3168200","Tapiraí (MG)","Total","85","313","87","23","5"
"3168309","Taquaraçu de Minas (MG)","Total","246","686","261","58","17"
"3168408","Tarumirim (MG)","Total","788","1778","460","120","5"
"3168507","Teixeiras (MG)","Total","422","2516","627","64","10"
"3168606","Teófilo Otoni (MG)","Total","4778","26017","6982","852","278"
"3168705","Timóteo (MG)","Total","2868","19093","6079","955","139"
"3168804","Tiradentes (MG)","Total","366","2023","247","15","7"
"3168903","Tiros (MG)","Total","514","1020","292","185","32"
"3169000","Tocantins (MG)","Total","986","4120","429","44","5"
"3169059","Tocos do Moji (MG)","Total","561","1139","318","16","7"
"3169109","Toledo (MG)","Total","477","1200","303","43","3"
"3169208","Tombos (MG)","Total","743","1884","279","40","5"
"3169307","Três Corações (MG)","Total","2879","15112","7010","1012","126"
"3169356","Três Marias (MG)","Total","1051","6722","1075","267","52"
"3169406","Três Pontas (MG)","Total","3285","12222","4503","444","65"
"3169505","Tumiritinga (MG)","Total","656","743","230","71","7"
"3169604","Tupaciguara (MG)","Total","1859","5324","1113","333","88"
"3169703","Turmalina (MG)","Total","1663","3499","621","144","27"
"3169802","Turvolândia (MG)","Total","378","1083","249","37","2"
"3169901","Ubá (MG)","Total","4092","23975","4257","456","132"
"3170008","Ubaí (MG)","Total","625","1920","441","222","70"
"3170057","Ubaporanga (MG)","Total","838","1952","499","84","11"
"3170107","Uberaba (MG)","Total","12157","76377","24584","5872","875"
"3170206","Uberlândia (MG)","Total","24096","137921","57534","13696","1376"
"3170305","Umburatiba (MG)","Total","290","431","84","30","6"
"3170404","Unaí (MG)","Total","4853","16470","2016","854","480"
"3170438","União de Minas (MG)","Total","167","462","265","36","12"
"3170479","Uruana de Minas (MG)","Total","295","272","109","13","7"
"3170503","Urucânia (MG)","Total","384","1714","765","89","23"
"3170529","Urucuia (MG)","Total","684","1703","428","186","37"
"3170578","Vargem Alegre (MG)","Total","319","919","241","54","15"
"3170602","Vargem Bonita (MG)","Total","250","361","141","29","2"
"3170651","Vargem Grande do Rio Pardo (MG)","Total","196","725","179","10","2"
"3170701","Varginha (MG)","Total","4987","28265","8574","1066","183"
"3170750","Varjão de Minas (MG)","Total","524","1240","601","62","22"
"3170800","Várzea da Palma (MG)","Total","1818","7997","1064","252","161"
"3170909","Varzelândia (MG)","Total","809","2322","453","85","59"
"3171006","Vazante (MG)","Total","1269","4413","641","132","110"
"3171030","Verdelândia (MG)","Total","411","1012","308","144","55"
"3171071","Veredinha (MG)","Total","368","906","267","103","24"
"3171105","Veríssimo (MG)","Total","116","456","285","34","5"
"3171154","Vermelho Novo (MG)","Total","265","521","186","46","9"
"3171204","Vespasiano (MG)","Total","2398","12725","14339","9964","908"
"3171303","Viçosa (MG)","Total","3407","19641","4843","532","64"
"3171402","Vieiras (MG)","Total","343","557","117","21","15"
"3171501","Mathias Lobato (MG)","Total","172","326","125","9","-"
"3171600","Virgem da Lapa (MG)","Total","488","1313","304","120","40"
"3171709","Virgínia (MG)","Total","507","1510","450","90","41"
"3171808","Virginópolis (MG)","Total","527","1740","278","95","33"
"3171907","Virgolândia (MG)","Total","305","820","261","66","22"
"3172004","Visconde do Rio Branco (MG)","Total","1951","9197","1583","118","15"
"3172103","Volta Grande (MG)","Total","243","720","151","34","28"
"3172202","Wenceslau Braz (MG)","Total","101","290","253","24","3"
"3200102","Afonso Cláudio (ES)","Total","2496","7027","1114","372","53"
"3200136","Águia Branca (ES)","Total","1366","2034","195","20","3"
"3200169","Água Doce do Norte (ES)","Total","1005","1688","454","31","26"
"3200201","Alegre (ES)","Total","2918","6005","964","279","72"
"3200300","Alfredo Chaves (ES)","Total","1442","3723","493","135","56"
"3200359","Alto Rio Novo (ES)","Total","801","1224","178","59","17"
"3200409","Anchieta (ES)","Total","1464","5988","1100","134","64"
"3200508","Apiacá (ES)","Total","464","1382","166","25","25"
"3200607","Aracruz (ES)","Total","5125","18718","4646","744","132"
"3200706","Atílio Vivácqua (ES)","Total","464","1950","689","43","4"
"3200805","Baixo Guandu (ES)","Total","2073","4541","626","249","15"
"3200904","Barra de São Francisco (ES)","Total","2385","7818","1545","188","148"
"3201001","Boa Esperança (ES)","Total","1440","3167","479","142","27"
"3201100","Bom Jesus do Norte (ES)","Total","471","2262","352","54","10"
"3201159","Brejetuba (ES)","Total","1300","3780","737","96","39"
"3201209","Cachoeiro de Itapemirim (ES)","Total","9354","45808","13901","1550","266"
"3201308","Cariacica (ES)","Total","9451","44335","45210","28734","2800"
"3201407","Castelo (ES)","Total","3193","8770","1495","189","23"
"3201506","Colatina (ES)","Total","6831","31312","5963","840","161"
"3201605","Conceição da Barra (ES)","Total","1741","3985","1409","552","170"
"3201704","Conceição do Castelo (ES)","Total","999","2774","549","121","13"
"3201803","Divino de São Lourenço (ES)","Total","437","980","235","17","5"
"3201902","Domingos Martins (ES)","Total","3274","6495","913","205","27"
"3202009","Dores do Rio Preto (ES)","Total","845","1469","254","53","2"
"3202108","Ecoporanga (ES)","Total","1704","3736","667","207","43"
"3202207","Fundão (ES)","Total","1265","3323","896","646","93"
"3202256","Governador Lindenberg (ES)","Total","1636","2351","272","46","6"
"3202306","Guaçuí (ES)","Total","1922","6431","745","195","60"
"3202405","Guarapari (ES)","Total","4213","20324","5486","1552","228"
"3202454","Ibatiba (ES)","Total","2627","4320","1106","136","35"
"3202504","Ibiraçu (ES)","Total","641","2795","530","88","26"
"3202553","Ibitirama (ES)","Total","791","1700","405","137","-"
"3202603","Iconha (ES)","Total","1603","3414","507","46","9"
"3202652","Irupi (ES)","Total","1084","3419","625","37","4"
"3202702","Itaguaçu (ES)","Total","1414","3626","621","137","42"
"3202801","Itapemirim (ES)","Total","1050","5225","1242","64","63"
"3202900","Itarana (ES)","Total","1259","2767","409","75","-"
"3203007","Iúna (ES)","Total","2732","6705","1193","122","-"
"3203056","Jaguaré (ES)","Total","2765","4768","636","120","45"
"3203106","Jerônimo Monteiro (ES)","Total","933","1949","444","149","10"
"3203130","João Neiva (ES)","Total","1169","3440","666","211","27"
"3203163","Laranja da Terra (ES)","Total","786","1821","305","56","43"
"3203205","Linhares (ES)","Total","9528","37602","6260","1390","232"
"3203304","Mantenópolis (ES)","Total","1026","2349","243","76","17"
"3203320","Marataízes (ES)","Total","1592","5518","1583","244","183"
"3203346","Marechal Floriano (ES)","Total","1398","3156","394","108","67"
"3203353","Marilândia (ES)","Total","1483","3203","437","49","13"
"3203403","Mimoso do Sul (ES)","Total","1685","4283","668","259","30"
"3203502","Montanha (ES)","Total","1543","3396","654","179","55"
"3203601","Mucurici (ES)","Total","493","781","183","58","38"
"3203700","Muniz Freire (ES)","Total","1080","2078","640","180","44"
"3203809","Muqui (ES)","Total","1350","2662","958","170","15"
"3203908","Nova Venécia (ES)","Total","3632","9870","1327","164","66"
"3204005","Pancas (ES)","Total","1506","3433","470","105","27"
"3204054","Pedro Canário (ES)","Total","1511","3721","1363","773","185"
"3204104","Pinheiros (ES)","Total","2221","5151","1418","259","83"
"3204203","Piúma (ES)","Total","1739","3632","717","167","28"
"3204252","Ponto Belo (ES)","Total","490","1086","149","71","41"
"3204302","Presidente Kennedy (ES)","Total","841","2110","431","64","21"
"3204351","Rio Bananal (ES)","Total","1703","4466","793","74","18"
"3204401","Rio Novo do Sul (ES)","Total","1200","2527","335","69","26"
"3204500","Santa Leopoldina (ES)","Total","1490","1514","240","21","37"
"3204559","Santa Maria de Jetibá (ES)","Total","3724","5898","1117","182","48"
"3204609","Santa Teresa (ES)","Total","2152","4972","717","84","-"
"3204658","São Domingos do Norte (ES)","Total","640","2218","148","5","6"
"3204708","São Gabriel da Palha (ES)","Total","3510","6626","793","112","9"
"3204807","São José do Calçado (ES)","Total","854","2473","408","93","16"
"3204906","São Mateus (ES)","Total","5200","22648","4795","1394","288"
"3204955","São Roque do Canaã (ES)","Total","1479","2868","241","22","-"
"3205002","Serra (ES)","Total","11663","59426","55282","26263","2603"
"3205010","Sooretama (ES)","Total","1208","4259","1779","222","27"
"3205036","Vargem Alta (ES)","Total","1871","4580","1034","101","18"
"3205069","Venda Nova do Imigrante (ES)","Total","2038","5459","865","67","35"
"3205101","Viana (ES)","Total","1762","6985","6438","5025","773"
"3205150","Vila Pavão (ES)","Total","1112","1658","209","35","17"
"3205176","Vila Valério (ES)","Total","2094","2978","253","11","5"
"3205200","Vila Velha (ES)","Total","13586","74058","52363","17588","1456"
"3205309","Vitória (ES)","Total","10922","74754","34361","6344","569"
"3300100","Angra dos Reis (RJ)","Total","6403","33059","12994","2637","575"
"3300159","Aperibé (RJ)","Total","620","2849","257","18","13"
"3300209","Araruama (RJ)","Total","4081","19395","6776","2227","819"
"3300225","Areal (RJ)","Total","533","2125","804","419","71"
"3300233","Armação dos Búzios (RJ)","Total","1655","7337","998","144","40"
"3300258","Arraial do Cabo (RJ)","Total","2310","5194","1027","301","77"
"3300308","Barra do Piraí (RJ)","Total","3213","17537","7902","1906","390"
"3300407","Barra Mansa (RJ)","Total","4588","34889","18759","3877","567"
"3300456","Belford Roxo (RJ)","Total","7464","33116","40662","46619","15693"
"3300506","Bom Jardim (RJ)","Total","1894","4829","2039","495","29"
"3300605","Bom Jesus do Itabapoana (RJ)","Total","2230","6295","1032","285","88"
"3300704","Cabo Frio (RJ)","Total","7925","37682","13669","3482","1102"
"3300803","Cachoeiras de Macacu (RJ)","Total","2917","10294","2392","1049","523"
"3300902","Cambuci (RJ)","Total","1393","2977","357","99","54"
"3300936","Carapebus (RJ)","Total","583","1541","1477","405","40"
"3300951","Comendador Levy Gasparian (RJ)","Total","430","1588","353","87","6"
"3301009","Campos dos Goytacazes (RJ)","Total","12481","72602","33692","8783","1506"
"3301108","Cantagalo (RJ)","Total","962","3062","1200","357","57"
"3301157","Cardoso Moreira (RJ)","Total","874","1733","311","163","32"
"3301207","Carmo (RJ)","Total","1177","3945","800","190","50"
"3301306","Casimiro de Abreu (RJ)","Total","2056","8281","1853","864","73"
"3301405","Conceição de Macabu (RJ)","Total","1234","3252","1847","837","46"
"3301504","Cordeiro (RJ)","Total","905","5574","996","353","50"
"3301603","Duas Barras (RJ)","Total","985","2199","656","265","29"
"3301702","Duque de Caxias (RJ)","Total","17801","85312","75248","66339","16911"
"3301801","Engenheiro Paulo de Frontin (RJ)","Total","592","2312","916","245","92"
"3301850","Guapimirim (RJ)","Total","2206","8053","3020","1755","959"
"3301876","Iguaba Grande (RJ)","Total","624","3560","1464","297","131"
"3301900","Itaboraí (RJ)","Total","6079","25816","20975","17320","4839"
"3302007","Itaguaí (RJ)","Total","2865","18328","9337","2674","860"
"3302056","Italva (RJ)","Total","1282","2557","414","142","31"
"3302106","Itaocara (RJ)","Total","2026","5016","786","133","52"
"3302205","Itaperuna (RJ)","Total","4258","21343","5354","694","191"
"3302254","Itatiaia (RJ)","Total","1216","6013","2590","410","59"
"3302270","Japeri (RJ)","Total","1062","6635","5172","8823","5638"
"3302304","Laje do Muriaé (RJ)","Total","433","1613","387","69","16"
"3302403","Macaé (RJ)","Total","6125","35485","19903","6219","683"
"3302452","Macuco (RJ)","Total","337","959","197","60","21"
"3302502","Magé (RJ)","Total","6027","26868","14912","12942","6582"
"3302601","Mangaratiba (RJ)","Total","1664","6658","2836","1242","343"
"3302700","Maricá (RJ)","Total","3113","17473","9787","8906","2893"
"3302809","Mendes (RJ)","Total","776","3358","1401","388","133"
"3302858","Mesquita (RJ)","Total","3507","18540","15924","15390","3079"
"3302908","Miguel Pereira (RJ)","Total","1178","4455","1641","353","176"
"3303005","Miracema (RJ)","Total","2026","6082","943","178","83"
"3303104","Natividade (RJ)","Total","946","3039","663","189","24"
"3303203","Nilópolis (RJ)","Total","3273","17607","14492","15791","1732"
"3303302","Niterói (RJ)","Total","8033","66127","67797","39154","5389"
"3303401","Nova Friburgo (RJ)","Total","8438","38851","14565","3103","579"
"3303500","Nova Iguaçu (RJ)","Total","15120","66247","64529","61707","30581"
"3303609","Paracambi (RJ)","Total","1220","7172","2191","1921","455"
"3303708","Paraíba do Sul (RJ)","Total","1648","7292","2363","388","118"
"3303807","Paraty (RJ)","Total","1920","8175","1892","387","89"
"3303856","Paty do Alferes (RJ)","Total","1394","5345","1901","448","53"
"3303906","Petrópolis (RJ)","Total","7354","44862","31783","11804","2476"
"3303955","Pinheiral (RJ)","Total","543","2965","1990","672","21"
"3304003","Piraí (RJ)","Total","1083","4962","1820","518","58"
"3304102","Porciúncula (RJ)","Total","953","3838","412","81","43"
"3304110","Porto Real (RJ)","Total","990","4043","914","151","13"
"3304128","Quatis (RJ)","Total","593","2959","994","117","11"
"3304144","Queimados (RJ)","Total","2128","11837","8412","13747","5664"
"3304151","Quissamã (RJ)","Total","1370","3134","700","375","58"
"3304201","Resende (RJ)","Total","4158","24451","13515","1343","167"
"3304300","Rio Bonito (RJ)","Total","2163","10626","3412","1073","310"
"3304409","Rio Claro (RJ)","Total","1061","2774","1104","632","74"
"3304508","Rio das Flores (RJ)","Total","683","2008","309","36","16"
"3304524","Rio das Ostras (RJ)","Total","3810","19213","9169","4679","648"
"3304557","Rio de Janeiro (RJ)","Total","120987","671908","748741","440738","82500"
"3304607","Santa Maria Madalena (RJ)","Total","612","2613","410","156","58"
"3304706","Santo Antônio de Pádua (RJ)","Total","2426","8828","1492","451","88"
"3304755","São Francisco de Itabapoana (RJ)","Total","2119","5877","2281","424","186"
"3304805","São Fidélis (RJ)","Total","2240","6606","1372","503","205"
"3304904","São Gonçalo (RJ)","Total","14508","92721","128536","88933","17979"
"3305000","São João da Barra (RJ)","Total","2027","5055","1761","643","117"
"3305109","São João de Meriti (RJ)","Total","8237","49501","48501","44408","7746"
"3305133","São José de Ubá (RJ)","Total","539","1863","306","60","2"
"3305158","São José do Vale do Rio Preto (RJ)","Total","1570","3592","1033","387","163"
"3305208","São Pedro da Aldeia (RJ)","Total","3746","17177","7174","1261","429"
"3305307","São Sebastião do Alto (RJ)","Total","473","1688","281","62","27"
"3305406","Sapucaia (RJ)","Total","1084","3246","683","139","26"
"3305505","Saquarema (RJ)","Total","2961","13082","4951","1133","426"
"3305554","Seropédica (RJ)","Total","2480","11215","5604","3619","2170"
"3305604","Silva Jardim (RJ)","Total","1042","2774","1142","379","178"
"3305703","Sumidouro (RJ)","Total","1443","2675","474","88","30"
"3305752","Tanguá (RJ)","Total","1109","4464","2685","1283","301"
"3305802","Teresópolis (RJ)","Total","6477","31151","11943","2577","804"
"3305901","Trajano de Moraes (RJ)","Total","870","1878","565","137","40"
"3306008","Três Rios (RJ)","Total","2868","16180","3549","980","218"
"3306107","Valença (RJ)","Total","2965","13899","4037","1047","217"
"3306156","Varre-Sai (RJ)","Total","752","2169","417","59","17"
"3306206","Vassouras (RJ)","Total","1524","6978","2379","417","164"
"3306305","Volta Redonda (RJ)","Total","7031","49884","27046","4952","1142"
"3500105","Adamantina (SP)","Total","2409","8765","1759","407","98"
"3500204","Adolfo (SP)","Total","418","599","85","81","7"
"3500303","Aguaí (SP)","Total","1830","7168","1880","464","138"
"3500402","Águas da Prata (SP)","Total","338","1770","645","137","9"
"3500501","Águas de Lindóia (SP)","Total","1017","4736","610","26","29"
"3500550","Águas de Santa Bárbara (SP)","Total","336","829","185","43","14"
"3500600","Águas de São Pedro (SP)","Total","391","496","96","5","4"
"3500709","Agudos (SP)","Total","1271","6569","3451","713","85"
"3500758","Alambari (SP)","Total","397","926","121","29","-"
"3500808","Alfredo Marcondes (SP)","Total","291","593","502","66","-"
"3500907","Altair (SP)","Total","214","532","478","80","5"
"3501004","Altinópolis (SP)","Total","1005","3489","1164","410","47"
"3501103","Alto Alegre (SP)","Total","247","674","368","192","23"
"3501152","Alumínio (SP)","Total","490","3767","1144","299","31"
"3501202","Álvares Florence (SP)","Total","292","777","129","20","3"
"3501301","Álvares Machado (SP)","Total","1173","5523","1928","350","18"
"3501400","Álvaro de Carvalho (SP)","Total","249","684","233","97","14"
"3501509","Alvinlândia (SP)","Total","329","602","201","28","-"
"3501608","Americana (SP)","Total","8303","59858","17797","2339","399"
"3501707","Américo Brasiliense (SP)","Total","927","7178","3932","882","60"
"3501806","Américo de Campos (SP)","Total","554","1068","391","83","3"
"3501905","Amparo (SP)","Total","3560","18039","3797","620","130"
"3502002","Analândia (SP)","Total","398","1006","251","22","2"
"3502101","Andradina (SP)","Total","3184","13108","2658","321","79"
"3502200","Angatuba (SP)","Total","1542","4174","1732","390","29"
"3502309","Anhembi (SP)","Total","351","939","306","66","7"
"3502408","Anhumas (SP)","Total","245","633","394","66","7"
"3502507","Aparecida (SP)","Total","2457","9174","1406","309","91"
"3502606","Aparecida d'Oeste (SP)","Total","336","769","214","85","11"
"3502705","Apiaí (SP)","Total","1231","4662","1447","324","141"
"3502754","Araçariguama (SP)","Total","828","4449","973","225","47"
"3502804","Araçatuba (SP)","Total","7797","50453","6968","1296","381"
"3502903","Araçoiaba da Serra (SP)","Total","971","6254","2070","503","48"
"3503000","Aramina (SP)","Total","389","983","513","75","26"
"3503109","Arandu (SP)","Total","480","1333","431","88","17"
"3503158","Arapeí (SP)","Total","325","474","103","26","9"
"3503208","Araraquara (SP)","Total","8500","53451","17110","2999","440"
"3503307","Araras (SP)","Total","5032","31847","7346","1152","130"
"3503356","Arco-Íris (SP)","Total","262","282","173","32","7"
"3503406","Arealva (SP)","Total","645","1602","390","71","29"
"3503505","Areias (SP)","Total","262","622","104","71","6"
"3503604","Areiópolis (SP)","Total","451","1948","1477","475","34"
"3503703","Ariranha (SP)","Total","624","2380","610","144","28"
"3503802","Artur Nogueira (SP)","Total","1971","10361","4222","1016","63"
"3503901","Arujá (SP)","Total","1943","11753","7661","3431","964"
"3503950","Aspásia (SP)","Total","185","302","58","3","-"
"3504008","Assis (SP)","Total","4124","25045","4993","482","130"
"3504107","Atibaia (SP)","Total","4592","22748","7905","2646","497"
"3504206","Auriflama (SP)","Total","932","3124","520","287","40"
"3504305","Avaí (SP)","Total","275","516","452","74","12"
"3504404","Avanhandava (SP)","Total","413","1590","810","347","34"
"3504503","Avaré (SP)","Total","4107","18408","4931","1145","172"
"3504602","Bady Bassitt (SP)","Total","900","3779","1257","149","15"
"3504701","Balbinos (SP)","Total","232","272","32","7","-"
"3504800","Bálsamo (SP)","Total","972","1928","623","29","18"
"3504909","Bananal (SP)","Total","542","1972","495","140","22"
"3505005","Barão de Antonina (SP)","Total","390","667","131","45","22"
"3505104","Barbosa (SP)","Total","709","782","749","155","8"
"3505203","Bariri (SP)","Total","1813","8505","1412","302","39"
"3505302","Barra Bonita (SP)","Total","2278","9905","2103","426","115"
"3505351","Barra do Chapéu (SP)","Total","248","582","292","128","12"
"3505401","Barra do Turvo (SP)","Total","464","910","191","39","3"
"3505500","Barretos (SP)","Total","5426","29995","5508","1116","214"
"3505609","Barrinha (SP)","Total","1070","4432","3352","900","77"
"3505708","Barueri (SP)","Total","5207","38519","32023","15038","2245"
"3505807","Bastos (SP)","Total","1889","5027","429","91","12"
"3505906","Batatais (SP)","Total","2806","13018","4135","1517","166"
"3506003","Bauru (SP)","Total","10180","78826","27688","4370","748"
"3506102","Bebedouro (SP)","Total","4599","20441","2978","544","113"
"3506201","Bento de Abreu (SP)","Total","186","676","153","107","8"
"3506300","Bernardino de Campos (SP)","Total","901","2768","341","70","23"
"3506359","Bertioga (SP)","Total","2430","12478","3582","699","31"
"3506409","Bilac (SP)","Total","797","2013","393","78","19"
"3506508","Birigui (SP)","Total","6573","35048","2884","417","64"
"3506607","Biritiba Mirim (SP)","Total","996","4561","2430","864","383"
"3506706","Boa Esperança do Sul (SP)","Total","896","2228","1400","638","90"
"3506805","Bocaina (SP)","Total","949","2884","371","40","6"
"3506904","Bofete (SP)","Total","507","1149","484","111","24"
"3507001","Boituva (SP)","Total","2515","14036","2449","420","74"
"3507100","Bom Jesus dos Perdões (SP)","Total","473","4297","916","190","20"
"3507159","Bom Sucesso de Itararé (SP)","Total","310","555","198","81","10"
"3507209","Borá (SP)","Total","78","145","121","19","1"
"3507308","Boracéia (SP)","Total","717","909","221","56","2"
"3507407","Borborema (SP)","Total","1435","2549","746","141","29"
"3507456","Borebi (SP)","Total","190","430","200","12","-"
"3507506","Botucatu (SP)","Total","4590","30582","6759","693","109"
"3507605","Bragança Paulista (SP)","Total","5177","31198","10174","2341","453"
"3507704","Braúna (SP)","Total","351","1104","499","149","14"
"3507753","Brejo Alegre (SP)","Total","241","460","237","33","3"
"3507803","Brodowski (SP)","Total","784","4210","2228","467","40"
"3507902","Brotas (SP)","Total","1574","5397","1579","395","16"
"3508009","Buri (SP)","Total","869","2618","691","334","152"
"3508108","Buritama (SP)","Total","1223","2978","990","203","24"
"3508207","Buritizal (SP)","Total","469","970","97","8","3"
"3508306","Cabrália Paulista (SP)","Total","232","840","294","157","36"
"3508405","Cabreúva (SP)","Total","2255","8951","4860","1304","144"
"3508504","Caçapava (SP)","Total","2815","19338","5994","979","157"
"3508603","Cachoeira Paulista (SP)","Total","1604","6437","1322","237","103"
"3508702","Caconde (SP)","Total","1632","4022","854","233","15"
"3508801","Cafelândia (SP)","Total","1328","3756","953","189","19"
"3508900","Caiabu (SP)","Total","189","537","664","112","-"
"3509007","Caieiras (SP)","Total","2275","14024","9532","8411","1762"
"3509106","Caiuá (SP)","Total","275","491","226","107","31"
"3509205","Cajamar (SP)","Total","1462","11103","7188","2171","407"
"3509254","Cajati (SP)","Total","1601","5481","1193","160","113"
"3509304","Cajobi (SP)","Total","696","2053","864","503","23"
"3509403","Cajuru (SP)","Total","986","4836","1618","644","63"
"3509452","Campina do Monte Alegre (SP)","Total","401","826","298","206","11"
"3509502","Campinas (SP)","Total","23651","172126","126669","42609","6363"
"3509601","Campo Limpo Paulista (SP)","Total","1631","11174","9112","5398","1018"
"3509700","Campos do Jordão (SP)","Total","1184","9052","4532","768","57"
"3509809","Campos Novos Paulista (SP)","Total","352","778","303","97","12"
"3509908","Cananéia (SP)","Total","1002","2456","355","184","37"
"3509957","Canas (SP)","Total","207","911","173","25","26"
"3510005","Cândido Mota (SP)","Total","1436","6034","1587","579","115"
"3510104","Cândido Rodrigues (SP)","Total","299","630","158","5","3"
"3510153","Canitar (SP)","Total","350","1020","236","41","-"
"3510203","Capão Bonito (SP)","Total","2593","8322","2373","1013","189"
"3510302","Capela do Alto (SP)","Total","719","3994","1157","548","51"
"3510401","Capivari (SP)","Total","2613","11762","2752","520","112"
"3510500","Caraguatatuba (SP)","Total","4051","20992","7067","1252","210"
"3510609","Carapicuíba (SP)","Total","5161","33267","56935","33834","3732"
"3510708","Cardoso (SP)","Total","869","2218","636","328","37"
"3510807","Casa Branca (SP)","Total","1533","5087","1568","287","17"
"3510906","Cássia dos Coqueiros (SP)","Total","220","497","87","49","3"
"3511003","Castilho (SP)","Total","799","2399","1589","272","69"
"3511102","Catanduva (SP)","Total","5132","31313","6172","1112","208"
"3511201","Catiguá (SP)","Total","407","1517","910","230","3"
"3511300","Cedral (SP)","Total","586","2046","507","69","3"
"3511409","Cerqueira César (SP)","Total","1003","3563","1306","600","34"
"3511508","Cerquilho (SP)","Total","2753","12887","1783","234","107"
"3511607","Cesário Lange (SP)","Total","1583","3408","1020","183","10"
"3511706","Charqueada (SP)","Total","768","2959","2166","407","54"
"3511904","Clementina (SP)","Total","420","1544","612","320","35"
"3512001","Colina (SP)","Total","1104","4349","888","438","54"
"3512100","Colômbia (SP)","Total","341","1368","403","67","27"
"3512209","Conchal (SP)","Total","1154","6478","1664","337","8"
"3512308","Conchas (SP)","Total","1025","3332","652","103","28"
"3512407","Cordeirópolis (SP)","Total","1383","6475","893","159","45"
"3512506","Coroados (SP)","Total","710","1133","443","31","6"
"3512605","Coronel Macedo (SP)","Total","457","681","262","253","24"
"3512704","Corumbataí (SP)","Total","337","791","182","12","-"
"3512803","Cosmópolis (SP)","Total","2140","12466","4103","655","31"
"3512902","Cosmorama (SP)","Total","443","1773","311","171","29"
"3513009","Cotia (SP)","Total","4650","28881","26979","15025","4084"
"3513108","Cravinhos (SP)","Total","1212","6331","2802","403","25"
"3513207","Cristais Paulista (SP)","Total","624","1969","299","52","-"
"3513306","Cruzália (SP)","Total","166","425","61","31","-"
"3513405","Cruzeiro (SP)","Total","2472","16287","3631","502","141"
"3513504","Cubatão (SP)","Total","2443","21371","14115","3625","224"
"3513603","Cunha (SP)","Total","1188","3146","798","266","107"
"3513702","Descalvado (SP)","Total","2361","6847","2155","344","66"
"3513801","Diadema (SP)","Total","7911","62004","52506","24459","2993"
"3513850","Dirce Reis (SP)","Total","177","333","98","3","-"
"3513900","Divinolândia (SP)","Total","654","2129","508","193","32"
